rating,review
5.0,간만에 제대로 된 일본식 소바를 맛본 느낌유부초밥이 왜 사이드로만 판매하나 싶게 너무 맛있었다ㅠ
3.0,니신소바 비추..
2.0,"🍽️자루소바 10,000원👍혼자 가면 벽보고 먹을 수 있는 곳으로 안내해줌 혼밥러들 많음(사람자체도 많긴함)👍분위기좋음 일본풍 어두운 분위기👍가성비 굿, 위치 굿 성수 팝업 길 초입부에 있었는듯👎맛이 별로.. 면 자체가 내 스탈 아니었음 다른 메뉴 시킬걸.."
5.0,
2.0,"우선 소바 맛이 좀 많이 부족했습니다.청귤소바는 정말 밍밍한데, 그렇다고 청귤향이 잘 어우러지는 느낌도 아니었고타누끼 소바는 튀김가루가 너무 많이 들어가서 그런지, 아니면 튀김기름이 이상한 건지는 모르겠지만 굉장히 느끼한 맛이 강하더라고요.유일 장점이 메밀면이 다른 집하고는 다르게 직접 만드시고, 맛있어가지고 2점드립니다."
1.0,"소바 정말 좋아하는데 .. 좋은 리뷰만큼, 사람이 많아보여 기대를 했지만 많이 실망한 곳쯔유 물탄 맛이라 밍밍하고 면도 안익었는지 뚝뚝 끊기는 이 조합을 도저히 말로 설명할 수 없는 맛정말 정말 못먹겠어서 면만 따로 익힐 순 없냐니까 안된다고 하시더라고요 지인도 거의 다 남기고 온 집"
4.0,"22.7.1023.10.724.7.27 덴푸라,냉소바,자루소바"
4.0,냉모밀 혹은 온모밀을 좋아하는 사람이면 가볼만 한듯. 혼밥하기 편한 인테리어라서 좋았음. 일본인이신거같은 사장님도 친절하심.
3.0,면에 밀가루맛이 많이 난다. 메밀을 다른곳보다 적게 넣는것 같다. 차라리 기성품을 쓰는게 더 나을것 같음 같이 먹은 사람들도 다 이거 메밀 맞냐고 재차 확인했음 양이 그리고 많이 적다 유부초밥 사이드로 시켰는데도 부족했음
5.0,어떤 메뉴를 선택해도 맛있습니다.종종 방문해서 먹는 맛집.
4.0,괜차늠 조음
4.0,국물은 딱히.. 특별한거 없움.. 밍밍한 쯔유맛.. 와사비 꼭 섞어드시길. 여기는 면발이 9할은 다한곳 면발이 진짜... 미쳤음
5.0,아래 왜 별로란 후기가 잇는지 몰겟음...평범하다..? 나한텐 기본에 충실해서 긍정적인 평범함이었음 왜냐면 사실 소바는 복잡한 음식도 아니지만 (쯔유맛이지 뭐) 모밀면이 맛있어야만!! 맛있을 수 있는데 한국엔 밀가루많이 섞인거같은 면이 대부분이라 소바맛집 찾기 쉽지 않음근데 여긴 면이 진짜 맛잇엇음 입맛 까다로운 남친도 좋아해서 내일 재방문 예정
1.0,"특별히 맛있지는 않지만 소바는 위치를 감안하면 가격대비 먹을 만 하구요. 니싱-청어조림은 맛에 비해 비싸긴 해도 흔히 먹을 수는 없으니 그러려니 할 수도 있겠네요.다만 응대가 아쉽습니다. 대기 안내는 대충 하셔서 순서는 섞이는데, 와중에 식사 끝나셨으면 대기 손님이 많으니 나가주시라고는 하시더라구요. 식사 끝낸지 3분만에요. 11시56분에 메뉴 나와서 사진 찍었구요, 식사 직후에 친구한테 사진 보낸 게 12시7분, 영수증에 찍힌 시간은 12시10분이니까 3분도 안 됐겠네요. 후기 굳이 잘 안 쓰는데, 더운 날 식사 끝내자마자 나오셔야 하니 참고하시라고 후기 남깁니다."
2.0,니싱 소바 먹었습니다.메뉴판에 적어두신 교토 얘기는 빼셔야 하지않을까 싶어요. 나름 가조쿠란 이름에 기대를가지고 먹었다 큰 실망하고 갑니다.청어조림 기성품 사용하시는건 아닌가요.
3.0,비싸고 평범
3.0,정말 평범했던 맛
5.0,니싱소바랑 덴푸라 훌륭!
3.0,새우튀김은 맛있는데 면이 보통의 면보다 딱딱해요. 간도 삼삼한편
1.0,적힌 후기들 다 알바인가 싶을정도로 원가 2천원의 맛이였음... 완전비추
5.0,진짜 일본에서 먹었던 맛...그립읍니다...
5.0,
5.0,
4.0,"이맘때면 항상 생각난다. 여긴 국물도, 면도 진심이다."
4.0,유부초밥 맛있고 나머진 평범해요
3.0,평범한데 맛있는 편이에욤
4.0,"장: 생선을 넣은 소바는 어떤 맛일지 궁금했는데 초절임을 했는지 새꼼하고 비린내가 안남  면이 굵지않아 맛 좋음,찰기는 부족한듯단: 겨울이어서 그런지 국물이 조금 더 따뜻하면 좋겠음"
4.0,매장도 넓은 편이고 소바 맛에 불만은 없으나 가격이 조금... 이천 원만 쌌어도 매일같이 왔을듯요
