rating,review
1.0,안심은 맛있었음...기본으로 나오는 닭국물도 괜찮은데특등심 카츠가 지방부분이 흐물거리고 튀김옷 자체도 습기가 많아 바삭하지 않고 맛있진 않았음.... 이가격에 굳이..?후기가 너무 갈리길래 1점으로 남김난 별로였음..
4.0,음식은 맛있는편이다 하지만 서빙시간이 매번 너무오래걸린다 20분이상.. 음식퀄 하나로 커버치기엔 서울엔 이미 훨씬맛있고빨리나오는 곳이 널렸다 상대적으로 인스타용음식이 대부분인 성수역에서 시간여유가있다면 괜찮은 식당
5.0,성수동 돈까스 원픽
5.0,등심이 기름지고 부드러웠어요
5.0,성수돈가츠 최고맛집
5.0,"resto local de cuisine japonaise.équipe aux petits soins, bien qu'ils n'aient que des menus en hangueul ils ont été polis et patients.très propreplats délicats et peu cher ( ~8€ pour soupe miso/poulet,  kimchi, katsu au porc avec œuf, oignons tendres et rizpeu de choix (20 plats),  c'est signe de qualité.j'ai apprécié ce repas et ce moment"
3.0,1티어 카츠는 절대 아니고 가성비 있게 카츠 즐기기에 괜찮은 곳.등심 안심 모두 좀 바짝 익히는 게 여기 스타일인건지 이날따라 오버쿡 된건지.. 그래서 안심이 여타 카츠집보다 안 부드러웠음. 돈지루 맛있음음식 굉장히 늦게 나옴브레이크타임 가까이에 가서 그런건지 튀김에서 기름 냄새 꽤남 바삭하긴했음
5.0,"진짜 돈까스 존맛..... 고기가 야들야들 육즙이 살아있음 안심이 맛남. 점심때 가려면 11시30분에는 가야 웨이팅 없음. 돈까스 튀김에 후추처리해서 약간 kfc 오리지널치킨을 연상시키는 튀김옷. 근데 시간 지날수록 밑에 튀김옷은 살짝 눅눅해짐. 함께 나오는 국, 김치, 샐러드 다 맛있움. 남자 서버분들은 친절하신데 아주머니는 불친절하심"
2.0,기대했는데 튀김옷이 분리되고 튀김옷이 젖어있어서 별로였어요...ㅠ
3.0,
5.0,육즙!
4.0,튀김 기름 냄새가 약간 나지만 고기가 넘 맛있어요 특히 닭고기가 죽음..! 👍
5.0,머리털 나고 먹어본 돈까스중에 가장 맛있어요…저 돈까스 혐오하는데 진짜 맛있어서 스윙스 됨스윙스 여기 오면 눈물흘릴 듯
5.0,"남산 왕 돈가스, 기사식당 돈가스만 먹고 자랐기 때문에 고독한 미식가에서 일본 돈가스편을 보면서 너무 오버 하시네~ 생각 했는데 이집 등심 안심 돈가스 첫입 먹고 이렇게도 돈가스가 되는구나 생각했습니다. 냉동 돈가스가 제일 맛있다고 생각하는 분은 드셔도 모를지 모르겠지만 이집 정말 맛있습니다. 주문 해야 조리가 시작되는 시간만 줄일수 있다면 사장님과 종업원 조만간 벤츠 모실겁니다. 다음에 또 갈게요"
4.0,정갈하고 군더더기 없는 맛!  다만 부드러운 만큼 튀김옷이 다소 기름진건 아쉽
3.0,오른쪽에서 두번째 보면 고기와 튀김옷이 분리 및 눅눅한 부분 넓게 존재(저 고기 외에도 뒤적였을때 보이고 느껴졌음) 차라리 일반 등심은 맛있어보였음(난 특등심) 나보다 늦게 온사람이 먼저 받고 먼저 먹고 나감 밥이 찰졌음 돈지루 적당히 짬
5.0,
5.0,먹고 행복해지는 맛 ㅜㅜ다음에 또 올게용🫶
2.0,장국이특이했다고기가들어있는 장국이였는데 특이안심....튀김에서 기름이 많이 느껴지고....입천장조심가츠동은.......
5.0,돈가스가 입에서 녹은적은 처음입니다!안심돈까스 등심돈까스 카츠동 카레 다 존맛탱
4.0,왜 평점이 좋은지 알게 되는 맛. 다만 너무 기대는 안하는게 좋다. 등심이 꽤 부드럽다. 돈까스는 먹다보면 물리는데 이 곳은 염지를 다른 방식으로 했는지 별로 물리지 않고 맛있게 먹을 수 있다. 기본기 충실하고 가성비 좋은 집. 치킨 텐더는 꼭 먹어보길 추천함.
5.0,진짜 🐶마시씀…사장님 장사 오래오래 해주세요곳곳에 분점도 내주시면 안대여…?
5.0,"보통 카츠집이랑 다른 독특한 맛이네요. 대존맛; 무족건 또 갈 것 같네요.남자 3명이서 넘 맛있어서 정신빼고 물건 다놓고나왔는데, 사장님께서 밖까지 나오셔서 가져다 주셨네요. 넘모 감사해요~ ㅎㅎ"
5.0,정갈하고 맛있어요 !! 이미 밑간이 다 된것같아서 소스 없어도 충분:)
4.0,• 특 등심카츠ㄴ 밑젖음이 좀 있었고 튀김옷과 고기 사이에 후추가 많아 들어갔음. 어디서 먹어봤더라? 하고 생각해보니 KFC 후라이드 껍질이랑 맛이 비슷함.• 안심카츠 정식
4.0,맛있는데 기본적으로 좀 짭짤합니다
5.0,강박님이 강추하는 맛집 !
5.0,
4.0,막 인생 돈까스 이 정도는 아니고 무난하게 맛있어요!
2.0,안심은 퍽퍽하고 등심은 과도하게 촉촉합니다기대이하네요
5.0,먹어본 돈까스 중 세 손가락 안에 든다고 자부할 수 있네요
5.0,미쳤다 너무맛있다
