rating,review
5.0,"일단 파스타랑 리조또양이 깜짝 놀랄 정도로 많음..ㅋㅋ오리지널 까르보나라, 이탈리안 햄 리조또?는기교를 부리지 않은 맛!이탈리안 햄에 있는 페퍼의 알싸한 맛이 크리미한 리조또랑 잘 어울렸음.피자는 내가 안 먹어서 모르겠다만.입맛 까다로운 팀원들이 맛있다고 함이런 게 오히려 요즘 시대에 평범하지 않은 메뉴라서새로웠음.지인짜 맛있었는데 양이 너무 많아서 남긴거라셰프님이 오해 안 하셨으면 좋겠음.."
5.0,"다른 후기들이 애매해서 반신반의했는데, 단호박피자 부드럽고 달달해서 너무 맛있었고 뇨끼도 맛있고 카르토치오 (토마토해물볶음?스튜?) 도 생소했지만 약간 매콤하니 단호박피자랑 같이먹으니 딱좋아서 맛있게 잘먹었어요. 막 세련된 내부는 아니지만 만족스럽게 맛있게 잘먹고갑니다. 직원분도 친절했어요."
5.0,1인1피자 추천드립니다! 즉석으로 피자를만들어서 주시고 인생피자맛집입니다💖
3.0,그럭저럭 먹을만은 한데 굳이 찾아가거나 웨이팅을 할 정도는 절대 아니라고 봅니다.애플시나몬 피자는 궁금해서 시켜봤는데 피자라 할 수 없고 소름끼치는 맛이니 절대 드시지 마세요. 도우는 맛있어서 다른 피자를 시킬걸 아주 후회했습니다.
2.0,"주변에 흔치 않은 양식 레스토랑 입니다. 리조또, 문어오일파스타, 라쟈나, 까르보나라 먹어봤고 다 맛있습니다. 분위기도 음식도 아주 좋아요. 다만 양이 많은 편은 아닙니다."
5.0,주차는 쉽지 않아요.가성비 좋아요
5.0,피자도 화덕으로 직접 구워서 넘 맛있고 파스타도 푸짐합니다! 성수동 디이트코스로 추천👍
1.0,지인이랑 이것 저것 주문했는데 해물이 들어간 메뉴는 조개 몇개는 안 신선해서 냄새가 났고 식당 분위기나 위생도 그닥...손님들이 많은데도 식당에 주방장님 목소리가 얼마나 큰지 그분 목소리만 들려서 불편했습니다(계속 뭔가 불평하고 욕하시던데)직원들도 주방장이랑 수다떠느라 바쁘고 ;;
5.0,동네주민이에여 엄청 제가 아끼는 맛집이에요 가족들 다데리거 가서 칭찬 받은곳 ㅋㅋ 여기 피자 화덕이라 정말 맛잇어요 파스타도 맛잇는데 피자최고
5.0,
5.0,개인적으로 맛있었는데 평이 안좋네요ㅜ피스타치오피자 바질향 나면서 쫄깃하고 까르보나라는 크림이 아니라 계란 들어간 정통 까보라 맛있었어요🫶🏻
2.0,해산물도 신선하지않고파스타류 전부 맛이 없어요.. 양도 적고재방문은 안할래요
1.0,여기 평점 알바쓰시나
1.0,밑에 할말이 없다고 한 이유를 깨닫습니다
5.0,
4.0,그냥 가성비가 좋은 듯가게가 좀 좁음
1.0,후기 잘 안남기는데 이 가게는 참 할말이 없네요..
2.0,가성비있고 맛도 괜찮음. 근데 테이블 더러워서 닦아달라고하니 팔이 짧아서인지 가까운쪽만 대충닦고 닦으면서 음식물 다튐. 여자알바생 (앞머리떡져있고 포니테일한) 진짜 별로임. 알바만 아니었으면 기분좋게 식사했을텐데 아쉬움ㅠ
5.0,"피자 파스타 JMTGR 28,800"
5.0,"음식은 대체적으로 맛있었습니다. 매장안에 진짜 화덕도 있고 오픈키친이라 조리하는것도 볼수 있어서 좋았네요.요즘 워낙 파스타도 고급스럽게 하고 잘 하는집들도 많아서 그 쪽이랑은 맛을 비교하긴 어렵고, 예전에 흔하던 동네 작은 파스타집과의 그 사이 어딘가의 맛입니다.가족끼리 방문 한다고 하면 충분히 맛있게 먹을 집이네요. 인테리어가 약간 올드 한거 빼곤 가볍게 즐기기 좋은 파스타 집입니다.잘 먹었습니다 😋😋😋😋😋"
5.0,너무 맛있음~~피자 장난아님
1.0,아지오는 이탈리아 식당 이어도 이탈리아 분위기는 아니다 (장식품과 가구만 빼고요). 직원들이 전혀 이탈리아 식사 예절 모른다. 시킨 음식이 식탁 위에 한꺼번에 올려놓으면 음식이 식는 줄도 모르고 (??) 음식을 하나씩 가져오라고 하면 화를 내기도 한다. 유럽식 식사에 대한 직원들이 철저한 교육이 필요하다.
2.0,"위치, 분위기, 친절은 괜찮으나 맛이 부족하다아란치니는 무슨맛을 내려고 한건지 알수가 없고,새우튀김로제 파스타는 소스와 면이 분리?되어 나와 파스타 면이 떡이 된거 같은 맛이었다"
4.0,인테리어 좋고 분위기도 좋았지만 맛은 평범 화덕 피자는 괜찮았음
5.0,문어파스타 맛있어요. 오래된 분위기가 묘한 매력이 있네요.
4.0,"저희는 어린이 포함한 세 가족이 문어오일파스타, 고르곤졸라 피자, 살치살 스테이크 주문했어요. 세 가지 다 맛있었고 실내 분위기도 좋았습니다. 오늘 말복이라고 나올 때 닭다리 과자를 깜찍 서비스로 주셨습니다."
3.0,친절한데 음식 맛은  부족합니다.
3.0,스파게티 리조또가 맛있어요
5.0,
5.0,"종로의 전통 맛집입니다,보리굴비파스타와 피자는 예술입니다."
5.0,
1.0,종업원이 정말 정말 불친절 끝판왕!가게 내부에서 호명으로 안내 할거면 테이블링으로 웨이팅 왜 받나요? 카톡 알림은 오지도 않고; 1시간동안 밖에서 기다리며 내부를 보다 보니 저희 다음 순서로 계속 넘어 가고 있더라구요; 들어가서 물어보니 “안에서 안 기다리셨잖아요“ 이게 대응이 맞는 건가요? 사과도 없기에 사과도 없냐 물어보니 “그래서 어디서 기다리셨는데요? 밖에서 기다리셨어요?“ 그렇다고 하니 비꼬는 식의 ”죄송해요~?“어린 여자들이라고 무시하는 건가요? 40대 초반정도 되어보인 여자 종업원분 그러지 마세요~ 다른 젊은 직원이 죄송하다고 사과하시고 서비스 샐러드까지 내어주시고; 정작 당사자는 물만 갖다주고 식기 세팅 하나도 안 해놓고ㅋ사장님 보시면 자르세요; 6시반에 예약해서 8시반 넘어서 먹었네요. 두번 다시 안갑니다.
5.0,
1.0,"최악.비추천.일단 종업원인지 사장인지 매니저인지 태도가 너무나 불량합니다.예약을 안했으면 자리가 있어도 오래 걸릴수있다고 퉁명스럽게 대답.음식 주문 받으러 오지도 않고 모든지 다 셀프.주문하고 나서 얼마나 오래걸리는지, 조리는 들어갔는지 전혀 공지없이 50분을 기다렸고결국 또 직원이 없어 찾고찾아 물어보니1시간째 조리도 안 들어감.점심에 가서 저녁에 먹는곳인가봄.가보세요^^"
2.0,스파게티 .피자 동시 주문..  .아무리기다려도 피자가안나옴......
4.0,
3.0,정말…기묘합니다화덕피자는 화덕에서 구워서 평균 이상의 맛인데로제 파스타는 맛없었어요식전에 홍삼 스틱을 주시는 건 신기했습니다
5.0,폭립스테이크? 강추여 파스타는 싱거웠어요 화덕피자도 진짜진짜 맛있어용
5.0,여기 화덕피자 엄청 맛있어요 직원들도 친절하고 파스타도 맛잇어요 ~~인사동 오면 또올래여~~근데피자를안찍엇네...
2.0,유튜브 보고 기대하고 갔는데 좀 실망했어요. 새우가 안 익은 채로 나왔어요. 다행히 어렵지 않게 새로 받았어요. 배탈 안 나길 바랄 뿐이에요. 건물이 오래된 건지 이상한 냄새가 났고 난방이 잘 안돼서 춥게 먹었어요. 특히 화장실에 찬물만 나와서 손 시려웠어요. 겨울에는 추천하지 않아요.
