rating,review
2.0,"화덕이라 피자도우는 쫄깃하니 맛나는데 딱 그정도..?간이 좀 애매하게 심심해서 그냥 그래요 풍기는 비추,,"
1.0,어딘가모르게 불친절함과리조토는 많이 덜 졸여지고 밥알은 꼬들한 수준..수란은 너무 익었고화덕피자는 맛있었지만 도우가 너무 얇아요아마트리치아나는 안에 갈릭칩? 같은거 넣으신거 같은데 식감을 너무 방해해요 맛도 그냥 그래요왜 유명한건지..
3.0,피자도 파스타도 리조또도 그냥 그래요 좀 짜네요
1.0,이 가격에 이 양이 맞나요?;아무리 성수 물가니 뭐니 하지만.. 맛없는건 아닌데 가격대비 양이 참.... 할말하않여기보다 더플레이스 라는 양식집 체인이 나아요.
4.0,화덕피자가 먹고 싶을 때 생각나는 곳
3.0,맛있는데먹다보면 입이 너무 짜요..
3.0,마스카포네 맛있음
4.0,여긴 피자맛집. 다른 메뉴는 별로임 (5번 이상 방문)
4.0,동생이 놀러 와서 처음 가봤고 그 후로 2번 정도 더 방문했어요맛도 분위기도 좋았어요! 특별한 메뉴가 있거나 하진 않지만 친구랑 같이 가기 좋은 장소입니다성수에서 파스타 먹고 싶으면 여기 추천해요
3.0,마스카포네 피자는 생각보다 건강한 맛!페스토가 프레쉬한 편. 페코리노를 더 넣는다면 밸런스가 좋을듯바질+마스카포네 조합 좋아하시면 무난할듯로제파스타는… 너무 아쉬운 맛이었습니다ㅠㅠ
3.0,이름 때문에 타코 파는덴줄???? 맛은 솔직히 그냥 그랬음 뭐 맛의 기준은 다르니까
3.0,일단 이탈리아 음식인데 매장 이름은 스페인어여서 좀 헷갈렸어요..ㅎㅎ 인테리어 좋고 분위기도 좋았어요. 시금치 파스타 너무 헤비하고 마스카르포네 피자 너어무 느끼했어요. 배 부르게 먹었지만 시간이 지나서 어? 점심에 뭐 먹었지? 기억할 맛은 아니었어요.
4.0,파스타맛이 조금 아쉬웠지만 근처 가성비포지션 레스토랑중에선 최고인듯마스카포네피자 무ㅣ친넘.. 또먹고싶다
5.0,도우가 진짜 맛있네 여기 캬
4.0,마스카포네랑 쉬림프 까넬로니 진촤 마싯음. 파스타는 비추천.
4.0,
1.0,너무짜요………
3.0,피자는 ㅇㅈ얇고 쫀득한피 식으면 얇은곳 바삭파스타는 밑 후기처럼 환불해달라할뻔 ㅠ
5.0,단호박 살라미+메이플시럽 조합 미쳤습니다.진짜 맛있어요! 그리고 매콤한 파스타까지 조합 좋아요.(아마트리치아나)브레이크타임이 세시부터여서 약간 아쉬움이 남으며 2시까지 주방마감이라고 언질 여러번주셨지만 2시 이후에도 손님 받으셔서 참고하시면 좋을 것 같아요!:)
5.0,
3.0,맛이 괜찮지만 웨이팅을 그 정도로 길게 해서 먹을 정도는 아님맛만 보면 괜찮은 편 업장 분위기도 나쁘지 않다
4.0,좋은데요 가격 떠나서 맛있습니다 음료도 좋음
4.0,가지그라탕 맛있었음맛이 전체적으로 슴슴하고 토마토향이 강함
2.0,아래 댓글처럼 직원 응대방식도 너무 불만족스러웠고 음식도 비리고 기름에 절여있었어요. 마치 1팀 다 먹어서 바로 입장 가능한 것 처럼 말씀주시더니 추운데서 일행분들이랑 30분 기다렸습니다. 그래서 예상 웨이팅 시간이라도 말해달라 했더니 그냥 계속 곧 들어갈 수 있다고 하고.. 차라리 다른데로 갈 걸 그랬어요
5.0,바질피자때문에 주기적으로 가야하는 곳.. 거기다 콜키지프리🫶🏻
5.0,가성비 좋은 이탈리안!! 특히 바질마스카포네 피자가 맛있음
1.0,"직원분들 응대방식, 음식 모두 실망스러웠습니다.웨이팅 여부 여쭤보려고 전화드렸더니받자마자 “저희 한 팀 웨이팅 중이고 주방 8시 마감인데 그때까지 착석못하시면 주문 불가능하세요” 라고 혼자 말해버리고 끊어버리시더라구요.이미 가려고 택시를 잡아놓은 상태였어서 일방적으로 끊어버린 통화로 기분이 불쾌해진 상태였지만 가기로 했습니다. 도착해서도 같은 말을 하면서 웨이팅시스템에 등록하라고 한 뒤 8시까지 착석 못하면 자동으로 예약이 취소된다고 하는데 ..  어처구니가 없었지만 기다렸습니다. 불행인지 다행인지 8시를 5분정도 남기고 자리에 앉게되었습니다. 안내해주시는 스텝분께서 또 한 번 말씀하시더라구요.  8시까지 주문안하면 주문안되고 가게는 9시에 닫는다고 거듭 말을 하는데 .. 왜왔냐고 말하는것 처럼 들릴 지경이었습니다. 두 팀 정도가 같은 시간대에 입장하셨는데 그분들도 불쾌해 하시는걸 보았습니다.음식은.. 이런 일이 없었어도 충분히 실망스러웠을텐데 이런 일까지 겪은 후에 먹느라 형편없었습니다. 피자가 기름에 절여져있는거같았어요.왜 택시를 타고 여기까지 왔나 싶었습니다."
2.0,아. .마스카포네  피자만 맛있어요파스타는 욕나올뻔함..으. .짜고  심하게 맛없고 샐러도 너무없고후레쉬하고 상큼한 메뉴가 없어서아쉽더라구요실내 많이 어둡지만인테리어는 이뻬요..
5.0,마스카포네 피자 너무 제 취저얐어요
5.0,"마스카포네 피자 하나만으로도 방문할 가치가 충분히 있는 곳인데, 요즘 이런 식당치고 가격도 합리적이고 파스타메뉴도 맛있어서 5점수시로 식당이 나고드는 뚝섬 성수에서 오랜 시간 살아남은덴 역시 이유가.."
5.0,맛있어요.
4.0,무난하게 맛있음다소 단 편
5.0,비오는 날 그냥 들어간데 너무 맛있어서 놀람.담에 가족들이랑 한번 더 와야지.
4.0,피자가 진짜 너무맛있었음파스타는 그저그랬고 가지요리도 그냥 무난피자먹으러 다시 가고싶은 집
1.0,
4.0,맛있곤 친절함~
4.0,바질 피자 한 입 먹고 감동함 ㄷ ㄷ근데 파스타는 걍 평범(바질피자 꿀에 찍어드세요…. 😁👍🏻)
3.0,바질피자는 5점. 진짜 독특한맛.하지만 토마토소스피자는 짜고  시금치크림파스타는 달아서ㅠ 파스타는 안 시키는게 좋을듯해요. 바질피자와 카프레제샐러드 정도 추천합니다.
4.0,바질 피자가 특히 추천하고 싶어요😋
5.0,나이스합니다 강추
4.0,콜키지 프리여서 갔어요 지금도그러하다면 추천합니다
5.0,파스타랑 피자 맛있어용
5.0,맛있습니다.
5.0,누메로도스도 이제 성수에서 꽤 오래가고있는 곳인것같습니다! 음식 가성비 맛 다 좋고 제일 좋은건 와인 콜키지무료!오픈초기쯤 가고 오랜만에 가니 모든것이 그대로였어요! 다 좋긴한데 옛날부터 데코되어있던것들이 그대로 마당쪽에 있기도하고 해서 주변 정리가 더 되어있음 좋을것같았습니다!:)또 갈께요!🙂
3.0,데이트로가면좋을거같네요맛은좋고 점심으로 먹기엔 비쌈
4.0,웨이팅 너무 많을까싶어 토욜에 오픈런 했어요^^우와 완전 맛 있어서 자주 갈 것 같아요~~피자 넘 맛있고~~~👍🏻😍
2.0,"ive been going to this store since it opened.  first year, the pizza was amazing.  dough was complex, chewy, and airy.  but the past 2 experiences have been disappointing.  the quality is not as good anymore.  the pizza dough taste is not special, seems like they forgot what makes their pizza dough unique.  rosemary water is weird, and their pizza toppings dont work well together.  its not bad but it used to be a lot better."
4.0,까넬로니 먹을만하나 양이 좀 적고 마스카포네 크게 뭐가 들진 않아도 풍족한 맛이었다
3.0,아랫지방 사람이라 짠거 잘 먹는데도피자나 가지나 짜서 도저히 손이 안 감
5.0,피자가 너무너무 맛있어요!
4.0,"카프레제 샐러드5, 매운홍합찜4, 봉골레 파스타3"
5.0,정신없이 순삭! 흡입! 역시 성수에서 피자로 유명할만 하네요
4.0,재료에 충실한 맛.성수에서 가장 합리적인 가격.
