rating,review
4.0,장점 : 고기가 전체적으로 맛있다. (구워주심. 다시 방문해서 냉면 먹어봐야겠다)단점 : 그닥 없음[주문]눈꽃삼겹 : 삼겹살의 지방이 고소하고 맛있음눈꽃목살 : 맛있는 목살이였음
4.0,
3.0,삼겹살이 지방이 많긴한데 쫄깃통통해서 맛있고 순두부찌개도 잘나와요. 직원분이 잘 구워주심.근데 너~~~~무 시끄럽고 에어컨 앞자리에 앉았는데도 더움..직장인들 회식 많고 식당이 작아서인지 소음흡수가 안되서 엄청 시끄럽고 대화 힘듬.진짜 귀아프고 더워서 대화 별로 못하고 15분만에 먹고 후딱 나옴..겨울에 추울때 일요일 오후 사람 없는 타이밍에 일찍 와서 먹는걸 추천..재방문의사 있음
2.0,주말엔 회사원들 없어서 갈만해요자주가는곳인데 왜 비계가 점점 많아지는지....구워주고 친절한편인데고기 퀄리티가 갈수록 떨어지는곳오픈때는 괜찮았는데 갈수록 안좋아지네요이제 그만가야겠어요
5.0,여기 밋쳤음 삼겹살에 물냉먹었는데 넘 맛있었어요 ㅠ 사장님?같으신 분이 구워주셨는데 아니 어떻게 식당에서 먹은 고기가 캠핑장에서 야외바베큐로 구운 맛이 나냐구요 저 원래 쌈장에 쌈싸먹는 사람인데 여기서는 걍 소금만 계속 찍어먹음.. 진짜 숯이 좋은건지 불판인지 사장님 스킬인지 존맛탱 그잡채 담에도 생각나면 꼭 갈거예요 유일한 단점은 의자가 그냥  동그란 의자여서 엉덩이가 좀 배겨요.. 의자가 불편한 것 빼면 다 좋았어요! 아 그리고 유의할 점은 고기가 비계부분이 좀 있고 고소한 기름진 맛이에요 저는 좋아해서 괜찮았는데 살코기위주로 좋아하시는 분은 물릴수도 있습니다 같이간 지인은 살코기파라서 많이는 못먹었는데 그래도 진짜 맛있다고 하더라구요!
5.0,
5.0,고민하지말고고고
4.0,"갈비살 진짜 맛있고 소주 좋아하는데 그 강릉 맥주만4병 마시고 소주로 넘어갔네요, 맥주 진짜 강추합니다!! 고기도 전반적으로 맛있어요 구워주시구요!!전반적으로 대만족이였는데 4점인 이유는 뭔가 크리티컬하게 인상깊은 맛은 아니고 무조건 재방문해야겠다 이정도는 아니라,, 그래도 방문하시면 만족하실것같습니다!"
5.0,
5.0,긴 말 안하겠습니다. 여기 고기 진짜 미쳤네요. 이베리코 플루마 골드 꼭 드셔보시길 바랍니다. 성수에서 먹은 고기중에 제일 맛있었습니다. 잘 먹었습니다. 😋😋😋😋😋
5.0,눈꽃삼겹 넘 맛있습니다! 고기 맛있게 잘 구워주시고 아주 친절하시고 일하시는 분들끼리 분위기도 좋아요.추가반찬도 잘 주십니다. 과민성 대장만 아니면 전처럼 정말 자주 갔을 텐데 요즘 자제하고 있어요… 흡
4.0,
5.0,회식 장소로 좋은 고깃집
5.0,고기 집은 고기가 맛있어야 합니다
5.0,회식장소로 좋습니다. 마감이 빨라요ㅠ
5.0,회식장소
3.0,생각보다 많이 느끼함 구워주시는 집인데 오버쿡 됨.. 바쁘셔서 모든 테이블 신경 못쓰심.동일 가격대 선택사항 많음
5.0,넘 맛있어요~~ 평소에도 자주 가는데 얼마전엔 회식이라고 모든 메뉴 다 주문해서 먹어봤는데 한정판 메뉴는 역시 그 값어치를 하네요~
3.0,(마지막방문 2022-06) 별점수정합니다. 초심을 잃으신듯…(2021년 후기) 목살에 치이고 갑니다 앞으로 고기 데이트는 여기서 하는걸로!
5.0,정말 맛있었습니다. 직원분들 정말 친절하셔서 저희도 기분좋게 식사하고 왔습니다. 또 방문할게요.
3.0,이베리코 목살이 유명하대서 그걸로 시켰는데 저는 너무 질겨서ㅠㅠ 씹느라 턱이 아팠어요..그냥 눈꽃 삼겹이나 목살은 괜찮은걸까요ㅠ 친절하셨는데 그 부분이 아쉬웠어요…
5.0,
5.0,추가 고기도 끝까지 구워 주시는 정성과 맛이 가득한 장소 입니다.
5.0,한번 가봐야겠네요
5.0,
5.0,"맛, 서비스 모두 성수동에서 이 집을 이길 수 없습니다. 자리는 조금 불편하나 고기맛 보면 그건 잊어버립니다. 웬만하면 조금 일찍 가셔서 사장님이 처음부터 끝까지 전담마크로 구워주시는 고기 드시길 바랍니다. 맛의 차원이 다름 ㄹㅇ"
5.0,
4.0,
5.0,자주 가는데 되게 맛있어요
5.0,재방문 30번은 한듯.. 너무 평점이 좋아서 모두가 맛집되는 느낌이라 웨이팅이 길어짐ㅠㅠ
1.0,
5.0,점심메뉴만 먹어봤어요.맛있게 먹었어요!  가격도 7000원이라 좋아요!
5.0,역시 여기 후기 좋을것같았어요 현존하는 뚝섬/설숲 삼겹살집 중 제일 맛있음
5.0,존맛 존맛 존맛!!!!!!직원분들도 다 너무 친절하시고육즙 팡팡이에요…무조건 또 갈거에요 ㅠㅠㅠ
5.0,
5.0,개인적으로는 이베리코 목살보다 그냥 삼겹살이 더 좋았어요 ㅎㅎ 차돌 된장밥은 좀 아쉬웠습니다 ㅜ
5.0,제일 맛있어요
5.0,돼지고기는 질릴정도로 먹어봤다해도 여기만큼 맛있는 집은 드물다삼겹살과 흑돼지 목살을 1인분씩 시켰는데 삼겹살은 쫄깃하고 탱탱한 맛이고 목살은 좀 더 부드러운 느낌이다덕분에 돼지고기에서 씹는 맛의 즐거움이라는걸 처음 경험해봤다웨이팅을 40분가량하고 들어갔음에도 재방문의사가 있다+)두부김치와 순두부찌개가 기본찬으로 나온다순두부찌개가 기본으로 나오는건 처음봤는데 맛도 괜찮았고알바생분들이 바쁜 와중에도 정말 친절했다
5.0,넘 맛있어요... 돈을 많이 벌어야겠다고 다짐했습니당 ㅠ
5.0,존맛입니다.
5.0,고기 맛있음. 간판이랑 돼지맛이 일치하지는 않음점심 김치찌개는 비추.
5.0,근처 고기집 중에 제일 맛있어요
5.0,뚝섬성수 1타 고깃집! 이베리코 목살을 먹는 순간 감동을 느낄것입니다.
5.0,이베리코 및 국내산 돼지 모두 존맛.
5.0,GJMT
4.0,"순두부찌개도 서비스로 주고, 이베리코목살이 진짜 맛있었어요. 추천합니다!"
5.0,"무조건 오세요ㅠㅠㅠㅠ ! 반찬 정갈하고 자극적이지않고 적절한 간으로 너무맛있구요, 고기도 두툼하니 육즙이 가득입니다!! 기본으로 두부김치랑 바지락순두부 주시는데 진짜꿀맛이에여,,, 테이블이 꽉찼음 좋겠다는 생각으루 적으러 들어왔어요ㅋㅋㅋㅋ 고급지기도해서 어른들이랑 와도 좋을 것 같아요!! 자주올게요 번창하세요~"
