rating,review
5.0,국밥보다 육회비빔밥이 엄청 맛있더군요. 미나리 무침에 싸먹는 육전도 끝내줬고요.회전율이 꽤 좋아서 대기 줄이 있었는데도 불구하고 금방 내점할 수 있었습니다. 식당 내부도 깔끔했고 직원 분들도 친절한 가게였습니다.
4.0,미나리가 그리울때 가는곳 성수에 이만한 식당 없는 것 같아요
5.0,곱창전골 죤맛~ 대기가 금방금방 빠져서 기다릴만합니당 ! 다음엔 쏘주와 함께 먹을거에효..
5.0,미나리반찬에 곁들인 양념이 미쳤어요~대존맛~!!미나리곰탕에 들어있는 미나리 향과 식감이 너무 좋아요!!
4.0,
3.0,육비맛있간장베이스미나리육회잘어울림육전조금짜지만맛있미나리곰탕은곰탕에미나리기대가컸는데소소했다
4.0,
3.0,
5.0,
4.0,미나리 러버에게는 맛있었습니다!음식이 전체적으로 담백해서 더 좋았어요
4.0,미나리 원없이 먹어서 좋았다. 수육은 조금..  (고기에서 좋아하지않는 방향의 육향이 나서) 내가 생각한 맛은 아니었음😅
5.0,솔직히 진짜 맛있어요 웨이팅 왜 많은지 알겠고향긋한 미나리가 정말 굳 고기랑 잘 어울리고고기도 야들야들 ~ 국물이 개운하고 자극적이지 않아요
3.0,미나리가 나름 신선하고 향긋하고 육회비빔밥이 고추장 베이스가 아니어서 잘어울려서 무겁지않고 라이트해서 맛있었다미나리곰탕은 맑은 갈비탕에 걍 많이 넣어둔느낌이라 굳이...? 라는 이미지는있었음육빔에 서비스로 준 국이 더 깊은맛이었어서ㅋㅋ솔직히 양이나 서비스에비해 비싼편이라 가성비는 정말별로지만 부대끼는 메뉴가  많은 성수에선 나쁘지않은 선택이라고 생각함그치만 절때로 몇시간씩 대기할맛은 아니다
2.0,가격은 안평범 하지만 맛은 평범 그 자체
5.0,"줄서는 식당에서 보고 찾아가 곳인데,찐 맛있게  잘먹었어요곰탕"
3.0,
5.0,
3.0,너무 기대를 많이 했는지 정말 무난했습니다.미나리곰탕은 깊은맛이 없었고 미나리육회비빔밥은 달달해서 금방 물렸습니다.테이블 회전은 빨랐습니다!
5.0,직원분들 친절하시고 맛있어요~
2.0,"곰탕에 굳이 미나리가 들어가야 했을까. 미나리맛도 곰탕 맛도, 니맛도 내맛도 아닌 sns 보여주기식 식당. 육회비빔밥은 그럭저럿 먹을만 한데 너무 달다."
2.0,별로 가고싶지않은 곳이군요.동네에 있어 갔는데  음식 맛을 떠나  손님이 너무 많은것 같네요. 모두 힘드신가???.....
1.0,"비추. 밥먹는데 비로 옆에서 테이블 인덕션 고치느라 우당탕탕 거리고, 공기밥은 서비스로 준 것 같은데 계산할 때 다른 직원이 서비스 아니라고 돈받음 크 서비스가 넘 별로;; 이게 뭐하는거죠"
4.0,맛 좋았습니다. 김치 석박지 꼭 챙겨드세요!
5.0,
3.0,"곰탕, 수육은 비슷한 결로 고기+양념장 조합은 꽤나 적절함. 고기의 질감이 완전 부드럽진 않으나 질기지는 않음. 전체적으로 간이나 조미가 강하지 않아 미나리 향을 더 강조하려는듯. 비빔밥이 의외로 맛이 쎔. 줄서는 식당인지는 조금 의문스러움."
5.0,
4.0,
2.0,이걸 줄서서 먹는다고...?
4.0,야채가 많아서 건강하지만 동시에 살짝 달달한 육회비빔밥이었어요. 전골을 못 먹어봤지만 곰탕도 육수가 적당히 맛나네요.
