rating,review
5.0,"직원들은 전부 친절하시고, 한끼 맛있게 먹고왔습니다.새 건물로 이전해서 깔끔해서 좋았구요.쌈채소가 다양하고, 김치찌게는 예술입니다. 사장님이 좋은일 많이 하신다고소문나서, 대박 나실겁니다."
5.0,반찬구성 많은쌈그리고 무엇보다 아주머니분들께서 너무너무 친절하십니다!!!  정말 친절하세요!!갈비맛은 적당하지만 다른것들이 너무 괜찮아 5점입니다
1.0,"왜 줄서서 먹는거죠..?유명해서 가봤는 데, 역시 음식점은 각자 입맛에 따라서...갈비양념도,고기질도,절대 비추"
5.0,돼지갈비 먹었는데 역시 맛있네요. 돼지고기 김치찌개도 기본으로 나오고
4.0,갈비개쫀맛김찌는김치찜맛너무너무만족야채랑부수적인많음요근래먹은갈비중최고1시간웨이팅하긴했는데도만족
3.0,서울숲 근처 갈비골목의 대장주. 지금은 뚝섬역 근처 연무장길 진입하는 곳으로 옮겼네요. 워낙 유명한 곳이니 한번쯤은 가 볼만 합니다.
1.0,삼겹살.... 냉동으로...바꼈나요....고기에 수분감도 없고 뻣뻣~....외국인 손님 모시고 올때마다 맛있게 먹었는데이사하고나서 이모님들도 넓은 홀에 다리만 바쁘시고 효율이 영 떨어지시는듯...옛날 생각하고 오면 다른 분들 말처럼 실망 많이 하실듯..냉동 삼겹살 1만8천원에 먹고 갑니다..에혀빠빠이...
1.0,"급하신 분들을 위한 한 줄 요약재방문 절대 없음🙅‍♂️🙅‍♀️🤦‍♂️❌️❌️위치 바뀌기 전에 갔던 좋은 기억으로 다시 간다면 너무 비추천입니다..저도 그렇게 갔다가 후회했어요1.메뉴가 너무 늦게 나온다.기본으로 주는 김치찌개도 거의 다 먹고 나서 드릴까요 하면서 마지막에 겨우 받음시켰던 냉면도 주문 들어갔냐고 말하니까 그제서야 가져왔음. 주문 안들어갔으면 취소해달라고했는데 방금 막 만들어서 안된다고 했다. 근데 그 뒤로 좀 지나서 나온거 보니까 그냥 까먹은듯2.고기가 너무 퍽퍽하다.닭가슴살을 먹는건지 갈비를 먹는건지 잘 모르겠어요.. 차라리 명륜 먹는게 훨씬 나은 선택이었을지도.. 불판이 약한건지 불판이 원래 탄건지 모르겠는데 다른 갈비집에 비해서 불판이 너무 빨리 타서 제대로 먹기도 힘들었어요.3. 불친절한 서비스밥을 먹고 있는데 옆에서 흡입구 청소하고 나오는 때 찌꺼기 쓰레기를 자꾸 옆에다가 버린다. 이런 부분은 사람마다 예민하다고 생각할 수 있는데 옆에서 쓰레기 버리는게 한두번이 아니었다. 밥먹는데 자꾸 기름때 쓰레기 버리는데 이러한 사소한 위생관념을 고려 안하시는듯4.미안하다는 말 한마디를 안한다.음식이 늦게 나와도, 옆에서 쓰레기를 치워도 단 한 번도 죄송하다는 말을 안해요..다 먹고 나서 음식이 나왔으면 후대처라도 해야하는데 그냥 어쩌죠만 연발하심. 음료수같은 공짜 서비스는 바라지도 않고 그냥 늦게 나온 음식 줄때라도 죄송하다고 말해줬으면 그나마 이해했을텐데맛이라도 있었으면 이런 단점을 참고 먹었을텐데 맛도 별로라서 더 별로였어요ㅠ오랜만에 성수가서 현장 웨이팅이라서 웨이팅 길게하고 먹었는데 너무 별로였어요"
3.0,세월이 변해서 가격이 변해서 그런데 맛은 아리송 그래도 한번은 가볼만
1.0,태어나서 처음으로 리뷰 남깁니다주방에서 주문 감당이 안되면 주문 받지마세요
2.0,종업원이 불친절해서 다시는 가고싶지 않아요;맛은 갈비나 반찬이 전체적으로 너무 달아요
5.0,
4.0,노포 돼지갈비
1.0,친절하고 말고의 문제가아니다.테이블에 벨 이 없다 .
5.0,깔끔하고 브레이크타임 없어서 가족과 편하게 잘 먹고 왔어요~ 또갈것 같아요^.^
1.0,서비스 개똥이에요.줄 세우고 랜덤으로 앉혀서 줄 서는 의미가 없어요
1.0,여기 왜 인기많은지 1도모르겠음 돼지갈비가 개퍽퍽해서 양념맛이 안느껴질정도임. 싸구려목살쓸거면 갈비라는 말을 붙이질 말아야지;; 2인분시켯는데 한두덩어리가 그런게 아니고 전체가 다 싸구려 퍽퍽한 목살이었음;; 앞으로 다시는갈일없을듯
1.0,"엥 맛도 없고ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 말 무시하고 직원사장들도 뭐 시킨지, 어디로 줘야되는지 모르고, 불판도 최대한 늦게 갈아주고, 남여차별에, 먹고있던 물도 사장이 갈비통에 부어버리고…. 와우 이런곳은 처음! 역대급 가게"
1.0,불친절 끝판왕. 반말은 기본에 말끝나기도 전에 무시하고 가기. 툭툭 던지듯이 음식 주고 맛도 특별할 것 없습니다.. 바쁜 가게에 대단한 친절함을 바라는건 아니지만 기본은 하셔야죠
