rating,review
5.0,"맛, 분위기 뭐 대체할 곳이 없다.그냥 편안하게 집 앞에 매일 드나들고 싶은 카페"
5.0,1층에는 큰 쇼파 두개라 안쪽으로 들어가기 좀 불편한데 지하에도 자리가 있더라구요지하자리 시원하고 좋아요그리고 레몬 도넛 맛있어용
3.0,처음엔 사람들과 마주하고 커피를 마셔야한다는게 부담스럽고 싫었는데 한번 소파에 앉으면 일어나기 힘듦.여러번 마셔봤지만 커피맛이 특별한건 잘 모르겠음. 걍 이름값인거같음.
5.0,성수하면 로우키커피하면 로우키
5.0,커피랑 도넛 맛있어요 분위기도 좋고 직접가져다줘요
5.0,"사실 매장에서 마신다면 바리스타마다의 손맛과 스타일이 달라 내 입에 최고인 카페라고 할순 없을 것 같습니다만, 로우키의 원두 셀렉션과 로스팅은 언제 어떤 것을 마셔도 로우키답습니다. 그것만으로도 5점을 주고 싶군요"
4.0,"진득한 초코, 진한 라떼☕️자리가 불편할 것 같지만 은근 편함(편해서일어나기 힘듬ㅋㅋㅋ)커피 마시고 정신차리고싶을때 후루룩 마시면 좋을듯ㅋㅋ"
5.0,좌석 너무 편하고 커피향이 정말 좋아요.그냥 프렌차이즈에서 일반적으로 먹을 수 있는게 아니라 향긋합니다~!인디안 아티칸 워시드 아이스로 먹었구요. 상큼해서 좋아요
5.0,역시 로우키 커피 맛있음
5.0,
5.0,인테리어도 이쁘고 커피도 맛있움! 1층 & 지하 운영되니 참고~~ 담에 또 갈 의향 있음!!
4.0,
5.0,세가지 원두 선택에 있어 다양한 고객들에게 만족감을 줄 수 있을 거 같고 산미가 있는 커피를 선택했지만 목넘김이 좋은 산미는 아니였어요 공간이 편안하고 직원들의 친절함이 좋았습니다
4.0,"직원분들 친절하시고 좋았습니다. 주문을 하면 번호를 주셔서 직원분이 가져다 주십니다. 1층과 지하에 자리가 있었고 두곳 다 2~4인용 테이블이 아닌 큰 테이블이 2~3개가 있는 곳입니다. 다른 손님들과 같이 앉는 카페입니다. 1층, 지하 둘다 분위기가 굉장히 좋았고 개인적으로 자주 듣는 노래들이 많이 나와서 좋았습니다. ㅎㅎ 커피맛은 잘 모르지만 디카페인을 시켜 먹어보니 산미가 있는 커피였습니다. 휴지도 귀염뽀짝한게 사용하기 아까웠습니다.ㅋㅋ 아 그리고 지하로 내려가는 계단이 은근 높아서 살짝 무서웠습니다."
5.0,원두 인터넷으로 사먹다가 처음으로 방문해봤는데 설명도 잘해주시고 분위기도 좋았습니다. 근데 손님 너무 많네요. ㅎㅎ
5.0,"커피에 진심인 성수동 카페. 어딘가 한 듯 만 듯한 인테리어의 아늑한 공간이다. 크고 진한 목재 테이블에 소파들이 있다.스페셜티 커피와 직접 블렌딩한 원두를 디룬다. 입구 왼쪽 벽면에는 집에서 내려 마실 수 있도록 원두도 판다. 스페셜티 치고 저렴한 가격이지만 그렇다고 해서 절대 커피맛이 뒤쳐지진 않는다(사실 커피맛 잘 모름).무려 COE 우승 원두가 있다. 그 커피를 주문해서 그런지 원두의 특성과 맛, 마시는 방법을 자세히 설명해주셨다.쿠폰엔 양각(?)으로 눌러줘서 인주가 번지지 않는 게 좋다. 8번만 채우면 되는 듯하다.지하1층 좌석이 있다는데 몰랐다. 다음엔 거기 가봐야겠다."
3.0,커피맛도 좋았고 인스타감성 카페같이 불편함이아니여서 편했다.비가 많이 내리는날 가서 밀크롤케이크와 커피두잔을 마셨습니다.근데롤케이크 크림에서 레몬의 신맛이느껴져서 그만 먹고 남기고온게 좀아쉬웠습니다. 여직원께 물어봐도 얼렸다가 해동해서판매하는거라 제품에 문제가없을거라했지만  제품 해동과정에 문제가 있었던거같은데.  커피맛은 맛있습니다
5.0,종종 원두를 사가곤했는데오랜만에 방문해도 기억해주시고 친절하셔요성수 답지않은 🙏🏻 정감있고 프로페셔널한 카페입니다 또 갈게요☺️
5.0,"진심으로 맛있기를 기대하며 갔는데 진심으로 맛있어요!!!!!! 아메리카노도 라떼도 쵝오쵝오.기본이 이렇게 좋으면 브루잉은 얼마나 맛있을까요,,,, 다음엔 브루잉 커피를 경험해보고 싶네요!"
