rating,review
4.0,왜인지 모르겠지만 이태원점에 비해 버거 퀄리티가 좀 떨어짐.하지만 객관적으로는 맛있는 편이고 매우 친절+쾌적한 매장이라 재방문 의사 있음
2.0,이 가격에 먹을 맛은 절대 아님 다만 좌석 간 여유는 좋음
5.0,bruh This is Hip-Hop ngl
5.0,최고
5.0,이정도 맛과 양이면 가성비입니다.양도 많은편이고 층고가높고 좌석이 넓게 퍼져있어서 쾌적하고 무엇보다 직원분들이 너무 친절하심.요즘 이렇기 친절한 업장은 많이 못봤던거같습니다.
1.0,치킨버거세트를 4만원가까이파는갈비보다비싸게파는 비양심에 혀를내두릅니다절대안갈깨여
5.0,짱맛ㅋㅋ
4.0,가급적 이태원에서 드세요…
4.0,가격이 흠이지만 맛은 나쁘지 않음
4.0,엄청 자극적인 매운 치킨 버거입니다양념에 절여졌음에도 바삭한 치킨패티가 좋아요양념과 소스는 달달짭짤하고 감칠맛이있습니다양념과패티 소스가 본체고 야채가 씹는재미를 주는 정도입니다다만 저는 2단계를 먹었더니 제게 좀 맵네요1단계를 먹었더니 개성이 죽고ㅠ
5.0,쪼오끔 비싼듯 했으나 매장 크기에 비해서 좌석이 별로 없어서 바로 납득가능! 진짜 쾌적하고 층고도 엄청 높아서 대형매장 좋아하는 저는 너무 행복했습니다....매장직원분들도 다 친절하시고 음식도 진짜 맛있게 먹었어요!!! 탄산음료는 리필가능하니 참고하세여~~~
5.0,엄청 맛있었고 접객하시는 직원분도 친절하세요.
5.0,
5.0,맵고 자극적인 치킨버거성수 매장은 넓고 쾌적해서 좋아요
4.0,
5.0,어제 먹고 울었다
5.0,직원분이 친절하고 버거도 맛있었어요1단계는 양념치킨? 그정도 맵기인데맵찔이한테 적당하네요감튀는 두껍고 짭짤하니 맛있네요
3.0,꽤 괜찮았어요 다만 가격대는 좀 있어요
2.0,맛은 처음갈때보다 좀 떨어진거같아요 (특히 버거)세트로 먹은 치킨조각에서 닭비린내 났습니다...실화..?퀄리티 체크해보셔야할듯...
5.0,
5.0,
5.0,치킨버거 맛집.치킨패티 식감이 좋고 소스랑 재료가 잘어울림!치폴레 감튀도 맛있음분위기도 좋고 맛있어요
5.0,인생버거 미쳤다..치폴레 감튀까지 완벽
5.0,
5.0,더 이상 설명이 필요 없는 맛집
4.0,치킨버거 찐 맛집.바로 옆 르프리크와 함께 대한민국 치킨버거 양대 산맥.치킨까지 함께 먹을 수 있어 더욱 좋다.
5.0,더클래식버거 개맛있습니다
5.0,수프라때문에 성수점을 더 많이 가는듯개인적으로 전국 치킨샌드중 단연코 원탑이라고 느낌
2.0,"분위기 은근 키치하고 성수의 매력을 느낄 수 있는 곳.그치만 버거만 봣을땐…훔롸카두들 와보고싶어하다 참 늦게왔는데,갠적으로는 르프리크가 더 맛낫습니다…더 클래식버거,치킨도짠데, 코울슬로, 피클까지 3세트로 너무 짜버려서 맛은 있었으나 버거만 봤을때는…네..그래요 기대를 너무 많이 햇나봐요..치킨만 먹으면 참 맛있는데 말이죠"
5.0,롸카두들 말해 뭐해 .. 사랑혀 … 직원분들이 너무 친절하셔서 행복했뜸
5.0,"치킨 버거 중에서 말고, 버거 중에 제일 맛있다최소한 한국에선."
5.0,치킨버거집 중에 제일 맛있어요! 가게도 예뻐요!
5.0,오랜만에 방문해서 늦은 점심 먹었는데 역시 감동의 맛이네요. 맵찔이인 저에겐 맵기 0.5 너무 좋았습니다. 소스 밸런스와 튀김의 정도가 너무 좋네요 잘 먹었습니당 👏
