rating,review
5.0,뻔하지 않은 샐러드 구성
4.0,젊은 감각에 맛도 좋은 곳
5.0,다이어트 식단으로 최고입니다!
4.0,
5.0,"성수에서 일상적으로 한 끼를 먹을 때, 가장 사랑하는 공간입니다.샐러드볼을 주로 먹지만 이외에도 카레, 토마토 스프, 샌드위치까지 거의 모든 메뉴를 먹어봤습니다.하나도 빠짐없이 맛있고 신선했고 재료 하나하나 관리가 잘되어 있고, 정성을 들인 느낌이었습니다.건강한 영양소를 두루 갖춘 한 끼 식사로 적극 추천합니다!르베지왕은 먹고 나서 배가 부를 뿐만 아니라 기분도 좋아지는 맛입니다. 키친도 청결하고, 모든 스태프가 친절하기까지한! 사랑스러운 공간입니다😌"
5.0,웨이팅없고 맛있었어요. 포케 좋아하시면 만족하실듯! 전 되게 만족했습니다.나오는데 생각보단 시간이 좀 걸리지만 그래도 더 신선하게 받는 느낌입니다. 재료들이 다 싱싱했어요
5.0,먹어본 포케중에 제일 맛있어요
5.0,청양 바지락 카레 안에 날치알이 들어있어서 식감이 새롭고 좋았네요~
5.0,
4.0,
4.0,그냥 딱 무난무난한 맛손님 수에 비해 기다리는 시간이 좀 길었어요!
5.0,"넓고 쾌적했고 사장님 친절, 맛도 좋았다. 강아지도 귀여움."
5.0,
5.0,"토마토새우카레 먹었습니다.먹을 때마다 씹히는 날치알 덕분에 식감이 재밌어요피클이 매콤해서 같이 먹으니 남김없이 다 먹었네요가격 대비 양도 많고, 새우도 큼직하니 좋습니다."
5.0,맛있어여ㅋㅋㅋ
5.0,강아지 졸귀 ..😛💛 맛도 최고
3.0,예전보다 비건메뉴가 줄어들어서 아쉬워요ㅜㅜ 맛은 나쁘지 않으나 크게 조화롭다는 생각은 안 들어요. 각 재료의 맛으로 그냥 먹는 느낌이랄까요. 개인적으로 토마토처럼 프레시하고 촉촉한 무언가가 더 있으면 더 맛있을 것 같아요. 그리고 병아리콩 샐러드가 조금 느끼하고 양이 너무 많은 것 같아요.근처에 비건 메뉴 있는 곳이 많이 없어 르베지왕에 자주 방문하는데.. 꾸준히 메뉴 개발/보완에 힘써주시면 더더 좋을 것 같아요..!
2.0,젊은 여자 직원분이 너무 좀 얼타세요. 그래서 뭔가 기분이 좋지 않더라고요. 뭐 하나 물어보면 좀 기다려야 하는 게 너무 답답했어요. 음식은 맛있었어요. 직원이 빠릿빠릿하고 대답도 빨리빨리 알아본 후 잘해주시고 얼타지 않는 분으로 바뀌면 재방문할 의사가 있습니다. 그나마 여자 사장님으로 보이시는 분은 똑부러지고 친절한 편이었어요.친절도는 5점 만점에 2점입니다.
5.0,삼초계란 샌드위치 맛있었고 강아지도 귀여워요!
5.0,
3.0,맛잇다 신선하다 하지만 너무 느림홀에서 먹을때랑. 포장핳때 퀄이랑.양이.많이.다름
5.0,신선해요 친절해요🤍
5.0,뭐야 무ㅜㅑ 넘모 맛있어요
4.0,연어샐러드 비건푸드
5.0,굿!!
5.0,"미쳤다,, 자주 갈것같다😍🥹 넘 맛있고 비건메뉴 있는것도 좋았어요."
5.0,
5.0,소이마요에 버무린 병아리콩이랑 따끈 달짝지근한 템페가 들어간 템버볼이 최애메뉴입니다 비건옵션이 많아서 좋아요! 공간도 넓고 쾌적합니다. 비건 크래커 등을 구매하실 수 있어요.
5.0,"야미..쵸큼 비싸지만 너무 마싯다연아볼 사랑혀,,"
5.0,먼데 이렇게 맛있담...다른 메뉴도 먹어보고싶음
4.0,두부면샐러드 양 많고 배부른데 맛있는지는 잘 모르겠어요 그냥 불고기 토마토파스타 맛..? 간이 저한테 너무 셌어요 ㅠ 직원분들도 지치신건지ㅠ 좀 불친절했음요
5.0,깔끔한 샐러드집! 강아지 너무 귀여워요! 아보카도가 딱딱하다고 연어를 더 얹어주셨어요 소스가 특이했습니다!
5.0,이런류의 다른 매장들과 비교해봤을때퀄리티가 좋다고느껴져요평일점심에갔는데인기가좋아서 사람이많았어요그런데 음식나올때 불러주시는분 목소리가거의혼잣말이라서나올때마다 뭐라하시는지 정말 하나도안들려요다른분들것 나올때마다 계속 우리껀가 쳐다봤어요
5.0,두부면 샐러드 삼시세끼 먹을 수 있습니다..
