rating,review
5.0,치킨 패티가 정말 맛있었습니다사이드 가지 어쩌구는 그럭저럭?
5.0,백화점 같은 곳에 입점한건 가짜입니다. 정말 맛있네요
5.0,맛있고 양도 많아용
5.0,치킨이 굉장히 맛있네요 5점입니다 합격
4.0,
5.0,치킨버거 원탑 르프리크입니다ㅎㅎ 제 기준 롸카두들보다 상위랭크..! 생각나면 항상 들르곤 하는데 사이드메뉴도 맛있고 매장도 깔끔하고 좋습니다:)
3.0,버거는 유명세에 비해 매우 평범알고보니 사이드가 본체
5.0,내슈빌버거 원탑 in Korea
5.0,버섯콩피가 말도안되게 맛있어서 버거가 기억이 안난다.
3.0,"갔다온 지 좀 되었는데 생각나서 씀.주말 늦은 점심 캐치테이블로 30분쯤 대기.1. 결론만 말하자면 시그니처가 젤 괜찮음.2. 당시 치킨 다이앤이 스페셜이었는데 조리과정에 문제가 있었음. 가운데 부분 커팅했을 때 살이 '투명'했는데 온도계 찔러봤을 때 심부온도가 적절했으니 익었다고 주장. 그러나 손님이 불편하면 더 익혀주겠다고 함. 조리담당자가 촉촉하게 조리된 닭가슴살의 육즙과 덜 익은 살의 색깔, 투명도, 질감 등의 차이를 이해 못하는 듯 보임. 육안으로 투명하고 물컹한 살을 보고도 측정된 '온도'가 맞았으니 제대로 조리된 거고 문제 없다고 함.3. 키친 앞 바 자리에 앉았는데 닭가슴살 조리 담당이 기타 사이드도 담당함. 앉은 자리 앞에 샐러드/사이드 스테이션이 있어서 잘 보였는데 검정 장갑끼고 중간에 손 제대로 안 닦고 별거 다 만짐. 토치 만졌다가 토마토 등 샐러드 담았다가 빌지와 색연필 만지고 다시 식재료 만지고 등등. 입맛 뚝 떨어짐. 그리고 스테이션 뚜껑 열어놓은 상태로 앞에 서서 옆 직원들과 수다 떰. 그 침 다 어디로 가냐고요.4. 나온 음식 가장자리 정리하는 티슈 너무 더러움. 이미 각종 소스 등 흡수되어 축축하고 색도 어두운데 교체없이 계속 다른 접시에 사용.5. 음식 나왔을 때 빌지 등 확인하며 앞에 서서 끊임없이 대화.같이 간 지인은 나보다 훨씬 덜 예민한대도 앞에서 하는 거 보니 입맛 떨어진다 함.맛은 둘째치고, 주방운영의 기본과 위생에 대해서 잘 모르는 알바생들이 겉핥기식으로 교육받고 대충 따라한다는 생각이 들었음. 뭔 자신감으로 오픈 키친인지??? 캐주얼한 버거집이긴해도, 교차오염이랄지 위생에 대한 교육은 기본 아닌가? 맛은 둘째치고, 오픈 주방에서 벌어지는 꼴을 다 본 터라 다시는 못 가겠음."
5.0,햄버거집이 이정도면 훌륭한거 아닌가요?직원분들 친절하시고. 음식맛있고. 주차 가능하고..딱히 부족한거 없는 곳
4.0,일단 맛있어요근데 ...1) 웨이팅이 너무 길고2) 뭔가 정리되지 않는 어수선한 분위기3) 직원 분들의 느릿느릿한 응대에 그다지 유쾌하진 않았어서 별을 뺍니당 ㅠㅠ
3.0,"평일 12시에 웨이팅 시작해서 12시 35분 입장, 음식 나오는데까지 약 20분.. 분위기 어수선하고 가격도 사악하긴하지만 그래도 맛은 있는 곳."
5.0,"ㅋㅋㅋㅋㅋ JMT.와 소고기, 돼지고기패티보다 맛있는 치킨버거 발견.가격은 좀 비싸지만 이런 퀄리티라면 괜찮음.메뉴가 바뀐다는 스페셜버거는 24년 8월 방문기준타코버거 였는데 버거집이 아닌 그냥 타코가게여도 성공했을 곳임. 매장 분위기도 너무 좋았고따뜻한 물수건을 제공해줘서 손 닦을 수도 있는 것도 좋았음.아쉬운 점을 풀어보자면 타코버거에는 기본적으로 고수가 장착되어있었는데 왜 묻지도 않고 고수가 들어갔나란 의문이 들었음. 그래서 하나만 찔끔 먹어봤는데 아주아주 약흔 고수라서 타코에 섞어 먹으면 먹을만한정도? 라고 생각이 들어 괜찮게 먹었음. 기본 내슈빌 치킨버거가 너무너무 맛나서 다음 번에 또 가면 내슈빌 두 개 먹을 것임.맵기 단계는 맵찔이는 1단계 추천. 강추 르 프리크."
4.0,기본보다 타코 뭐시기가 좀 더 나았다. 아는 맛이다. 실망하지 않을 정도.
5.0,"가격은 조금 비싸긴 하지만, 분위기도 좋고 직원분들도 친절하시고, 맛이,, 최고입니다. 치킨 버거 중에서는 탑 5안에 드는 맛집입니다 추천!!"
5.0,치킨버거의 고급버전시그니처 버거 강추
3.0,"[사진은 2023년 7월 첫 방문때의 사진.. ]2024.08.19 점심, 세 번째 방문.첫 방문이 5점이었다면, 두 번째는 4점, 이번에는 3점을 주고 싶습니다. 육즙 가득했던 특별했던 치킨패티가 이제는 그냥 평범한 순살치킨으로 느껴지고, 적 양배추와 당근 조합의 코울슬로(?)는 예전보다 수분감이 높았고 양배추가 예전처럼 잘게 잘려있지 않았으며, 입안에서 좀 질긴 듯한 느낌이었습니다.(절반으로 잘라서 손으로 들고 먹는걸 추천한다고 말씀해주셨지만 나이프로 잘 잘라지지가 않았음..) 좋은 육즙의 치킨패티와 매콤함 그리고 코울슬로의 식감과 소스 및 드레싱의 완벽했던 밸런스 었는데.. 매콤한 순살치킨패티의 햄버거 그 이상도 이하도 아닌 느낌.. 좀 아쉽게 되었네요.2023.11.05 재방문환상적이었던 이전에 비해 치킨패티(?)에 염지가 덜 되었는지 좀 심심해서 아쉬웠습니다.2023.07.29 첫 방문, 날 더운데 밖에서 대기라니..혼자라서 그런지 다행이 10여분만에 자리가 났으나,주문 후에도 10분 전후 대기..한 입 베어무는 순간, 정신이 혼미할 정도..평소 햄버거 좋아하는 편도 아닌데.. 너무 맛있다.요몇달간 먹었던 음식 중 탑이 아닐까 싶을정도..5점이 전혀 안 아깝다. <시그니처버거>"
5.0,역시 성수동 수제버거 맛집.매장 분위기 아메리칸 스타일.시그니쳐버거 2단계 적당히 매콤타코버거 존맛콘샐러드? 사이드로 주문한거 독특한데 존맛이었음.여자셋이 버거두개 사이드한개 딱 적절.오픈런 대기x
4.0,
5.0,츄베릅
5.0,
5.0,치킨버거 JMT
4.0,분위기도 좋고 음식도 참 맛있어요. 치킨버거의 치킨패티는 찐 입니다.타코버거도 맛있고~ 샐러드에 맥주도~👍
5.0,섹시 치킨 버거 🔥🔥🔥
5.0,
5.0,과함이 없이 담백하고 훌륭한 버거입니다. 느린 템포의 재즈 음악이 흐르는 분위기도 좋아요.
5.0,맹날 머꾸싶군 . . . 🐙💭
5.0,
5.0,
5.0,"성수의 치킨버거 맛집. “르 프리크”라는 상호 때문에 프랑스랑 관계가 있나 싶었지만 역시나 미국식이었다. 주력 메뉴는 내슈빌 핫치킨버거다.대기하는 사람이 없고, 바깥에서 흘끗 봤을 때 자리가 있어 보여도 캐치테이블 예약 걸어놓고 기다리자. 얌전히 기다리다 보면 직원분께서 안내해주신다.매장 내부는 구글에 “American pub”이라고 검색하면 나오는 전형적인 이미지에 노란 로우키 조명만 더해진 느낌이다. 물티슈 대신 따수운 수건을 준다.치킨과 햄버거번 모두 미세한 바삭함과 촉촉함 모두 잡고 있다. 특히 번에서 나는 약간의 단맛이 개취였다.수제버거집에서 나이프로 썰 때 버거 박살나지 말라고 꽂아주는 꽂이는 없다. 근데 어차피 꽂이 있어도 칼질하다 보면 버거는 박살 나니 이건 상관 없을 것 같다."
5.0,그동안 점수를 너무 후하게 던졌나. 여기는 별6개를 줘야할 것 같은데. 인테리어 서비스 맛 모두 만점.
3.0,크기가 엄청 크다는 것 외에는 조금 물리는 맛이고 주문 후 너무 오래 기다려서 음식이 나와요ㅠ. 애피타이저로 시킨 사이드도 받는데 꽤 걸렸습니다.
4.0,인테리어나 분위기가 정말 좋습니다.버거도 꽤 맛있지만 반 이상 됐을 때쯤 조금은 느끼한데 어쩔 수 없는 부분 같습니다.1단계를 시켜도 살짝 매콤함이 있었어서 매운 걸 정말 잘 못 드신다면 비추입니다.가지튀김은 맛있었는데 가지를 반을 잘라서 그런지 식감이 조금 떨어져서 아쉬웠습니다.맥주와 곁들이기 좋은 식사에요!
5.0,"성수에서 주차되고 분위기 적당하고 맛있는 음식 찾을땐 르프리크만한데가 없어요. 여기는 클래식버거에다가 새시즌메뉴, 사이드로 감자구이 같이 먹으면 극락입니다."
5.0,자극적으로 맛있기보단 다양한 맛이 적정선을 넘지 않고 서로 조화로워 계속 먹고 싶었던 집 !!
5.0,먹어본 닭가슴살중 가장 부드러웠음소스도 풍미너무좋았음
5.0,치킨버거랑 감자사이드메뉴 진짜 맛있어요
5.0,맥주랑 맛있게 먹었어요
5.0,살면서 내가 먹어본 치킨버거 중 제일 맛있음;;시즌 버거는 닭가슴살이라 좀 아쉬웠고 기본 버거가 제일 맛도리;;;버거집인데 분위기도 좋고 친절하고... 또 가야지ㅜㅜ
5.0,
4.0,2단계 정복완료 3단계여 와라
3.0,🌶 🌶 매운 햄버거는 처음 ••• 한입 와앙 ••• 고추기름 쟐 ••• 또 쟐 •••
5.0,버거를 줄 서서까지 이 가격 주고? ->했는데 후회 안합니다 쫀맛!!!
4.0,
5.0,
3.0,맛은 있었는데 웨이팅까지 할 정도는 아니었습니다
4.0,시그니쳐 버거는 제 취향은 아니였고 다른 버거가 더 맛있었어요. 김치가 들어가있었는데 어울리고 맛있었는데 메뉴 이름이 기억 안나네요. 분위기 좋아요! 시그니쳐는 좀 아쉽
3.0,맛있어요근데 뭔가 먹다가 물려서1년에 한번 정도 생각나요
4.0,비주얼이랑 분위기가 좋고 직원분들이 친절해요. 시즌 메뉴 있는 것도 도전의식 있는 식당이라 좋습니다. 개인적으론 맛은 비주얼만큼 좋진 않네요. 감자도 버섯도 햄버거도 평범했습니다.
