rating,review
3.0,무난합니다
5.0,이모와 함께 사진도 많이 찍고^^ 직원분들 킹친절
1.0,뜯어말리고싶은 케이크맛근데 추우면 걍 들어오셔요 따뜻함
5.0,아들 회사 근처라 오늘 왔는데.핫 아이템 ..좋은데요..커피맛도 최고..잘 먹고 갑니다..대구에서 왔어요..
5.0,"레드벨벳 케이크, 밀크티 맛있어요!"
5.0,
2.0,크레이프 케이크 그냥 그래요...기대했던 맛이 아니었어요. 밀크티도 별로...마시기 힘들었어요
4.0,"메론케이크는 그냥 그렇고, 밀크레이프가 찐맛아 가격이 비싸서 별 하나 뺄게요. 가성비는 떨어짐."
4.0,금액대가 좀 있는 편이긴 하지만 케익 맛이 좋았어요!
5.0,비싸지만 케잌이랑 커피가 맛있어요. 인테리어도 잘 해놔서 기분 좋아지는곳. 주차는 어려워서 걸어가는게 좋아요.
4.0,이곳은 케익 맛집
5.0,케이크 맛있어요
5.0,증정품도 많이 주고 만족스러웠습니다
4.0,가격이 싸진 않지만... 분위기가 좋고!  맛도 있어요!!
5.0,우드톤 분위기 참 좋은 성수동 카페에요. 문 앞에 대형 리스 참 예쁩니다🎀
1.0,환기가 안 돼서 답답하고 너무 추움ㅠㅠ 크레이프 케이크 비싸고 작음^^
3.0,맛과 인테리어는 괜찮은데 매장이 환기가 안돼서 꿉꿉한 냄새가 나요
3.0,여러모로 애매한 곳이네여 ㅎㅎ자리 많은데 편한 자리는 없고 시끌시끌해요바닐라빈라떼는.. 바닐라빈이라고 강조해서 기대했는데 그냥 바닐라시럽..ㅇㅅㅇ영업 시간이 길기 때문에 술 안 마시고 늦게까지 놀고싶은 분들에게 추천해용
3.0,
5.0,분위기좋고 케이크도맛있고 음료도 맛나요근데 공부하러 올 카페는 아닙니다지인들과 수다떨기엔 최고!!!
5.0,딸기 케이크 존맛탱
4.0,성수에서 약속 잡고 카페 고르다 정신 차리면 와 있는 카페가끔 와도 여전히 사람 계속 차 있고 자리 없는 카페성수 특수를 메인 배경으로 음료 디저트 메뉴들이 굉장하다 보다는 커피 메뉴들 질 좋으면서 가격도 괜찮음에 그 요인이 있다고 생각한다다른 손님 나가시고 의자 시트 오염된 것 같다 말씀드리니 곧바로 처리 시작하셨다... 시간은 좀 걸려서 세트가 돌아왔지만좋음좋음매장 전반적으로 2인석 자리들이 메인인 느낌 받음 그래도 이케이케 잘 양해 구하고 의자 읏어다 잠시 앉을 수는 있는 듯그런데 의자 편안함 복불복이 좀 있는 편
3.0,케이크 맛잇어여!! 근데 자리가 넘 불편..
4.0,맛있는데 사람 너무 많음ㅋㅋ 폰 충전 할 수 있게 따로 거치대 있어서 좋아요
2.0,케이크가 맛없어요... 딸기는 보이는 게 전부고 빵은 퍽퍽하고 생크림은 겉돌고... 앉을 곳이 필요해서 오더라도 딸기케이크는 먹지 않는 것을 추천합니다
5.0,케익이 진짜 맛있음! 주말엔 사람이 많아서 엄청 복잡하긴함 ㅠㅠ
5.0,리뷰가 생각보다 별로라서 놀랬는데 저랑 친구들은 정말 만족했어요. 자리잡는게 개빡세지만......케이크 맛이 정말 맛있었어요. 크림자체도 느끼하지도 않고 가볍고 빵은 촉촉했어요. 그래서 추가로 하나 더 시켰답니당.밀크티는 달지 않고 차 향이 많이 나서 좋았습니다.(호불호 있을거 같아요. 안달아요)암튼 전 만졲
1.0,메론케이크메론이 하나도 안익어서사과인줄
1.0,케이크에서 냉장고 냄새가 너무 납니다
3.0,그냥저냥 무난한 느낌? 케이크도 무난 음료도 무난.... 그냥 지나가다가 넓어보여서 들어간 카페였음
4.0,시원하고 널찍하게 앉기 괜찮음
2.0,아아는 무난했구요케이크가 별로였습니다...딸기 시즌이 아니니까  딸기 맛은 감안하겠지만케이크 시트가 퍽퍽합니다...근래에 비슷한 가격대의 케이크 중 젤 별로였어요차라리 파바 케이크가 훨 맛나네요...보기엔 엄청 맛있어 보이는데 맛은....ㅎㅎ왜 유명한지 이해가 안되네요 인스타 홍보를 열심히하셨나봅니다
5.0,음료가 좀 아쉽습니다
2.0,"케이크 맛집이라길래 기대하고 갔는데오잉?-?맛이 없어요!음료는 맛있었지만 케이크는 맛없어요,,식물성 크림을 쓰는것같고, 메론과 크림이 조화롭지 않았습니다 크레이프 케이크는 과일을 이것저것 넣어서 그런가 크림이 맛이 없어서 그런가먹어본 크레이프중에 제일 맛없었습니다 😭조각 케이크 8천원이면 저렴한 가격은 아닌데 맛이 그만큼 역할을 하지 못해 매우 아쉽습니다!"
4.0,케이크가 맛있어요!
3.0,신발 벗고 앉을 수도 있는 좌식형 (선택)공간이 넓어 소리가 다소 울리는 경향이 있음음료는 그냥 무난함 그냥 체인점 느낌
5.0,분위기 좋고 케이크도 맛있어용 음료류는 무난한 듯! 그리고 직원 분들이 너무 친절하셔서 다시 한 번 방문하고 싶어요 ㅎㅎ 좋슴다 👍🏻
4.0,사람이 꽤 많아서 빈 자리 찾기가 쉽지 않아요. 의자는 여러 종류가 있는데 불편한 의자도 있고 편한 의자도 있으니 잘 살펴보셔야 합니다. 리얼초코렛은 가격만큼 맛있는데 다른 건 안 마셔봐서 모릅니다.
2.0,먹으면서 화날 정도로 별로임; 아무리 자리값이라고 하지만 카페면 기본적으로 커피가 맛있어야 하는 거 아닌가? 아인슈페너 크림이 걍 카푸치노 크림과 다를 게 없음;
4.0,스콘 맛집! 항상 스콘 사먹어요 요기서
4.0,성수동에서 늦게까지 하는 카페 찾다가 방문하게 된 마를리분위기 좋고 케이크가 맛있었어요앉을 곳 없이 손님이 꽉 차 있었는데 소음이 울리는 구조인지 엄청 시끄러운 건 조금 단점이었어요
5.0,케이크랑 음료 모두 맛있고 무엇보다도 성수에서 가장 늦게 마감해서 좋아요🫶
5.0,메론맛 케이크 존맛티라미슈 타르트 존맛사람 근데 많음ㅋㅋㅋ아인슈페너도 너무 꾸덕하지 않아서 좋았움
2.0,은근 요근처에 카페 많이없어서 좋음근데 박희버르레 나왔음 ㅠ3센치정도
5.0,케이크 맛있어용:)
5.0,bb
