rating,review
4.0,맥주가?? 왜 이렇게 맛있는지??
5.0,The food is very good and affordable !Le personnel est très agréable.
5.0,메시 더 쌈@뽕한 라스트 댄스
5.0,평일 저녁에 혼자 와서 식사하는데 혼밥손님에게 제공해주는 맥주 반잔과 함께 먹었던 스끼야끼가 적당한 양과 너무 과하지 않는 국물양까지 맛잇게 잘 먹었습니다 :)
4.0,
3.0,"후기보고 갔으나 무난한 맛,또 생각나서 찾아갈 맛집은 아니나직원들 친절함!"
5.0,
5.0,"맛이 뭐 눈 뜨이게 있다기보다는, 언젠가 먹었던 맛있는 한 상의 밥이 떠오르는 곳이었어요. 더불어 분위기도 편안하고 메뉴 구성도 세심하다는 생각이 들었습니다. 다시 오고 싶은 곳!"
5.0,평일 저녁 남자 서빙알바분 진짜 친절하시네요
1.0,정말 맛있을것같아 예쁘게 사진찍었는데.. 좋은 리뷰 때문인지 기대만큼 아쉬웠던 곳사케동은 해동한 듯 물컹물컹하고 곱배기로 시켰는데 밥만 많았어요 스키야키는 밍밍.. 스키야키보단 불고기 소스 같고 내용물이 많지 않음직원도 그냥 무미건조한 반응 여러모로 아쉽다
1.0,온 세상이 메시다.
5.0,주방장님께서 정말 친절! 두리번 거리니까 바로 알아보시고 응대해주시는데 감동이었어요.. 반주가 있는게 신의한수. 여름이니까 덥잖아요 짭쪼롬한 일식과 생맥으로 배 든든히 채우니 너무 만족스러웠어요
5.0,혼밥러에게 정말 추천합니다친절하시고 야끼 혼밥용 주문하면 반주 서비스로 주셔요..! 감동..연어덮밥도 넘나맛도리연어는 말할 것도 없고 밥알부터 간이 딱 적당하게 돼있어서 맛있었습니다
5.0,먹어본 일식집 중 손에 꼽을 정도로 맛있네요직원분들도 친절하시고 뚝섬역 올 때마다 들리고싶네요
3.0,"작고 아담한 분위기, 평범한 맛"
5.0,자극적이지ㅡ않으면서 감칠맛 나서 제 취향에 딱이에요. 주차도 가게 앞에 바로 해서 편하네요. 제 방문 의사 있어요.
2.0,직원분이 친절하셔서 2점음식은 별로임...
3.0,"가야는이유 : 하루 수고했다고 위로 받은듯한 일본가정식 반상안가는이유 : 더 맛있는 집은 많겠지만소고기덮밥 : 요즘 물가를 생각하면 그래도 가격은 합리적이라 생각하고 잘게 찢겨진 고기도 밥과 함께 먹기 편했던, 저녁 시간 1인방문객에게는 작은 맥주 한 잔이 제공되는데 한그릇 다 비우고나면 하루를 보상받은 느낌도"
4.0,
1.0,소고기 덮밥을 한입 베어물고는 머리카락이 나왔습니다. 덮밥에 긴 머리카락이라니..그냥 같이 먹으라는거죠.. 최악이네요.. 주방을 보니 장발 남자 직원분이 반묶음을 하고 계시더군요. 서빙 직원 불러 말하니 주방엔 말 안하더라구요. 손님 말 쌩까는 서빙에 위생개념 없는 멋내는 주방보조... 셰프 명성은 둘째치고 직원을 잘쓰셔야 할듯.
5.0,연어덮밥 진짜 대존맛양 적어보였는데 진짜 많아요...한입 한입 행복했습니다🥹🥹성수간다면 또 갈래요오랜만에 성수 찐맛집 찾은듯
5.0,가성비 굿.. 야끼모찌가 진짜 존맛 ㅠ
5.0,
5.0,성수에서 먹은 사케동 중 1위 👍가성비 괜찮고 양 많아요연어도 진짜 신선하고 두꺼워요모찌가 진짜 맛있음! 뇨끼 반죽 같은 겉에 쭉 늘어나는 치즈가 들어있어요
5.0,성수동에서 이 가격에 이렇게 맛있는 곳은 없을거 같아요덮밥 소스가 웬만한 가격대의 식당 못지 않았습니다같이 온 일행이 시킨 스키야키 정식도 너무 맛있어서다음에 성수동 오면 무조건 또 올거에요
5.0,명란크림우동과 연어덮밥 맛있게 먹고 특히 야끼모찌 넘넘 맛있어요.야끼모찌 포장하고 싶었는데 포장하면 이 맛을 느낄수 없어 안된다고 하셔서 넘 아쉬움요.. 다음에 또 와야죠 ㅋㅋ
5.0,
4.0,무난무난함가격 착함
4.0,무난하게 맛있고 가격대도 좋아요
4.0,전반적으로 괜춘
5.0,나눠먹는 맛이 있는 직장인 점심 핫플
5.0,연어덮밥 맛도 훌륭하고 가격도 적당한데 손님응대가 미숙함
5.0,진짜 맛있어요!!제가 먹었던 연어덮밥 중에 일등이에요ㅎㅎㅎ사이드 메뉴 야끼모찌도 쫀득쫀듯 완전 강추임당!직원들도 너무 친절해서 기분 좋게 잘먹고가요👍🏻또 방문할게요!
5.0,우연히 지나가다가 들어온 곳인데인테리어부터 음악까지 마음 편하게 해주고음식 또한 너무 맛있어서 좋았던 곳성수동 올 일 있으면매번 들러서 밥 먹고 가야겠어요 :)
1.0,더러움
5.0,"여기 진짜 맛집이에요… 둘이서 명란크림우동, 연어덮밥 곱빼기, 유키모찌 시켰는데 셋 다 느끼한 음식임에도 너무 맛있게 잘 먹었어요! 먹다가 넘 맛있어서 씁니다 최고"
5.0,정갈하고 좋네요 ^^
1.0,남자 요리사분이 머리가 기셔서 움직일때마다 비듬이 떨어질거 같았어요 ㅠ맛도 평범하고 넘 달고요 가격때문에 오시는거 같은데 다른데 가세요
5.0,서울 상경해 2년간 매번오던 단골최애맛집.. 지금은 다른지역에있어 자주못오지만 2년만에 다시 방문해도 맛은 변하지않네요 음식 너무 맛있어요
5.0,덮밥이 진짜 다 맛있어요 자극적이지 않아서 자주 생각나는 맛..
4.0,적당히 맛있으니까 믿고 가셔도 됩니다
5.0,닭고기덮밥 맛있게 먹었어요 고기가 부드러워서 먹기 편했어요
5.0,
3.0,특별한 맛은 없었습니다.
3.0,직원분이 친절하시고 성수주변 시세에비해 가성비 굳 웨이팅까진 아님니다. .
