rating,review
5.0,라멘하면 생각나는 이집..양도 많고 밥도 주는 국물 끝내주는 라멘집
2.0,평범한 라멘 다시 찾지는 않을 듯
5.0,
4.0,존맛탱
5.0,라멘 맛집면도 국물도 계란도 최고 👍
4.0,
5.0,내가 그 자리에 앉은 잘못일까...바닥 배수구에 떨어진 집게를설거지통에 넣질 않고흐르는 수돗물에 휘휘 두번 왔다갔다 하더니그대로 차슈를 집어 내 라멘 위에 올리는 그 광경을잊을수가 없다...사장님 손님 피드백도 잘 받아주시고직원분들 친절해서 좋았는데...좋았는데...나.. 당분간은 못갈듯그래도 좀 시간 지나면 또 가겠지?
1.0,"기대많이 하고 갔는 데 비리고 맛없네요, 산초가루 맛 밖에 안나고 고기도 군대에서 먹던 그런 느낌"
5.0,맛있음친절함다음에 가면 차슈를 꼭 추가할 것임먹은지 한 2주 됐는데 아른거림...왜 일요일 휴무인 것인가
5.0,맛있었고 사장님도 매우 친절했습니다. 다음에는 다른 메뉴를 먹어볼게요
5.0,맛있어요 교자도 바삭바삭
3.0,
4.0,마제소바 좋아하는데 여긴 그냥그랬다
2.0,"재작년부터 먹어보고 싶었는데 근처 간 김에 들렀는데 역시 웨이팅이 있더라고요.! 앞에 3~4팀 있어서 주문하고 10분정도 줄 서있다가 들어갔어요. 해장라멘으로 먹었는데 어.. 기대를 해서 그런가 굳이?하는 맛이었고 먹다가 반 이상 남기고 온 것 같아요ㅠ 매콤은 한데 얼큰은 모르겠고 제 입맛엔 살ㄹ짝 느끼한듯 했습니다 그래도 가격은 9,000원이라 가성비 있는 편이었어요ㅇ"
4.0,
4.0,친절하고 밥 추가 맘에 듭니다. 맛도 좋아요.자리 여유 있으면 가고 싶지만 주변에 맛집이 많아서 오래 기다리면서까지 먹을 필요는 없다고 생각되네요.배치가 협소해서 짐 놓을 곳이 없다는 것도 단점입니다.
4.0,근처갔다 우연히 방문~특히 고기를 두툼하게 많이 주심돈고츠라멘과 마제소바 먹음국물이 깊은 맛은 아니나 맛있음마제소바 맛 개성있음하이볼도 맛남재료소진으로 믁욜 7시경인데우리가 끝에서 두번째 손님임
5.0,
4.0,너무맛잇게 먹었는데 집에와서 마제소바가 너무 기름졌는지 위경련왓움........ 만두는 비비고에 치킨양념 바른맛
5.0,맛있어요단무지까지 맛있어요추가면 양 많아요 거의 한 그릇 더 주시는 셈
5.0,웨이팅만 참으면 극락을 느낄 수 있음
5.0,단무지부터 맛있는 라멘 맛집.국물이 진하고 맛있음!비빔교자도 맛있음
5.0,돈코츠라멘 먹었는데 아우 국물이 죽이네요 그리고 면추가 1500원인데 이건 뭐 면 리필한건줄알았어요 그리고 밥도 무료여서 뜨-끈하고 든든한게 국밥같은 느낌이었어요
5.0,친절하고 가성비 좋다국물맛 또한 맛잇다
5.0,라멘 맛있어요! 물컵은 종이컵!해장라면은 꽤 많이 매우니까 위장 약한 분들은 조심하세요.바쪽으로 1인석도 있어서 혼밥하기도 좋습니다.
5.0,깔끔하면서 특색있는 맛
5.0,"최애 라멘집.원래 라멘을 안 좋아하는데 이 집 라멘은 언제나 맛있게 먹는다.교자도 맛있고, 쌀밥도 맛있다.다 맛있다! 강추!"
