rating,review
4.0,회전율이 현저히 낮지만 맛있음
5.0,
5.0,"재료가 정성임 굿굿👍 양도 적지 않은편. 인테리어 넘 아늑함~~ 로제, 볼로네제 추천"
4.0,적당히 잘 먹었다 싶은 맛. 클로즈시간 맞추기 힘듦.
4.0,
5.0,
3.0,웨이팅할 맛은 아니지만 쏘쏘!
5.0,음식이 다 정성스럽고 맛있어요! 매장도 넓고 깔끔합니다. 특히 로제파스타가 맛이 좋아요 성수동에서 거의 없는 브레이크타임없는 귀한 식당!!
4.0,
5.0,저도 소개 받고 간 건데 먹고나서 주변 지인한테 맛있다고 가보라고 추천함ㅋㅋㅋㅋㅋㅋ가성비는 확실히 떨어지고 음식 나오는데 한 15-20분 정도 걸리는 것 같아요근데 리조또가 진짜 진하고 꾸덕해서 맛있어요..진한 소스 좋아하시는 분은 피스타랑 이조또 꼭 드세요..ㅜ 진짜 개맛도리ㅠㅠ 엉엉 너므 맛잇어비싸서 자주 갈 곳은 못 되는데 애들이랑 같이 놀 때 가서 먹기 진짜 좋고 데이트할 때 가도 충분히 좋을 것 같아요!진하고 꾸덕한 리조또가 진짜 감동이니까 드서보세요
4.0,맛잇음!! 클라이밍 끝나고 가면 좋음
4.0,기대만큼 맛있지는 않은데 양이 많아서 만족함
5.0,
4.0,맛이 독특합니다.익숙하지만 특별한 맛을 냅니다.한번쯤은 들려보셔도 나쁘지 않습니다
1.0,
3.0,사진은 이쁘게 나오는데 맛은 그냥저냥이예요ㅠ~ 케챱으로 웃는 모습 그려진 고로케는 진짜 ㅎ... 누가 먹어도 시판용 냉동 고로케 튀긴거ㅠ 딱 인스타 게시용 그 정도.. 아쉬워용🥲 양은 많아요 ㅋㅋ
5.0,
5.0,
1.0,체감온도 영하 15도인데 일행 와야 입장시켜준다고 구석에 서있겠다고 했는데도 밖으로 쫓겨남... 심지어 자리가 만석도 아니었어요 기분나빠서 근처 다른 이탈리안 갔습니다...ㅎㅎ
1.0,거의 다와서 아기의자 있냐고 전화했더니 노키즈존이란다;; 언제부터 그런단어가 생겼는지도 의문이지만 ;;; 손님을 입구에서 거절하는 태도부터가 괘씸하다 맛을 떠나서
1.0,1. 동네 브래이크 타임에 거의 유일하게 장사. 그외 장점 하나도 없음. 여길 갈바엔 널린 다른곳 가세요.2. 안바빠보이는데 직원들이 일 분배나 서비스에 대한 개념 자체가 없는듯. 청담도 브래이크라 일때매 넘어가면서 브래이크 없어 갔는데 퀄리티하며 대체 무슨 이유로 가격 측정이 저런지 모름. 이럴거면 청담에서 먹음;3. 주방직원인지 사장인지 알바인지 갈색머리 개퉁명스럽고 여자직원 전부 그냥 가족회사인가 느낄 정도로 가줙같이 일함. 불친절은 다른 후기도 있으니 알만함.4. 위치 구림. 굳이 여길 이 위치에 허름한 느낌도 주는(빈티지 아님 허름임)곳에 갈 이유는 없음. 기분 망치고 굳이 그 날 허비성으로 간다면 추천함.5. 알바는 일하다가 손님있는데 그냥 폰 하러 나감. 바쁜척이 컨셉이라면 맞음. 웨이팅 운운하고 안에 자리가 남아 돌아도(예약석아님) 나가서 알아서 있다 와야함. 여기 후기들 다 눌러보면 홍보 작업 계정 나오나싶을 정도로 후기 알바냐는 글 동감함.
5.0,
4.0,
3.0,"가게 분위기도 예쁘고, 식기도 예뻐요! 성수동 식당 중에 가격이랑 양도 적당하구요!근데 맛이 있는지는 잘 모르겠습니다 ◜◡◝ 그냥 그랬어요. (추가 빵은 쫄깃 쫄깃 맛있었어요)"
4.0,"장: 크림 리조또의 씹히는 맛이 재밌고 음식이 맛있고 음식재료도 아끼지 않음, 성수동에서 가격과 맛 둘 다 만족스러운 곳단: 테이블이 많지 않아 웨이팅이 많을수도"
5.0,간만에 맛있는 양식이었음 양도 많고 좋음 / 5인 이상 입장 어려움 / 웨이팅 있음 / 재방문 예정
4.0,"아기자기하게 귀여운 공간이에요. 탐나는 예쁜 식기들이 많습니다,,, 리조또가 맛있어요!!!!!!! 수제 피클도 짱짱"
4.0,
5.0,
5.0,맛있고 양이 존 나 많다 2개시켰는데 3인분으로 느껴졌음화장실에 이솝 핸드워시가 있음 여기서 질에대한 말은 끝낫다.
5.0,토일
5.0,토일
5.0,"아기자기한 인테리어와 기존 온량하고는 다른 뉘앙스의 음식들, 그리고 맛의 밸런스가 모두 훌륭했던 밥집이었습니다. 특히 비스큐 소스가 정말 일품이었습니다."
2.0,평범.
4.0,가게 분위기가 예쁘고 로제파스타 괜찮아요 주말 다섯시반에 가니 웨이팅없이 들어감! 웨이팅 30분까진 할만한데 그이상걸리면 걍 딴데가세요 그정도까지 기다릴맛은 아님
5.0,
4.0,온량보단 여기가 더 맛있음리조또 맛있었고 파스타 쏘쏘
3.0,Western
5.0,맛있고 브레이크타임없어서 좋았음
5.0,
5.0,아저씨 4이 와서 흡족하게 먹고 갑니다. 곁들인 와인 킬리뱅쟁 샤도네이도 아주 좋았습니다
5.0,진짜 맛있게 먹었어요₊·*◟(⌯ˇ ɞ ˇ⌯)◜‧*특히 크림 리조또가 진짜 맛있어요......살면서 먹어본 리조또 중 가장 맛있던 것 같아요...정말 이것만 따로 먹으러 가고 싶을 정도...로제파스타도 정말 맛있었어요ㅎㅎ 스테이크는 준수한 정도...?!+라따뚜이 먹고 싶었는데 재료 소진으로 못 먹었네요ㅜㅜ
5.0,
5.0,진짜 맛있어요~
4.0,
5.0,가격도 괜찮고 너무 시끌벅적하지 않아서 좋았던 곳하크 스테이크 맛있어요
4.0,가격대가 좀 있지만 다른메뉴도 궁금해지는맛
4.0,무난무난 맛있었습니다.자리가 많이 없어요
5.0,점심시간에 방문했는데 운좋게 웨이팅 없이 바로 들어갔어요~~ 파스타랑 함박스테이크 시켰는데 함박은 그냥그랬고 로제파스타 소스가 진짜 예술이에요 엄청맛있어요~~
5.0,
5.0,여기서 30년만 더 장사 해주세요 분기에 한번씩 꼭 갈 정도로 너무 맛있음..
4.0,맛있음
5.0,진짜진짜 맛나고 친절해요
5.0,분위기도 너무 좋고 진짜 맛있어요! 로제파스타도 맛있었고 리조또는 특히 더 기대이상으로 맛있었어요!! 양도 많아서 배부르게 먹었습니다. 다음에 또 방문해서 다른음식도 먹어보고 싶어요 :)
5.0,사장님 너무너무 친절하시고 재밌으세영❤️음식도 분의기도 사장님도 완벽합니다❤️다음에 또 가기로 결심했습니다❤️
5.0,직원분들 너뮤 친절하시고 분위기 음식 모두 완벽했습니다! 다음에 또 올께요!!
5.0,굿입니다.믿고 먹는 온량팀 입니다.분위기며 서비스며 친근하고 좋습니다.잘먹었습니다.아쉬운건 ..노키즈존이라는거..ㅠㅠ
5.0,
4.0,
5.0,"간만에 알게된 정말 괜찮은 맛집. 가격은 조금 있지만 모든것이 그 가격대를 이해하게 해준다.적지 않은 양의 재료와 매우 좋은맛, 그리고 플레이팅을 비롯한 아름다운 인테리어.웬만해선 양식에 좋은 별점을 주지 않는 나로썬 반가운 맛집."
4.0,
1.0,알바들아님? 함박스테이크는 간이 거의 안되어있고 같이있는 소스랑 맛이 따로놈.그아래 깔아놓은 밥은 떡이되서 먹을생각 안들고...볼로네즈 파스타는 함박스테이크 만드는재료 대충 으깨놓는데 먹다남긴 함바그 넣어둔 그런식감이다. 면이랑 같이 소스에 버무려져 있어야할 민찌가.. 그리고 재료손질 귀찮으세여? 양송이 반띵 딱해서 그대로 넣으면 소스도 안베이고 커서 먹기힘듭니다.물도 손님오기전에 미리 떠놓고 셋팅해주셨던데(하다못해 뚜껑도없음)미지근하죠..? 이제 여름인데 이런 미지근한 물을 내놓다니.. 먼지도 들어갈테고.. 음료에대한 기대감이 전혀 안들어서 안시켰는데 아니나다를까 캔음료4개가 음료의 전부ㅋㅋ제일 대박인건 주방을 들여다 볼 수 있는 구조인데 손님이 있건말건 자기자랑 가득한 주방직원끼리의 수다에 음식에 집중못해서 체하는줄 알았음. 테이블 4개있는데 쉬는시간 정해놓은것도 아니고 손님있는데 남은테이블에서 앉아서 떠드는데.. 쉬는거야 뭐라안하죠 사람인데 ㅋㅋ 근데 손님있던말던 무시받는 기분이 명확했음.다들 꼭가서 똑같은 경험하세여
5.0,"함박스테이크, 리조또 너무너무 맛있어요~직원분 들도 친절하시고, 가게도 깔끔해서 만족 스러웠습니다. 다음에 또 올거 같아요!!"
