rating,review
5.0,"브랜드 아이덴티티가 정말 뚜렷한 곳… 할로윈 시즌이 아닐 땐 어떨지 너무 궁금하다. 누군가는 단순하다 할 수 있고, 누군가는 저런 게 감성인가? 할 수 있지만 분명한 건 창의적이지 않으면 시도할 수 없는 것들이었다. 이렇게도 생각할 수 있구나 라는 걸 공간 곳곳에서 느낄 수 있던 곳."
5.0,카페가 아니라 전시관 같음. 매우 만족스러운 경험. 커피랑 로투스 티라미수 먹었는데 달고 꾸덕함.
5.0,좌석마다 콘센트도 있고 커피맛도 좋아요 🙂 일하시는 분들도 너무 친절하셔서 기분 좋게 있다 갑니다 😄 작업하러 또 올게요 우리 오래 봐요 🌿
3.0,분위기는 좋으나 커피메뉴는 둘 다 맹탕하고 별로였습니다 ㅠㅠ
5.0,점주가 직접 나와서 품질관리를 하니 카페 전체의 분위기가 살아납니다 굿
5.0,분위기가 좋고 말차티라미수가 맛있어요
4.0,우연히 찾아갔는데 아이스 아메리카노가 맛있네요...^^아이스 아메리카노가 맛있는 집은 여태 없었는데...
2.0,진짜 이 맛이 실화인가..? 싶은 카페오렌지카페라떼는 정말 음쓰맛이 나서 너무 충격이였습니다... 모히또도 맛있진 않았어요매장 분위기는 좋고 직원분들 친절해요
5.0,"2024.04.28티라미수, 아메디저트부터 음료까지 모두 맛있음.푸릇한 테라스 공간까지 넘 만족스러움.2023.08.12말차빙수맛집비주얼뿐만 아니라 맛도 좋음"
5.0,
5.0,"딸과 바람 쐐러 나왔다가 들린 카페에요^^ 웨이팅이 있긴했지만 그리 오래 기다리지 않았고, 음료맛도 맛이지만 분위기가 너무 좋아서 또 와야겠어요~ 화장실도 깨끗하고 아이랑 들어갈 수 있는 넓은칸도 있어서 좋네요!"
5.0,크리스마스에 넘 잘 어울리는 카페입니당사진 찍기두 좋고 내부도 예뻐요!!!!!
5.0,크리스마스 분위기 최고ㅎㅎ 구경하는 재미가 있네요~!
5.0,크리스마스 분위기가 너무 좋고 사진 스팟도 너무 많아요 ㅎㅎ 음료랑 디저트도 맛있어서 자주 방문할 것 같아요 ㅎㅎ
5.0,분위기 좋고 크리스마스 분위기 최고!!
5.0,크리스마스 분위기가 너무 예뻐요!! 음료도 맛있어요
5.0,분위기도 너무 좋고 사장님도 너무 친절해용 ㅎㅎ그리고 딸기 티라미수 넘 맛있어요 :)
2.0,티라미슈 7500원..먹다 찍은거 아님니다
4.0,"아티스트들이랑 콜라보 많이해서 문화공간 즐기는 것 같고 좋아요! 모닝세트 메뉴있어서 넘 좋구,, 얼그레이밀크티는 넘 연해서 비추… 새로 생긴 밤라떼는 완전 강추!! 맛있었어여!!!!"
4.0,맛은 그럭저럭 괜찮인테리어는 모던한데재방문은 모르겟어여
5.0,
5.0,회사 근처라 자주 가는 카페 입니다. 업사이드와 함께 제일 좋아하는 아인슈패너 맛집이에요
