rating,review
4.0,이 정도면 맛있고 친절하시다고 생각해요~!
3.0,
4.0,
4.0,"맛은 있는데 ㅋ가끔 너무 불친절해서 기분 잡칠때도 있음실내에 감자칩 있고, 소스 원하는 대로 먹을 수 있음명란마요에 고구마튀김 찍어먹으면 극락"
3.0,
2.0,
1.0,좀 불친절하다 느꼈는데 사람생각 다 비슷하군....
3.0,
4.0,가장 좋아하는 수제버거집. 자주 방문합니다.
4.0,바스더블에 생양파 추가해서 먹는걸 좋아합니다감튀를 무료로주는 부분이랑 전체적인 구성은 좋아요
4.0,가격대가 높기는한데 무한 리필 감튀가 맛있어서 자주 들립니다
5.0,햄버거를 좋아해서 많은 버거 전문점들을 다녀봤는데 바스버거는 그 특유의 개성이 확실해서 꾸준히 방문하게 됩니다.미국식 짠 버거 보다는 담백하면서 고기 식감과 향이 냥냥하게 느껴지는 버거 좋아하신다면 추천드립니다.아 버거 번에서 '버터 바르고 구웠구나' 하고 버터향의 존재감이 있는 편입니다. 버터향 안좋아 하시는 분이라면 버터 빼고 구워달라고 하셔야 할 듯요
2.0,"성수동 맛집 웨이팅이 너무 길어서 온 곳.바스버거, 탐욕버거(만4천원 넘는) 감자칩 무한.크기가 너무 작고 맛이 빵이 너무 달고 느끼하고 버터냄새 많이나고 먹고나니 속이 안좋고  왜 이곳은 웨이팅이 없는가 적나라하게 알수있었던 가게"
5.0,기다리는동안 감자칩 굿!번 폭신~ 고기육즙 굿! 맛 조화 굿!쉐이크 찐한맛 넘 좋음~^^
2.0,바스버거는 맛이 없네 공짜 칩스는 맛있다 와퍼먹을걸~
2.0,무난무난
2.0,"치킨샌드위치 치킨은 탄 걸로 착각할 만큼 너무 튀겨서 시커멓고 딱딱하고, 핫도그는 양파가 차갑고, 햄버거도 별로네요.그나마 감자칩이 맛있었습니다. 콜라 1회 리필 가능한 것도 좋네요."
4.0,치킨버거와 핫도그 양파링을 시켰는데 맛잇었습니다감자칩도 있는데 그건.. 다 먹어서 사진에는 없고..ㅎ 감자칩을 따로 더 가져갈수 있어서 좋은거 같아요!핫도그는 기본적인 맛이라서 무난했고 치킨버거는 살짝 아쉬운? 진짜 맛있긴 했어요! 다음에 갈땐 기본 버거를 먹어볼 예정..
3.0,감자칩은 정말 좋은데 버거는 가격에 비해 양이 많지 않아요. 종업원이 말을 잘 못해서 알아듣기 어려워요.
2.0,분위기 좋으나..패티 육향이 좀.. 잡내가 심해요
3.0,기억에 안남는 애매한 맛
1.0,9시 라스트오더인데8시 57분에 주문했다고 한숨 푹푹쉬면서 응대받는 서비스의 기본도 안된 곳사장이라면 매장운영하면 안되고직원이라면 교육이 시급함
5.0,소스랑 감자칩 무한인거 개조아
3.0,나는 다운타우너 먹을래
4.0,치킨버거 소스가 밑에 몰려있어서 아쉬웠어요.. 치킨은 맛있습니다.
3.0,개인적으로 수제버거 너무 좋아하는데 여긴 아쉽네요. 맛은 괜찮습니다 하지만 가격을 생각하면 성수에는 너무많은 수제버거 선택지가 있네요 먹는내내 ‘이 가격이면....’이란 혼잣말을 속으로 계속 하게 되더군요. 메뉴에 따라 1000원에서 1500원 정도 빼야 괜찮을 맛입니다
5.0,
3.0,
4.0,사람이 너무 많아서 정신없음그거빼면 무난
1.0,불친절 끝판
5.0,고구마 프라이즈랑 랜치소스 조합 대박
4.0,
4.0,"음료 리필, 감자칩 계속 먹을 수 있는거 굳굳.트로피컬 음악 플레이리스트도 좋았음.하지만 맛이 그냥 쏘쏘.. 빵은 쫀듯하니 맛있었음"
