rating,review
5.0,지나가다 그냥 궁금해서 포장해갔는데 너무 맛있어서 같이 먹은 언니가 다시 맛보러 먼 길 떠남
5.0,여기 디저트 미쳤는디여?.....;;;; 온 세상 맛있는 맛이 차례대로 느껴져요..............
5.0,가장 좋아하는 디저트 가게몽블랑 끝나서 아쉬워요🥲
5.0,혼자가서 디저트 뚝딱 다먹고왔어요 넘 맛나링❤️계절 디저트를 먹을 수 있어서 좋고 매장이 따뜻한 느낌이에요
3.0,평범
5.0,"이곳의 복숭아 샤를로뜨와 포레누아는 정말 최고 🙉✨💦💞 매장에서 먹은 갸또가 전부 다 맛있어서, 나머지 안 먹어본 것들까지 포장해서 와버렸어요 ..🥺 복숭아 샤를로뜨 막차탈 수 있어서 정말 행복했어요 🤤"
5.0,"진짜진짜 맛있어요 특히 피스타시에, 투몬 최고..!"
5.0,너무너무 맛있어요!!!!
5.0,재료의 향과 맛이 잘 느껴지고 식감과 크림의 질감 등이 조화롭다. 피스타시에는 은은하게 꽃 향이 나면서 고소하고 피스타치오가 통으로도 꽤 들어 있어 씹는 맛이 좋음. 금다래는 달콤상큼 선명한 열대과일 맛. 포장도 괜찮았으나 기다리더라도 매장에서 먹는 것을 추천.
1.0,
5.0,
3.0,투온과 피스타시에를 먹었는데 생각보다 맛이 깊이가 없이 단순하다. 그리고 과하게 달다. 다양한 맛이 느껴지기보다 달다!!! 가 가장 크게 느껴짐
5.0,파리에서 먹었던 피에르 에르메보다 맛있다.리얼 디저트 넘버원 히어로 올마이트 원포오르
5.0,서울 쁘띠갸또 원탑식감과 향 풍미를 모두 생각하고 만드신게 느껴지는 맛재인보다 훨씬 더 만족스러웠습니다
5.0,서울 최고의 쁘띠갸또 전문점. 하나 시켰다가 먹자마자 하나 더 시킴. 입 안에서 행위 예술이 벌어지는 맛퀄에 비해서 가격이 상당히 합리적인 편.
5.0,맛있습니다. 섬세하고 황홀한 미적 경험을 할 수 있는 곳.
5.0,입 안이 골든키위로 달콤상콤해짐.맛이 고급지게 섬세해서 본연의 재료맛도 잘 느껴짐.
5.0,
5.0,고오오오오오그으으읍 스러운 디저트 진짜 재료가 다 느껴집니다 그러나 가격은 사악하긴해요 그러나 맛있어요 그니까 드세요 늦게가면 다 팔릴수도..테이크아웃추천 사들고 서울숲 가세요~~
5.0,"디저트 가격이 사악하다고 생각했는데 먹을때 모든게 잊혀지는 맛ㅠ 고급진 초코, 피스타치오맛,, 완전 맛잘알 조합으로 넘 맛있습니당"
4.0,"맛있고 눈까지 즐거운데 가격은 증맬 사악한,,, 그러나 막상 먹어보면 굉장히 만족스러운,,, 홀이 많이 좁고 주말 이용시간은 한시간 제한이라 나중에 성수가면 테이크아웃정도는 하러 다시 가볼듯,,, 인기가 많아서 디저트 소진율 매우 빠름"
5.0,
5.0,피스타시에랑 투몬먹었는데 맛이 비슷해서(맛이 비슷하다는건 식감이랑 추구하는 계열이 비슷하다는 뜻입니다.)피스타시에를 조금 더 추천드려요. 뭐하나 빠지는 거 없이 맛있는 타르트 오랜만에 먹어요.웨이팅 및 1시간 테이블이지만 만족하고 다시 올거에요!
5.0,"몽블랑 너무 맛있고, 커피도 맛있어요 :) 몽블랑은 있다면 꼭 드셔보시길!"
5.0,성수 가면 무조건 들리는 디저트샵♥️발렁스의 디저트를 먹어보면 이마를 탁 치게 되네요.맛있고 친절한 곳 :)
5.0,디저트 금액대가 좀 있어요 그런데 가격 납득이 가능한 맛입이다 바닐라 크림 풍미 미쳤고 마카다미아랑 조합이 너무 좋네요몽블랑도 풍미 미쳤어요 ㅜ 밤 크림이랑 머랭 씹히는 것부터 전부 다 조화로워서 행복한 맛
5.0,
2.0,싸지않은 가격인데 생각보다 맛은 그냥 그랬고제한시간 1시간 40분 있어요 시간제한 때문에 맘편히 먹지 못했어요
5.0,"9천원대의 발렁스 디저트를 비싸다고 하는 분들은..1. 동탄에 녹차 크림 외엔 아무것도 없는 쉬폰 케이크 한조각을 터무니 없이 9000원대로 파는 인스타 갬성 카페를 본다면2. 발렁스는 파리 본토의 존맛 디저트에도 꿀리지 않는다는 것을 안다면3. 서울 성수에 위치한 가게라는 것을 고려한다면발렁스가 얼마나 혜자 + 맛있는 디저트인지 알게될 것입니다… 다시는 발렁스에서 가격을 논하지 마십쇼…..바닐라통카 : 모양도 예쁜데, 맛은 더하다.. 쉐프님은 인스타에 바닐라 통카에 대해 ‘재정적 대가를 치룬 맛’이라고 설명해놓으셨다. 정말 재정적 대가가 담겨있는 맛이다. 케이크 윗부분에 뿌려진 정체모를 가루가 작은 단위로 느껴지면서 (지금 생각해보니 통카가루 인거 같기도) 바닐라의 향 뿐만 아니라 통카의 향까지 진하게 느껴지는 무스(?)층을 지나면 케이크 안에 숨겨져 있던 빵부분의 식감을 느낄 수 있는데 이 식감이 말로 설명하기 힘들었다  우선 나는 태어나서 처음 먹어보는 식감이라는 건 분명해.. 굳이굳이 표현하자면 개성주악 식감이다. 아주 얇게 층층이 시럽에 절여져 씹을 때 마냥 부드럽지도 않고 딱딱하지도 않고 공기 하나 없는 묵진하고 쫀득한 아이스크림을 가르는 식감? 여튼 바닐라 통카는 바닐라, 통카도 너무 맛있지만 그보다 빵 부분이 주는 식감이 감동이었던 디저트였다.피스타치오 타르트 : 처음에 받아먹었을 땐 너무 맛있어서 아무 생각없이 우걱우걱 먹었는데, 다시 보니 카라멜 라이즈드 된 피스타치오 크림, 그냥 피스타치오 크림, 진짜 통으로 들어간 피스타치오. 여기도 피스타치오. 저기도 피스타치오인 타르트였다. 피스타치오로 가득 찬 디저트 안에서 다양한 피스타치오의 맛을 느낄 수 있었던 점이 너무 좋았고, 고소하고 맛있고 안느끼하고 다 좋았다…유자 라임 마들렌 : 마들렌은 그냥이었는데 그보다 마들렌 위에 올라간 유자라임 시럽이,,,,, 신!선!해!!!!! 디저트 다 먹고 나서 입가심하는 맛이었다. 유자랑 라임의 조합이 너무 기분좋게 향긋하고 시원한 맛..통카 크림브륄레 : 솔직히 크림브륄레는 흔하게 접할 수 있으니까 안먹으려다가 ‘통카’라길래 시켰다. 통카가 뭔지 몰랐는데 덕분에 통카가 무슨 맛인지 알게 되었다. 굉장히 고소하고 부드럽고 특이한 향이 난다.금실딸기 : 차분하게 먹고 싶어서 딸기 따로, 바질 크림 따로, 딸기 젤라틴층 따로, 타르트층 따로. 다 따로따로 먹어봤는데, 그냥 따로 먹어도 다 개성있고 너무 맛있음.. 딸기도 맛있는 딸기로만 공수해온 맛.. 근데 다같이 한입에 베어 먹는 순간 ㅠ_ㅠ 각자 먹어도 맛있는 재료가 하나로 합쳐 먹었을 때 너무 조화로워서 집에서도 발렁스를 향해 존경의 마음을 표하고 싶었다..발렁스 엄청 맛있다. 낮에 가면 품절 되니까 성수 가면 무조건 미리 주문해두고 가세요,, 베스트는? 바닐라통카.. 다른 것도 다 너무 맛있지만 바닐라통카의 식감이 압도적쓰,,굳이굳이 밸런스 게임 해보자면마얘 딱뜨따땅 < 발렁스 바닐라통카 압승(개인적 평..!)"
4.0,
5.0,"최애 디저트집이에요갈때마다 기본3조각씩 먹고와요쁘띠갸또는 말해뭐해 구움과자까지 존맛인 집🥰처음에 바닐라통가?먹고 상투스였어요최근 먹은 금다래도 진짜 맛있고 투몬도 또 먹고싶어요가게이름처럼 맛의 밸런스가 잘 맞는 곳입니다 인스타로 예약되는 점도 좋고요구움과자류도 맛있어요 특히 유자라임마들렌,흑임자 마들렌 추천합니다서울 유명디저트 가게들 많이 가봤는데 제 입에는 발렁스가 최고예요"
4.0,퀄리티는 확실히 높다. 근데 인간적으로 너무 비싸다. 1인 1디저트 한다면 밥값보다 많이 나오게 될것이다.
5.0,타르트 줭말맛있었당 오묘하고 풍부한 맛
5.0,생각보다 작아서 놀라고가격이 비싸서 놀라고미친 맛에 놀라고먹어보면 비싸게 느껴지지 않는 것에 놀람디저트에 대한 미각 수준이 너무 올라가버렸네요진짜 맛있었어요!!
5.0,제대로인 디저트!! 나만 알고 싶어!  맨날 가면 품절인게 단점! 직원분은 너무 상냥하고 친절해요
5.0,
