rating,review
5.0,"웨이팅하는 동안 남자직원분이 정말 친절하게 이것저것 안내해주셔서 하나~~도 안지루하고 좋았어요 !! 커피, 빵 등 설명해주시는데 즐기면서 일하시는 모습에 저도 덩달아 기분이 좋아지더라구요 ㅎㅎ 카페입장 후에도 직원분들 매우매우 친절하심 굿굿 빵은 진짜진짜 맛있음.. 다음에 또올거임 ㅠㅠㅠ 분위기+친절+맛 최고♡"
1.0,
5.0,"이렇게 인기많은 곳인데도 직원분들 너~~~~무 친절하셨어요!! 특히 월요일 낮 남자알바분,, 추천잘해주시고 너무 나긋나긋 친절하세요"
5.0,
5.0,다른거 다 좋은데 포장줄은 따로 서면 안되나요ㅠㅠㅠ사장님 제발 좀 개선해주세요
5.0,비가와서인지 줄도 별로 안서고 구매했어요솔직히 말해서 기본소금빵 소문만큼 맛있네요~버터향도 강하고 빵도 맛있어요~가격은 비싸지만 크기도 커서 나름 괜찮아요
5.0,소품들도 너무 이쁜데 매장 문 열고 들어가자마자 직원분들이 진짜 우렁차게 반겨주세요. 인사를 얼마나 잘해주시는지 너무 기분좋았어요. 특히 남자분 장난아니셔요!!!음료 주실때도 얼마나 친절하고 상냥하게 주시는지 모든 서비스직 분들의 귀감이 되셔야 할 분입니다!!!
4.0,빵이 금방 소진돼서 아쉬웠어요. 소금빵은 👍🏻
4.0,여자친구가 소금빵에 환장해서 갔는데 없어서 못먹음대신 무슨 빵 다 떨어졌을 때만 파는 쏘리 빵인가 있다길래 그거라도 먹어봄. 어디서 먹어본 맛인데 뭔지 모르겠음 맛 ㄴㅂㄷ+직원분들 매우 친절담에 재도전해볼 의향 있음
3.0,소소함
5.0,더워서 기다리기 넘 힘들었는데직원분들이 넘 친절하세오 대박임앞에 계신 남자 직원분이 넘 친절해서대기하는 것두 금방 간듯한 ^_^ 구웃소금빵은 말뭐 기대했던만큼 빠쟉촉촉안은 버터 좌르르륵 넘 맛나요 또 먹고싶음소금빵 1등으로 숙녀가 되😃😃♥️♥️🥺🥺
5.0,진짜 충격적으로 맛있어요자연도 소금빵이랑 둘다 사서 한번에 같은 자리에서 먹고 비교했는데 진짜…. 자연도 10개 먹느니 베통 한개 먹음 ㅠㅠㅠㅠㅠㅠ 자연도 왜케 맛없죠….베통 소금빵을 알려준 친구 집쪽으로 절 하고 잡니다..
3.0,친절하고 맛있는데 평일 낮인데도 남은 빵이 거의 없었다ㅠ 맛있긴한데 기름지다
5.0,"소금빵 맛있네요!남자직원분 엄청 친절하셔서 후기남기게 됩니다.빵 담는 나무상자에 어떤것도 깔지않고 빵을 담아서위생이 좀 걱정되었으나,매일 소독하신다고하네요."
4.0,되게 친절하시고 맛있어요! 저는 오리지널 소금빵이 제일 맛있었어요. 집 근처라면 자주 갈 듯 합니다.
5.0,맛있어서 성수 들를때마다 가는 집입니다ㅎㅎ포장해주시는 남자직원분(목소리 우렁차게 인사해주는 분) 사장님인가? 월급을 2배로 받으시나? 생각이 들 정도로정말정말 친절하시고 백화점vip가 되는 기분이 드는 서비스를 제공해주십니다👍👍👍성수 1등 소금빵 넘 좋아요!!❤️
4.0,부드러운 소금빵보다는 베이글같은 쫀쫀한 소금빵이에요. 개취는 아니지만 빵 자체가 맛있어서 괜찮게 먹었습니다. 안에 있는 크림이 맛있었어요.
5.0,언제나 친절하시고 빵도 너무 맛있어요 인생 소금빵집
5.0,베통 성수소금빵 맛집입니다손님들이 많아 현장대기가 있어요구매갯수 제한이있습니다소금빵 맛있어요엄청친절하시고 좋아요
5.0,웨이팅 무조건 해야되는 인기많은 소금빵집ㅜ 근데 웨이팅하는동안 안내해주시는 직원분이 너무 친절하시고 소금빵도 맛별로 반죽느낌이 다 달라서 맛있어용 수량제한때문에 최대4개밖에 못사는게 슬퍼요🥹
5.0,직원 분들도 진짜 엄청 친절하시고 빵이 맛있어요 🤤 특히 무화과 소금빵 진짜 맨날 먹을 수 있을 거 같아요... 친구들 데려갔는데 다들 인정했어요!! 웨이팅 있어도 용서되는 맛 ㅎ.ㅎ
5.0,소금 빵 맛도 맛인데 너무 친절하세요! 사람도 많아서 혼잡할 텐데 안내도 잘해주시고 카운터 여자분이랑 더운데 땀 흘리면서 웃으면서 안내해주신 남자 알바분 짱...
5.0,쫀득쫀득 소금빵 너무 맛있어요 ...버터풍미 가득하고 빵이 진짜 쫀득해요그리고 입구에 남자직원분이 저어엉말 친절하셔요!!
5.0,"평생 먹어본 소금빵 중 1등입니다 ,,"
5.0,
5.0,빵이 품절이라 못 먹었지만 안내 해주시는 직원분이 너무 친절하셔서 너무 좋았어용
