rating,review
1.0,야채 볶음밥 먹었는데 밥알이 오대쌀이나 이천쌀들 비해 훨씬 질 떨어집니다 왜 줄서고 유명한지 모르겠음 쌀국수 국물도 조미료 맛 나고 아 성수 이동네는 좀만 맛있으면 고평가 개오져서 여러번 낚이네 아오
3.0,가성비 괜찮은 무난한 맛의 식당입니다.후기대로 짜조가 맛있었습니다매운 쌀국수는 토마토가 들어가는데 쌀국수 맛이랑 어울린다고 느끼진 않았어요소고기 볶음 쌀국수는 예상가는 한 맛이지만 맛있었어요
4.0,"가성비도 있고 ,, 테이블 회전이 빨라서 웨이팅도 별로 안길지만 저는 생각보다 슴슴하다고 느꼈습니다근데 짜조가 짱맛있음 짜조 꼭 드셔요"
4.0,성수에서 이정도면 꽤 좋다쌀국수 고기는 질겨서 별로
5.0,"쌀국수도 맛나지만 고기볶음밥 강추에요,,"
5.0,"성수 진짜 많이 가봤고 맛집이랍시고 해봤자 분위기 좀 잘 만들어놓고 그저 그런 맛에 가격은 비싸게 받아먹기 마련인데그런곳에 질리셨다면 여기는 진짜 추천.성수에 먹은것만 한보따린데 생각나는건 딱 두 집, 훼미리칼국수랑 벱.누메로도스는 먹고나서도 배고파서 화가 났던 기억이 나요."
3.0,+ 깔끔한 맛+ 깔끔한 업장 분위기- 협소한 공간
3.0,쌀국수 국물이 자극적이지 않지만 계속 먹을때 질리지 않았어요. 안에 들어가는 재료도 적당히 괜찮았어요.매장 분위기도 좋았는데 아쉬운건 테이블 간격이 좁아 들어가기 힘든 것?그외 직원분들도 친절하시고 좋았습니다.
4.0,맛굿 가격적당 맛있게 머꼬왔어요
3.0,맛은 나쁘지 않아요. 고기를 직접 삶아서 쓰셔요. 정성 좋아요. 아쉬운 건 고기가 좀 두꺼워서 질겨요.재료들이 싱싱하고 직원 분들도 친절합니다. 성수에서 이 퀄리티에 쌀국수 만 원이면 괜찮다고 생각합니다.
5.0,개맛있음. 깔끔해서 좋아요
3.0,맛있긴 한디 걍 그저그렇고테이블 간격 너무 좁아서엉덩이 스치면서 나와야됨
4.0,
4.0,성수치곤 가격이나 맛이 괜찮았어요. 첫 방문이라 다음에 다른 거 먹어보고 후기 점수 올릴지도..
4.0,"양도 무난하고, 국수에 들어가는 고기 질도 좋음. 분보싸오 새콤달콤하니 맛있다."
5.0,갈 이유: 미국 포 좋아하는 사람은 무조건 고고. 스프링롤(썸머롤)도 미국맛임. 볶음밥도 훌륭말 이유: 주차는 ㄴㄴ. 생각보다 일찍 닫는 편
5.0,최애는 야채볶음밥.. 차애는 양지쌀국수..💘
3.0,낫배드
1.0,문신 가득한 키작은 남자분~~인상 퍽퍽 쓰고 막말하면서 요리하는데 밥맛 다 떨어짐. 그게 멋인줄 아는듯. 다시 가고 싶지 않음.
5.0,가성비 있고 맛도 있고 괜찮게 잘 먹었어요~
5.0,
5.0,갈 때마다 웨이팅 없는 시간에 가서 먹어서 그런지?만족도가 괴쟈아아앙히 높슴미다여기 진짜 맛있는데.. ㅠ
5.0,
3.0,맛이 없진 않으나 찾아가서 먹을 정도는 아닌 것 같습니다.
2.0,레이팅이 왜캐 높지?….너무 밍밍해요!  육수에서 깊은 맛을 느껴야 되는데…. 너무 아쉽네요. 레이팅이 4.3여서 기대를 많이 했는데 이거를 맛집 수준이라고 판다하면 안될 것 같습니다..
4.0,맛있는데 웨이팅까지는 굳이? 쌀국수보다 그 외의 것이 맛있었어요
5.0,대기가 좀 있지만 기다리고 먹을 가치가 있는 집입니다. 여기서는 소고기쌀국수도 맛있지만 다른데서 먹기 힘든 해산물 쌀국수도 먹어보세요. 국물이 시원깔끔하고 중독적입니다. 대신 매운맛은 데이트라면 먹지 마세요. 겁나 매워서 콧물 질질 흘림
5.0,음식이 전반족으로 맛있습니다! 매장 분위기도 좋아요~!
3.0,성수 치고 가격 싼 거 같다? 근데 평점 4.2까진 아님... 쌀국수는 내 입맛이 상향평준화 되서 그런가 실망이였고 볶음밥은 무난무난... 스프링롤이 제일 맛있었음 굳이 찾아갈 맛은 아님
4.0,쌀국수는 일반 프렌차이즈보다 좀 슴슴한 느낌이고 비빔쌀국수 짱맛! 매장이 크진 않지만 저녁에 가니까 은은한 조명에 붐비지 않아서 좋았어요
1.0,리뷰 믿고 갔는데...너무 실망스럽고 아쉬운 맛이었어요ㅠㅠ 짜조만 맛있고 다른건 2프로 부족한 느낌...깊은 맛이 안나요ㅠㅠ
5.0,짜조 안 먹으면 바보
5.0,"해산물볶음밥 양지쌀국수 스프링롤  전부 맛있었어요..!!!!해산물 볶음밥은 제가 여태먹었던 베트남 볶음밥중에 제일 맛있어서 다음에 또 와서 먹고싶응 맛이였구요 ㅠㅠ양지쌀국수는 국물이 맑아서 느끼한맛이 없어서 좋았어요 고수달라고하셔서 꼭 고수넣어서 드세요 !! 스프링롤은 쌀국수면보다 얇은 면이 들어가서 좋았어요 꽉차는 느낌..? 신선하고 야채들이랑 잘 어울리고 소스도 넘 맛있었어요 ㅠㅠ다들 진짜 꼭 드셔보세요 진심 너무 맛있어요 ㅠ리뷰 잘 안남기는데 너무 맛있어서 남기고갑니다,,담에 또 방문할게요 최고"
5.0,쌀국수 맛나게 먹었던 곳
5.0,맛있어요볶음밥 타지인인데 자꾸 생각나네요
1.0,"차돌박이 쌀국수, 볶음면둘 다 평범 그 이하차돌박이는 고기가 제육같은 고기고 국물도 그닥 안 깊음.. 볶음면 고기는 냄새나고ㅠㅠ 진짜 제발 다른 곳 가쌀국수 라면보다 맛 없어 ㅠ"
1.0,하...맛집이라고 해서 갔는데 ㅠㅠ 돈아깝 국수 그냥 컵라면 쌀국수 스프맛임...그냥 미분당가세요!! 볶음밥은 그냥 중국집 가세요!!
5.0,웨이팅 있었지만 회전율도 빠르고 직원분들 모두 친절하시고 음식도 너무 맛있었습니다 :))
4.0,국물이 담백하면서 시원함쌀국수 먹으면서 여기정도로 기름없는 국수는처음봄.해장부담안됌.고수도 역한맛없이 잘 녹혀져있음. 단 성수물가임.
5.0,
5.0,
5.0,전에 종종 먹던곳 엄마 모시고 갔었어요! 매운 쌀국수 드시더니 왠지 김치찌개 느낌이 나는 것 같다고 하시긴 했는데 ㅋㅋㅋㅋ 맛있게 잘 먹었습니다! 사이드로 바삭한 튀김류 시키면 합이 좋아요.
5.0,해물보끔밥냄새 굿 ~+양지쌀국수 +짜조 +하노이 다 마ㅛ도리❤️
5.0,괜히 그러는 게 아니라 진짜 개 맛있습니다양이 적지 않은데 저처럼 맛있는 거 먹으면 흥분 하는 사람 한테는 순식간에 삭제되요
5.0,가격도 적당하고 맛있어요!! 알바생분도 친절하시고 노래 선곡도 쥑이고 분위기도 나름 있네요. 재방문할 것 같아요~
5.0,"해산물 볶음밥 1.2⭐️⭐️⭐️⭐️⭐️미고랭 맛에 신선하고 알찬 해산물이 잔뜩 들어있었습니다! 오늘 먹은 메뉴 중 가장 만족스러웠어요. 새우나 오징어가 되게 큼지막하게 들어가있어서 식감까지 잡았습니다소고기 볶음면 1.1⭐️⭐️⭐️🌓맛 없다고 하긴 그러나 평범했습니다. 특히 해산물 볶음밥에 비해 슴슴한 느낌이 들어 상대적으로 더 평범하게 느낀것 같기도 하네요. 그래도 소고기를 크게 썰어 넣어주셔서 소고기랑 같이 먹을때는 좋았습니다짜조 0.5⭐️⭐️⭐️⭐️🌓맛있음! 근데 비쌈! 4조각에 5천원가게가 협소하지만 그만큼 분위기는 좋았습니다. 직원분들도 친절하고 대체로 메뉴도 가격 대비 맛이 좋았습니다! 쌀국수를 안시켰을때, 쌀국수 국물을 주시는 서비스도 너무 좋았어요4.5/5재방문 의사 : 볶음밥과 짜조는 다시 먹고싶을듯!!"
4.0,
5.0,쌀국수 국물조 좋고 특히 볶음밥이 아주 맛있었네요
