rating,review
4.0,평범~
4.0,
3.0,사람이 많아서 시끄럽고 빵이 맛에 비해 너무 비쌈
3.0,가격대가 있는 편에 비해 평범해요~
3.0,"동네에 프레첼 전문점 생겨서 좋다고 갔다가맛 없어서 실망했는데오늘 보니 평점이 너무 좋아서의아했네요.살펴보니 24년 2월 별점 5점 조작리뷰 많네요.성수에 맛있는 빵집 많습니다.주민으로서 리뷰 보시는 분들돈,시간 아끼라고 남깁니다."
4.0,"코코넛카야, 페퍼로니 존맛탱.다른건 쏘쏘, 따로사는 크림치즈는 양이적은편"
4.0,나쁘지 않은 곳. 굳
4.0,맛있습니다.직원분들도 친절하셔서 좋았습니다.가격은 생각해봐야할 듯 싶습니다.
4.0,
2.0,시원하고 자리도 많고 친절하셔서 좋았으니프레즐이랑 커피는 그냥 그래서 아쉬웠던ㅜ
5.0,남자직원 안내하시는 분 진짜 친절하심. 웬만한 카페 사장님들보다 친절함. 맛도 용산점보다 훨씬 맛있음 거긴 탄맛 좀 났었는데 여긴 안남.   결제방식만 좀 늘리면 더 좋을 거 같음
1.0,리뷰작업과 바이럴을 아주 각잡고 하는 브랜드.맛은 탄 맛이 많이 남.추천 x
5.0,너무 더워서 근처아무곳이나 들어가자해서 온건데시원한 냉방에 친절하고 맛도 괜찮은편2층은 다들 너무시끄럽게 떠들어서 무슨 유사 술집같았는데 이날만그런건진 모르겠음
4.0,
4.0,점심시간에 갓 나오는 타이밍에 가서 먹었더니 진짜 맛있었어요 점점 더 유명해져수 가기 어려워지네요ㅜ
5.0,가끔 중간중간 크림치즈 덜 들어있는 꽝프레첼 걸리면 좀 슬프긴 한데 그래도 맛있어서 자주 가요코코넛카야 토마콘 잠봉뵈르 무화과 ← 개강추🥨
4.0,맛있음
5.0,프레첼 종류도 정말 많아서 고르기 넘나 어려웠던 곳❤️정말 다 맛있어보여서 다 살뻔 했지만꾹 참고 2개만 포장했어요ㅎ유명한곳이라 먹어보고 싶었는데기대이상이여서 넘 만족..🥰
5.0,프레첼 종류도 엄청 많고 맛있었어요 💗💗 매장도 2층까지 앉을 수 있어서 사람이 많았지만 자리가 있어 좋더라구요 ㅎㅎ
5.0,"성수에 빵집이 고민된다면 오기 좋은 곳(📌pick:페퍼로니,토마콘)페퍼로니는 약간 피자같은 맛, 토마콘은 기본프레첼에 옥수수가 붙고 크림치즈 중간중간 썬드라이토마토!맛은 미쳤다 아니지만 한번쯤은 와보기 괜찮아요!1,2층으로 공간 되어 있어서 공간도 넓고 감성도 있습니다.!기본프레첼 너무 짜요.. 하루된 앤티앤스먹는데 누가 저한테 소금 뿌린맛"
4.0,프레츨 코코넛 + 쿠키올려져있는거쿠키 음 좀 눅눅하고 질긴맛 단맛은 적당함코코넛도 생각외로 단맛이 적당해서 맛있음 근데 질겨.. 시간이 지나서 그런가
4.0,후추뭐시기랑 대파크림 두개사서 단짠으오드세요 존맛
1.0,탄맛이 나용~~~
5.0,커피 맛있고 인테리어도 예뻐요~
5.0,아메리카노코코넛 카야 프레첼 🥨
3.0,프레즐은 평범하고 아아는 은근 별로였어욤. 내부 인테리어는 정말 좋았습니다!
3.0,프레즐 유명하다해서 왔는데 맛있어요! 저 사진에 있는 두 종 다 추천
1.0,진지희가 왔다간거말고는 셀링포인트가 없나봐...(애초에 배우들이 와서 먹은거랑 나랑 뭔 상관인지 모르겠지만)
5.0,분위기도 좋고 위치도 너무 좋고빵이 너무 맛있습니다!레몬에이드도 진하고 맛있었지만논카페인 음료가 적고 화장실이 남여공용이에요!
4.0,맛있어요! 질기지도않고 괜찮아요! 생각보단 평범음료류도 평범
5.0,성수 카페를 이곳 저곳 찾다 친구가 이곳을 가보자 해서 오게 되었어요 위치가 서울숲이랑 한강과도 가까워서 테이크아웃해서 피크닉하기에도 좋을 것 같더라구요 저희는 대표 메뉴인 코코넛 카야와 부추 베이컨 샌드위치를 먹어봤는데 맛의 퀄리티가 너무 좋더라구요 프레즐 전문점이라 그런지 특히 프레즐 맛도 너무 좋았습니다
5.0,"대표메뉴인 버터크림, 페페로니 구입해서 주변에 있는 서울숲 가기 좋아용:)너무 맛도 좋고 또 방문할게용"
5.0,인테리어 너무 이뻐요ㅠ 완전 해외온거같음 빵집이 이렇게 이뻐도 되나요ㅠㅠ 저희 멈무데려갓는데 야외에서는 같이 있을수있어서 너무 좋앗어요 코코넛카야 추천해주셔서 시켰는데 짱맛이네요
5.0,매일매일 직접 만드는 프레즐맛집! 날씨좋을땐 테이크아웃해서 서울숲가도 좋을거같아요😊 성수카페추천이요〰👍👍
5.0,성수카페는 여기가 진짜 찐입니다ㅠㅠㅠㅠ 인테리어도 예쁘고 포토존도 많아요!! 프레즐도 너무 많있고 퀄리티 너무 좋습니다~ 진짜 가깝기만 하면 매일 가고 싶네요!!
5.0,오랜만에 성수 놀러갔다가 친구가 추천해준 카페라 와봤는데 종류도 엄청 많고 프레즐 비주얼도 미쳤네요!! 인테리어도 예뻤습니다~ 무엇보다 한강이랑 가까워서 날씨 따뜻해지면 테이크아웃해서 피크닉 하기로 했습니다 ㅎㅎㅎ
3.0,사람이 많아서 웨이팅 오래 걸려요~ 맛은 괜찮습니다
