rating,review
2.0,😁 직원분들은 친절하시고 설명 잘해주심😡 매장이 매우 협소하고 블루리본 매장이던데 의문이 들 정도로 가격대비 만족스럽지 못한 맛. 테이블도 10개 미만이며 심지어 다닥다닥 붙어있는 수준이고 핸드드립이다보니 회전율도 낮은듯 하고 내가 사장은 아니지만 수익성 면에서 의문점이 듦.⭐️ 먹은게 후회되는 맛⭐️⭐️  한번정도는 먹어볼만한 맛⭐️⭐️⭐️ 근처에 있다면 먹으러 갈만한 맛⭐️⭐️⭐️⭐️ 맛있다고 느끼면서 동시에 해당 식당만의 킥이 있는 맛⭐️⭐️⭐️⭐️⭐️⭐️ 이걸 먹으러 여행을 떠난다.
5.0,구우우웃드
3.0,카페인 때문에 연하게 해달라고 하니까 알겠다고 해놓곤 오리지날이 더 맛있다고 그대로 내오시던...ㅋㅋㅋ 연하게 해달라니까요...?커피 원두를 고를 때 원두에 대한 설명도 무슨 일기장처럼 써놓은게... 전혀 도움이 안됐어요컨셉은 알겠지만 두번 갈 것 같진 않네요내부는 조용하고 맛은 있어요자리가 오래 앉아있기엔 불편해요
5.0,퍼스널 커피 느낌긍데 ㄹㅇ 잠 안 옴 ㅠㅠㅠ
4.0,"(24.7.15)파나마 카밀리나 게이샤 아이스친절한 설명과 케어, 맛있는 커피.가격대가 있지만 그럴만한 이유가 있다공간도 예쁘고 클래식이 흘러나와 시간보내기 좋음단, 좌석이 조금 불편할 수 있고, 콘센트가 없다"
5.0,가격대는 있지만 너무너무너무너무 맛있어요!
5.0,커피에 진심이 담긴... 사장님~~~ 이런 곳들이오래오래 가길 바랄뿐이다. 😳
5.0,브루잉호날두호우세레모니드립커피계의 호날두
5.0,"커피 종류가 다양한데, 친절하신 직원분께서 추천해주신 커피로 마셨어요!커피가 정말 향기롭고 맛있어요! 화이트브라우니도 함께 먹었는데 맛있었답니다아"
5.0,드립밖에 안팔아서 아쉽지만 드립 종류도 많고 친절하시고 커피도 넘 맛있습니다…. 성수 최애 카페….
5.0,직원분들 전부 친절하시고역시 커피 맛집이네요핸드드립전문점 만족합니다.
5.0,여기 커피 진짜 맛있음 풍미좋은 커피 좋아하시면 에티오피아 케라모 추천
5.0,커피 향이 너무 좋아요 사장님 짱 친절하심 텤아웃컵 친환경소재라 분리수거 안해도되서 조아욥
5.0,정말 친철하고커알못인데도 커피맛이 좋다는게 느껴집니다.크레센도 강추!쿠바 강추!😍🥰😍😘😘🙂😍😇😘
3.0,
5.0,좋네요 사장님이 일본에서 공부하신 느낌이네요. 그러신가요? 친절하신데 아주 투명하고 정중한 그런 친절이에요. 섬세하고 배려심있지만 프로페셔널한 친절. 커피도 매우 맛있고 깔끔합니다. 평가를 하면 안되긴 하지만 - 몇몇카페들 특유의 형멋있지/오빠멋있지가 전혀 없으셔서 너무 좋습니다.
5.0,제가 제일 좋아하는 카페 중 한 곳이예요😀
5.0,너무 친절하고 맛있네요딱하나 의자가 조금 불편한거 빼곤 좋아요
5.0,내려주는 커피 맛이 좋습니다. 두번째 방문이지만 또 좋습니다. 친절한 설명으로 핸드드립으로 내리는 신선하고 색다른 커피를  찾으신다면 강력 추천
5.0,커핑노트에 적힌 맛 다 나요.. 맛집
4.0,좌석이 열받지만 진짜 친절하시고 커피도 나름 괜찮아요
5.0,여러 종류의 원두가 있어서 취향 따라 마실 수 있어서 좋아요. 커피와 함께 디저트까지 맛있는 카페 최고
5.0,
5.0,훌륭해요
5.0,커피맛있어요 친절하시고 분위기도 좋아요
5.0,급하게 테이크아웃으로 마실 곳이 아니었는데ㅠㅠ 아쉬웠어요 여기 너무 맛있고 분위기도 좋아요
5.0,비오는 날 왔는데 브루잉 종류가 다양하고 사장님이 친절하셨어요.다음에도 성수오면 들릴게요.
5.0,
5.0,커피 맛있음
5.0,"커피 진짜 맛있어요... 성수동에 있는 카페들 다 멋만 잔뜩 부리고 맛은 없어서 2번 방문할 만한 곳은 없는데, 여긴 인테리어도 힙하고 커피 맛도 장난 아니에요!! 단 커피만 먹는데 드립커피 아니면 라떼밖에 없어서 당황했지만 라떼라도 시켜먹은 건데 진짜 맛있네요!! 고소하고, 커피 맛 잘 모르는 제가 마셔봐도 와 이건 커피 자체를 너무 잘 내렸다 싶은 맛이에요. 그리고 직원 분도 너무 친절하세요. 여자분이셨는데 엄청 상냥하게 나긋나긋한 말투로 설명해 주셔서 좋았어요. 혹시 직원이 아니라 사장님이셨을까요? 화장실도 깨끗하고 널찍했어요. 유일한 흠은 앉아있기 불편한 의자 정도였네요 ㅠ"
5.0,커피 말곤 다른거 없음. 평소에 커피 안 먹는데 당황 하고 먹음. 커피에 진심임. 남자분 여자분 두분이서 원두 고르라는데 뉴비 보는 고인물 광기 느낌.잘 모르는 나도 오 할정도로 맛은 굿함ㅋㅋㅋㅋㅋㅋㅋㅋ
4.0,향을 알 수 있는 곳. 그런데 커피의 향이라기보다는 그냥 향인 것 같아요 정말 다 좋은데 '커피'로서의 정체성이 조금 희미함... 별개로 브루잉커피 이렇게 괜찮은 온도로 주는 곳 처음임. 따뜻하지만 한모금 정도는 입 아프지 않게 마시며 향을 즐길 수 있는 매우 훌륭한 온도.
4.0,굳굳
2.0,"내 픽 : -- 두 가지 브루잉 모두 커피 농도가 옅은 편이어서 아쉬웠음, 그렇다고 밸런스 있지도 않음- 가격대가 있는 편이어서 아까워서 다 마심- 장소가 협소하고 테이블 간격이 너무 좁은데 사람도 많아 어서 나가고 싶은 공간, 커피를 즐기기엔 아쉬운 공간이라 차라리 포장이 나을 듯- 기대하고 가서 그런가 실망이 컸음"
4.0,커피맛도좋고 직원분들도 친절하셨는데..단점을 하나만 말하자면 공간이 너무 협소해요ㅠ그래서그런지 자리도 불편하고요....답답한거빼곤 다 좋았습니다~
4.0,원두에 대한 설명이 자세하고 친절함.자리는 협소하지만 커피투어할 계획이라면 추천
5.0,
3.0,"입구가 굉장히 특이하고 초행이라서 당황했어요. 앞에 직원분이 나와계셨는데도 저희가 한참 기웃거리는 데에도 알려주시지 않더라고요. 강하게 손님을 키운다고 생각했습니다, 멋져요. 자리는 딱딱하고 낮은 덕분에 회전율이 좋아 인기 있는 곳을 많은 사람들이 방문하고 체험할 수 있다는 장점이 있는 것 같습니다. 아무래도 오래 머물기(앉기)가 힘드니까요. 커피맛은 나쁘지 않았고, 원두를 고르는 과정이 흥미로웠습니다."
5.0,"성수에 있는 카페들 중에서 가장 마음에 들었던 곳입니다. 친절함과 상냥함은 물론이고 공간이 주는 느낌과 분위기도 좋았으며, 가장 중요한 커피가 너무 맛있었습니다! 재방문 의사 100%"
4.0,로스팅이 끝내줍니다. 하지만 가격이 조금 비싸요
4.0,다양한 원두를 브루잉으로 즐길 수 있는 곳.무대같은 느낌을 받는다.대신 아메리카노는 없어 호불호는 있을 수 있음.
4.0,
4.0,무난해요
2.0,가게가 너무너무너무너무 좁아요.. 불편한 테이블과 자리.. 너무 불편해서 잠깐 앉았다 바로 나갔습니다
5.0,카카오맵 리뷰 처음 남깁니다..!사장님 정말 친절하시고 무엇보다 커피에 완전 진심이셔요!!커피 맛도 최고입니다살면서 먹어본 플랫화이트 중 가장 맛있었습니다!다음에도 무조건 방문할 것 같아요 :)
5.0,성수동 최애
1.0,
5.0,커피는 이 근방에서도 손꼽히게 맛있는 곳자리가 불편해서 오래 앉아있을만한 곳은 아니지만 나름 분위기가 독특해서 성수동에서 가볼만한 곳이다
4.0,"커피를 잘 안마시는데 먹었을때 진하고 구수한 맛이납니다!(저는 비올라시켰어요) 카페가 되게 특이해서 눈이갔던..입구에 간판이없고 덩그러니 화살표만있어서 찾기좀 힘든면이 있어요 ㅋㅋ 분위기와 서비스,커피고르는 재미가있어 좋았네요 한번쯤 가면 좋은곳이에요 굿"
3.0,"커피는 좋지만,소리가 울립니다.음악은 음악대로, 대화는 대화대로 공간을 차지해서 정신이 없습니다."
5.0,커피 설명도 잘 해주시고 커피맛집
5.0,오렌지쥬스도 너무 맛있고 ~~ 직접 내려주신 커피도 맛있음 ! 다시 갈 의향 너무너무 있음 !
5.0,진심 맛있음
5.0,피어커피와 함께 성수 핸드드립 탑2입니다. 바깥에서 창이 까맣고 간판이 없어 발견하기 어려운데 들어가면 조용하고 커피맛 좋습니다. 커피에 진심인 곳입니다.
5.0,커피 맛있어요. 엄청 친절하시네요!!!자리는좀 불편해요
