rating,review
5.0,딤섬이랑 마라 좋아하시는 분들은 무조건 추천합니다!! 쓰촨딴딴면 마라 향이 가득한데 너무 맛있어요ㅠㅠ 딤섬도 촉촉하니 엄청 맛있었습니다💗🫶🏻
1.0,예전에비해 맛도 서비스도 다 변했어요 ㅠㅠ또 오진 않을것 같네요..
1.0,"맛이 중요하지 않을만큼 서비스가 최악이었음.왜 줄 서 있는지 궁금해서 들어왔다가 기분만 더럽게 나감.1. 청결- 수저통에 있는 숟가락이 다 더러워서(이물질, 누렇게 변색, 깨져있음 등) 말씀드리니, 오래된거라 닦아도 안 닦여요라고 말하고 끝. 겨우 골라서 쓰고 있는데 갑자기 테이블로와서 수저통 정리하고 감- 고추 다대기 안에 머리카락이 껴있음2. 맛- 옆 테이블에서 매운국수?를 시킨거 같은데 국물 먹자마자 두 분 다 너무 싱거워서 컴플레인을 함- 싱거운건 소금을 드리는 거 밖에 없다며, 오분 넘게 다른 테이블 치우더니 소금만 접시에 담아서 옴- 손님 한 분이 소금이 아니라 매운 맛도 부족한거 같다고 하니까 그건 옆에 고추 넣으시면 돼요~ 이러고 감바쁜 중에 서비스나, 맛 부분에서 개인 취향이라고 할 수 있지만 손님은 안중에도 없는 태도가 정말 기분 나빴고, 이 정도 딤섬은 다른데 가도 더 맛있게 먹을 수 있을 것 같아서 다신 안 올 예정임.기분 좋게 먹는 것을 더 중요하게 생각하시는 분들은 안오시는게 좋을 것 같아 리뷰 남김."
5.0,"빠오즈는 속이 꽉 차고 촉촉한 육즙이 많고 고기가 들어있었어요. 쫄깃하면서도 부드러운 반죽이 속재료와 완벽하게 어우러져서 한 입 먹을 때마다 풍성한 맛이 느껴졌습니다. 담백한 맛을 좋아하는 분들에게 특히 추천드리고,흑식초랑 고추볶음 섞은 양념에 찍어드시면 더 맛있어요차오쇼우는 매콩 달콤 새콤한 맛이 인상적이었습니다. “오늘의 스페셜 메뉴” 였는데 스페셜인 이유가 있더라구요이국적인 맛인데 또 한국인 입맛에도 잘 맞고 맛있어요 계속 먹게되는 맛이에요훈둔면은 사골국물베이스에 면이랑 완탕이 있는데 국물이 깊은 맛이고 부드럽고 맛있었어요직원분들도 친절하시고 음식의 전반적인 퀄리티가 높았습니다. 식사 시작했을때부터 나올때까지 계속 웨이팅 있더라구요. 서울숲역 맛집, 성수 맛집으로 추천합니다"
1.0,새우지짐은 먹을만 했는데 고기빠오즈? 고기냄새 너무 나서 역해서 다남김 매운훈둔면? 그냥 훈둔면은 모르겠는데 사골육수 맛 하나도 안나고 이렇게 돈아까운 식당 또 오랜만이네요 평점이 이렇게 높은 이유를 모르겠음
3.0,
3.0,맛은 있어요- 그치만향이 강한거 못먹는 사람에겐 비추요.. ㅜ탄탄멘도 향신료 냄새가 나고만두도 고기냄새? 육향? 같은게 나서 다 못먹었네요특이한거 좋아하시는 분들은 좋아하실듯
5.0,"아...너무 맛있어요. 8천원에 만두 8개? 요즘 볼수 없는 가격, 볼수 없는 퀄리티"
5.0,"고기빠오즈, 새우지짐 정말 추천합니다 !!생각나면 늘 호다닥 달려갔던 맛집인데.여기보다 맛있는 소룡포는 없습니다..!!!사장님 좀 더 장사 잘 되셨음해서 리뷰도 써봅니다 ㅎㅎㅎ육즙가득한 고기빠오즈, 겉바속촉의 정석인 새우지짐. 둘다 완전 추천합니다 !!"
5.0,건대점에서 먹었던 감동을 느끼진 못했지만 부추 지짐 진짜 맛있고 훈둔면과의 조화가 좋다. 가격도 착하고 양도 많아서 가성비가 좋다고 느껴진다! 웨이팅만 없다면 좋은 맛집
5.0,만두 맛집. 직원분도 너무 친절하심
5.0,
1.0,"조리용 앞치마입고 가게 앞에서 담배피기, 들어가서 눈마주쳐 목례했더니 훑어보며 씹기..ㅋㅋㅋ"
5.0,잊을만 하면 한달에 한번씩 방문하는 내 맛집픽
5.0,항상 맛있음~~~ 처음 먹었던 그대로의 맛! 직원분들도 친절~
