rating,review
4.0,맛있고 가격대비 양도 많아서 만족. 하지만 공간이 좁고 테이블도 좁아서 불편할수도 있겠음. 그래도 재방문 의사 있음!!
5.0,"청모로 2주전에 예약하고 갔는데깐깐한 언니들 모두 만족하심요즘 뇨끼 맛집이라고 가면 비싸고 창렬해서맛있어도 기분 나쁠때가 많았는데여기는 소스도 많고 뇨끼도 넘 맛있었음까먹고 피자 안찍었는데ㅠㅠ 다맛있고 양도 많은듯파스타 면이 아쥬 기깔나네용 ( ⁼̴̤̆◡̶͂⁼̴̤̆ )이 집 뇨끼 소스먹어보니 크림파스타 200퍼 만족스러울듯?사장님, 직원분들 다 친절한데 악평은 옛날 옛적 얘기인듯..?"
1.0,"최악의 식당. 식당의 예약 확인실수를 캐치테이블 잘못으로 떠넘김. 캐치테이블에서도 손절한 식당. 오래가지 못할 거라고 봄.캐치테이블 통해 예약했고 10분전 도착했지만매니저로 보이는 남자분이 캐치테이블 오류로 예약이 안되었다고 함대신 이건 캐치테이블 오류 때문이니 본인 식당은 전혀 책임이 없다고 응대 (물론 미안하다는 말 하나 없이 오히려 손님에게 따지는 말투. 비오는날 밖에서 10분넘게 기다리다가 그냥 다른음식먹으러 감.)오류이고 뭐고를 떠나서, 시간 맞춰예약 방문한 손님에 대한 태도로써 너무 부적절하고 무례했음.  캐치테이블 오류가 있으면 애초에 본인이 식당등록을 안하면 되는거 아닌가요?이후 캐치테이블 통해 확인해본 바 시스템 에러는 없었고,캐치테이블에서도 식당주인과 연락을 취했지만 원할한 대화가 불가능했다고 함. 따라서 해당 식당에대한 노출과 예약을 일시적으로 막는 조치룰 취한다고 했음 .식당에 다시 전화해서 물어봤지만 오히려 나에게 뭘 원하느냐고 이런식으로 전화하면 영업방해라고 적반하장.아마 캐치테이블과의 소통오류를 손님에게 투사해서 화내는 듯.다시방문하고 픈 의사 없고 주변에도 간다고 하면 말리고싶은 곳."
3.0,직원분이 굉장히 친절하셔서 기분이 좋았어요가격은 맛으로 보면 잘 모르겠지만 양이 거의 1.5인분이라 납득하게됨뇨끼랑 파스타 주문했는데 전체적인 익힘 정도가 좀 아쉬웠던 것 말고는 좋았어요총평: 어디가지? 싶을때 무난하게 가기 좋은 곳
4.0,넘 맛있고 양도 진짜 맛있어요!!! 근데 비 오는 날에갔더니 이상한 꿉꿉한 냄새가 가게 안에 다 차서 약간 ㅜㅜ... 힘들었어요ㅜㅜ.. 그래서 다음에는 날 좋을 때 가서 먹게여!!! 넘 맛있습니당
5.0,음식이 너무 맛있고 분위기도 좋아요😍
5.0,분위기도 너무 좋고 음식도 다 너무 맛있어요!!에피타이저에 디저트까지 챙겨주시고 직원분들도 친절하십니다
5.0,토요일 저녁시간에 방문 했는데 웨이팅이 있었지만 금방 먹을 수 있었어요😆맛있어서 또 방문하고 싶어요🤭👍🏻👍🏻
5.0,필라프랑 성스파가 맛있어요~^**^ 다음에 또 올게요~~ 성수 맛집 인정합니다👍👍
1.0,"두 줄 요약 : 웨이팅 있는 경우 3인 이상 일행에게는 비추. 더 늦게 온 커플들이 2인이라 계속 먼저 들어감;시간 버리게 될 거예요. 2인테이블뿐이라 두 팀이 동시에 나가야 3, 4인이 들어갈 수 있습니다. 한 팀씩 일어나면 3, 4인은 그냥 계속 기다려야 해요. 근데 그걸 한 시간 넘게 기다리고 물어봐서 들었어요. 가게에서 미리 알려준 게 아니라 손님이 기다린다 못해서 물어보니까 그때 알려줌테이블링 걸고 한 시간 넘게 기다렸는데, 뒷팀들만 자꾸 먼저 들어가더라고요. 아무 안내 없어서 기다리기만 했는데, 손님이 물어봐야 “두 팀이 동시에 나가야 세 명 자리를 낼 수 있다”는 시스템을 그제야 알려주더라고요. 이런 시스템은 미리 안내해주고 선택할 수 있게 해줘야 맞는 거잖아요. 순서대로 들어가지 못할 거 미리 알았으면 안 기다리고 다른 데 찾았죠. 한 시간 넘게 기다리게 하고, 당연히 미리 안내해야 할 시스템을 고객이 먼저 문의해야만 그제야 알려주는 곳이라뇨. 고객 시간 버리게 하는 곳입니다. 음식도 느리게 나오고요. 그런 시스템이 있는 거 이해할 수 있죠. 근데 이러이러하니 3인은 오래 대기할 수 있다고 미리 안내를 해주고 고객이 선택할 수 있게 해줘야 하지 않을까요? 고객이 물어보기 전에 말해줘야죠."
