rating,review
5.0,
5.0,
5.0,프랜치렉 스테이크... 미쳐써 개맛있음!
2.0,예전엔 맛잇었는데...
5.0,
3.0,가게 분위기가 좋다 비스큐 로제 파스타를 먹었는데 맛은 평범한편 재료의 상태와 익힘은 좋다
4.0,"단체 예약해서 룸으로 이용했어요음식은 매우 맛있으나 가성비는 전혀없음,,돼지 스테이크는 금방 식고 식는 순간 뻑뻑해져요 제일 비싼 메뉴인데 제일 아쉬움뇨끼 두번 드세요! 두번 먹음!"
3.0,무난한 맛 재방문 의사는 특벌히 없어요~!웰컴티 맛있었어요!
4.0,
4.0,
3.0,음식은 예쁘지만 맛은 그냥 그럽니다. 양식집에 피클이 없는 건 드문 일이네요ㅜ
5.0,맛있어요. 집앞이라 종종 하는곳. 가성비도 나쁘지 않아요
4.0,"비스크 소스 파스타와 마르게리타 피짜를 먹었고, 둘 다 맛이 있는 편. 비스크 소스 파스타는 강한 불에 볶은 소위 불맛이 좋고 간이 짭잘하며 갑각류 껍질의 맛이 꽤 잘 스며 있다. 피짜도 간이 어느 정도 강한 편이고 전체적으로는 맛있다. 하우스 와인은 화이트, 레드 둘 다 이탈리아 와인인데 둘 다 맛 있는 편은 아니다. 가르가네가 품종의 이탈리아 화이트는 개봉한 지 좀 돼서 그런지 알맹이가 빠진 느낌이고, 몬떼뿔챠노 품종의 레드는 처음엔 좀 괜찮으나 시들한 포도를 발효시키는 아빠시멘또 방법으로 만들어 그런지 시간이 지나면 알코올이 강해서 소주 맛이 난다. 음식은 맛있고 와인은 맛이 없으며, 처음에 나오는 향기 나는 돌은 음식과 와인 향에 방해가 되기 때문에 하지 않아도 될 듯. 은근히 소음이 많아서 친절한 서버가 설명하는 게 거의 들리지 않는다."
4.0,
3.0,분위기 좋고 친절하지만음식이 맛이 없어요.가격 생각하면 정말 평이한 맛.간이 대체로 짭니다.
4.0,"스테이크는 맛있으나 살짝 느끼, 멜젓 파스타는 살짝 짜나 맛있음흔한 양식집이 아니라 좋았습니다한번은 방문할만 함다만 좁아서 예약 필수(확장이전 예정)"
5.0,죤맛 뇨끼랑 스테이크 둘다 맛있었어요!  특히 소스가 꾸덕하고 진한 맛이 나서 맛나요 근데 접근성이 너무 아쉬워요..
5.0,제주도의 맛과 분위기를 느낄 수 있는 곳
5.0,
1.0,맛있긴 한데 파스타는 특별하지 않은 맛이고 직원 응대때문에 진짜 화나서 절대 다시는 가고 싶지 않습니다1시간 30분 제한 시간 다가오지도 않았는데 계속 눈치줘서 다 먹지도 못하고 나왔습니다나오는 길에 화장실 들리려다가 비번이 걸려있길래 다시 조용히 들어가서 비번만 여쭤보려는데 신경질적으로 예약했냐 물어보고 방금 계산하고 나온 사람인데 화장실 비번 어디있냐 물어봤더니 화내면서 나가는 문 왼쪽에 있잖아요 왼쪽에 ! 이딴식으로 말을 하네요현장에서는 아무말 안하고 화장실 사용하고 나가긴 했는데 어떤 잘못을 한것처럼 다그치듯이 말하는게 제대로 된 식당이 맞나 의심이 드네요장사 잘되면 다인가요? 웬만하면 정말 식당에 말 안하는 성격인데 여기는 정말 다 먹고 나서도 기분이 너무 나빠서 망했으면 좋겠다는 생각까지 했습니다 그런식으로 응대 하지 마세요 정말
3.0,굳이 재방문은 안할 것 같습니다. 그렇게 맛있는줄 모르겠고 무난한 맛 대비 가격이 착하진 않아요. 한번정돈 가볼만합니다
4.0,멜젓 파스타 향도 독특하고 맛나요. 적당히 짭쪼름하구영. 뇨끼는 좀 마니 아쉽네여. 성게파스타도 향 좋고 무난히 맛났어여. 전반적으로 가격대는 좀 있으나 무난히 만족임다
4.0,
3.0,고기가 퍽퍽해서 아쉬웠는데 다른건 맛있었어요!
3.0,
5.0,아니 인스타갬성 음식점은 맛은 별로 기대 안하는데 여기는 분위기며 색감이며 맛이며 전부 너무 최고에요!!!! 쉐프님도 너무 친절하시고 음식이 전부 맛있습니다~~ 보통의 레스토랑보다 맛이 훨씬 좋네요 다음에 가족들과 또 방문하고 싶어요^^
5.0,진짜진짜 대 존맛탱입니다.. 일단 플레이팅부터 끝났구요! 데이트하기 좋은 분위기에 인생 맛집입니다!!
2.0,"예약하고 방문했었습니다. 뇨끼랑 파스타는 괜찮았습니다. 하지만 스테이크가 하나도 안익어서 나왔더군요, 그래서 여자친구랑 이게 맞나 어리둥절하면서 몇점 먹어보려다 다 남겼습니다. 직원분께서 고기 굽기는 다 미디엄이라 드셔도 된다하셨는데, 다 남겼다고 말씀드렸어요."
5.0,너무 맛있다 ㅠㅠ 뇨끼랑 스테이크ㅠㅠ 아아 ㅠㅠ
5.0,직원분들이 너무 친절하셔서 리뷰 남깁니다 ㅎㅎ음식도 너무 맛있고 분위기도 너무 좋아요 ~~! 다음에 가족들이랑 다시 방문 해야겠어요~
3.0,"괜찮게 먹었는데 맛에 비해 좀 비싸다는 생각이 들었어요. 로제파스타는 일반적인 로제파스타보다 로제 맛이 덜하고, 뇨끼도 덜 쫀득한 느낌..? 평이 좋아서 많이 기대하고 갔는데 조금 실망했어요ㅠ 분위기는 너무 좋아서 한번쯤은 방문할 만한 것 같습니다!"
5.0,마싯뗭
