rating,review
1.0,맛 전혀 특별하지않고 웨이팅은 쓸데없이 길며 위생이 지저분해요일하능사람들 다 ㅆㄱㅈ없음
4.0,먹을만해요
5.0,감자탕은 당연히 맛있고 볶음밥도 맛있었어요. 그리고 직원분들이 바쁜 와중에도 너무 친절하셔서 좋았습니다.
5.0,"핫소스 팝업 보고 성수감자탕 코스 댕겨왔는데 먹는 사람도 먹는 사람이지만,,, 포장하는 사람 짱많아서 ㄹㅇ 맛집이구나 함. 카카오맵 레벨 올리려구 기억 끄집어내서 쓰는데 맛있었던 것 같당"
1.0,맛 변해버린 성수 감자탕 ... 에혀 안타깝다
4.0,4번? 정도 다녀온 곳인데 갈때마다 맛있긴 해요
2.0,슴슴한 것 좋아하시는 분은 잘 드시던데전 그런 편은 아니라 웨이팅 시간이 아까웠습니다
3.0,10분정도 웨이팅하고 들어갔는데 평범합니다자극적이지 않고 슴슴한 편이에요맛없는건 아닌데 왜 인기가 많은지는 모르겠음동네 감자탕집이 훨씬 맛있어요
1.0,고기가 질기고 맛이 싱거워
4.0,웨이팅만 아니었으면 참 좋을텐데.먹기 쉬웠으면 참 자주 방문했을 것 같은데 웨이팅이 그 모든걸 포기시킵니다.
1.0,여기 왜.... 줄 서서 먹어요?
2.0,"이걸 왜 줄서서..고기, 시래기 모두 부드러우나 맛이 너무 연하다"
5.0,
2.0,예전과 다른 맛에 갈 수록 다운그레이드 되는 느낌
2.0,삼삼한 감자탕 맛…웨이팅과 가격을 생각했을 땐…음 딴 집이 훨씬 굿…
5.0,올해 추석 푸드는 너닷! 🥔!!
2.0,맛나게 먹고 계산할때  기분잡침  계산원 말투 싸가지없음
1.0,성수동이 뜨기전엔  참 괜찮은 맛집이었는데  최근 2번  같는데  영  그전맛이  아니더라구요 한마디로  평범해진  느낌.... 손님은  늘어나고  맛은 떨러진  진기한  식당 이랄까?  ㅋㅋ
1.0,웨이팅까지는 좀 과한듯?
4.0,
5.0,맛있어요!!!!!!🥺🥺 간이 세지 않아서 더 좋았어요
2.0,깻잎이 많을 뿐 그닥 맛있지 않음
3.0,고기는 실해요ㅎㅎ특별한 맛은 아닌듯
3.0,맛은 그렇고부친절 합니다
1.0,오랜만에 옛날 그 맛 생각하고 왔는데 진짜 실망했습니다... 뼈에 붙은 고기도 별로 없고 그나마 붙어있는 것들도 부드럽긴커녕 질겨서 잘 떨어지지도 않더군요. 다신 안 올 것 같습니다. 초심 찾으시길...
3.0,
2.0,"맛은 진짜 진짜 평범합니다. 10점 만점에 3-4 점 . 다른 프랜차이즈가 더 맛있어요. 고기는 많이 들어있습니다 그리고 뼈해장국에 일반, 우거지 두 종류가있는데 일반으로 시키면 우거지가 안나옵니다!! 고기만 나와요 우거지+고기 드시려면 우거지 메뉴로 시켜야돼요"
1.0,예전엔 어느정도 보통의친절은 있었는데 이제 너무잘되서 배가불렀는지 심하게 불친절하고 예의없어서 다시는 안가기로함
4.0,또또또또또간집 수제비 꼭 추가해서 드세요!! 쫀득 웨이팅이 너무 길어서 이정도의 대기할만큼은 아니라고 생각할 수도 있는데 저는 입맛에 젤 잘맞아서 기다려서 먹어요🥺 대기가 부담스러우면 포장해서 드셔보시는걸 추천드립니다아
3.0,3번방문하고 적는 후기직원이 대응해야할 손님이 너무 많아서모하나 요청하기가 너무 힘들어요.테이블수 20프로 줄이고 영업하시면 딱 좋을것같습니다.맛은 평범한 맛이였습니다.
2.0,이 정도로 유명하면 안되는맛..
3.0,그냥 동네 감자탕 맛집을 가겠어
3.0,맛은 있는데 줄서서 먹을정도는 아님일찍가서 바로 들어가서 먹었는데 웨이팅 있으면 안갈듯
5.0,"주차힘들어요.웨이팅힘들어요.하지만 살코기가 많고, 맛있어요.볶음밥도 꼭 드시고, 포장하면 양이 진짜 많습니다."
5.0,
2.0,기대보다는 별로였습니다.
1.0,군대 조교가 더 친절할듯.. 줄서있는 사람들 볼때마다 딴데 가라고 오지랖 부리고싶음
