rating,review
1.0,진짜별루같아여 양도 적고 맛도 평냉보다 밍밍하고 이게 대체 무슨 맛인가 싶은 생각도 들고 이거 먹고 맛없다고 해서 맛알못이면 저는 맛알못입니다 와 진짜 거미줄도 막 덕지덕지 있고 매장도 그리 깔끔하지도 않고 뭐지ㅜ이게 근데 비싸고 총체적난국입니다같이 가신 분은 규동도 별로라하시고 규동이 어떻게 맛이 별로일 수가 있나 싶고 그렇습니다 추석 연휴 전날이라 올 곳이 없어서 왔는데 하 이건 좀리뷰 원래 안적는데 이건 열받아서라도 적겠습니다
4.0,맛있어요!! 근데 면 양이 적어요ㅠ
3.0,"흠 우선 정성과 친절.. 매우 좋습니다. 다만.. 제가 입맛이 저렴한 편인지.. 일본의 맛을 모르는 것인지 달고.. 뭐랄까 그 일본 특유의 맛?????이 정말 그대로 나서 솔직히 시원하다 칼칼하다 이런 한국패치된 쌀국수 육수 기대했는데 전혀 아니었네요.. 무엇보다 텐뿌라가 기름이 너무 많아서 놀라쑤ㅠㅠㅠㅠ 반죽에도 간이 전혀 안된 메밀? 반죽인지.. 음.. 모르겠지만 모르겠네요... 하하 장국에 대한 이해가 없나봅니다... 아 참고로 최근에 간 옆 삐딱보다는 120퍼센트 낫습니다 분위기나, 친절이나, 맛이나, 정성이나요. 삐딱은 아예 후기를 막아놨드라구요... 하하"
1.0,맛없음그나마 유자 단무지? 만 나았다면은 덜익힌 육개장사발면같은정도의 단단함남이 사준다고할때만 가자양은 옆블록의 8천원짜리 모밀보다도 없고 국물은 밍밍함
1.0,별로
3.0,솔직히 말해서 쉽지 않은 맛이라고 생각한다. 다른 곳들이랑 다른 맛이긴 한데 이게 본토의 맛이라면 한국인 입맛에 맞기는 쉽지 않을 것이란 생각이 든다. 그렇다고 맛이 엄청 없는 것은 아니지만 만족스럽게 먹기에는 가격이 좀 높다는 느낌이 있다.결론: 잘한다면 뭔가 잘하는 것 같기는 한데 조금 익숙하지 않은 맛이 싱겁기도 하고 시큼하기도 하다. 모르겠다.
1.0,맛없음. 소바도 덴뿌라도.
2.0,아무맛도 안나고 양도적은데 가격은 비쌈.튀김도 부실..일본가고싶은 사람한테는 추천.
5.0,너무 맛있렀어요! 일본을 되게 좋아하고 음식도 되게 좋아하는데 한국에서 먹었던 규동 중 가장 일본식이었던 규동을 먹을 수 있던 곳이었어욤!
5.0,일본에서 먹은 소바랑 제일 흡사해서 좋아하는 곳이예요. 슴슴한 육수와 제면한 면! 면이 끊기는 건 메밀함유량이 높아서이고 (다른 한국식 메밀면도 동일)가격대도 성수에서 이정도면 합리적인데 (직접 육수/제면 하시니..) 아쉬운 평점들이 있긴하네요.짜거나 화려한 맛 없는 정갈한 정통적인 맛이라 소바는 여기가 항상 생각납니다.
5.0,"일식응 사랑하믄 사람으로서 매우 추천합니다. 소바에 계란, 나또… 환상"
3.0,
5.0,
5.0,이런 소바를 서울에서 어디서 먹을수 있을까요? 야기 밖에 없어요.. 사장님 전문성은 물론 넘 맛있습니다 ㅠ
3.0,냉 카케소바 먹었습니다기대하고 갔는데 제 생각과는 다르게 면이 너무 뚝뚝 끊기는 느낌이어서 아쉬웠습니다 육수는 괜찮았어요
3.0,건강한 맛이고 친절한 사장님 부부가 운영하신다근데 양이 가격에 비해 너무 적다… 굉장히… 적다…
5.0,규동 맛있어용 👍🏻👍🏻
3.0,맛은 있으나  이 가격 주고...?싶은 곳 놀라운 맛도 아님양이라도 많던가...양도 적음. 소식가인데 돈이 넘치면 추천차라리 비슷한 가격에  양많고 존맛인 평냉을 먹겠음
5.0,조금 비싸고 양도 살짝 적은 듯하지만 맛있으니까 괜찮습니다. 화려한 맛은 분명 아닌데 왠지 한 입 먹자마자 음 뭐 그렇게 비싼 건 아니네 싶은 생각이 들게 만드는 밀도 높으면서 정갈한 느낌이 좋았어요.추가메뉴인 계란이랑 튀김을 곁들이시길 추천합니다.계란이랑 덴뿌라도 굉장히 맛있어서 후회하지 않으실 거예요.성수동 처음 오는 사람들에게 자신 있게 추천하는 집👍🏻👍🏻
4.0,소바마에에서 1일 2식 점심 저녁 개꿀맛
3.0,와... 가격이 너무비싸당... 사람이 첫인상이 중요하듯 음식도 첫인상이 중요하다고 생각한당. 가격보고 놀란가슴 맛 보고 가라앉는다. 일식을 좋아한다면 와볼만하다.  온소바 냉소바 차별없이 맛있어용
