rating,review
5.0,가성비굿
3.0,성수에서 먹었던 스시 중 제일 완성도가 높음
1.0,2.7이 딱 맞아보여서요..1점 준 이유는 평균이 너무 높습니다.샤리도 너무 이상하고위에 회도 좀...정리해서 공유드리면맛 없는 배달초밥 느낌입니다.
1.0,진짜 3.0이나 2점대가 어울리는 맛인데고평가주신분들은스시집을 많이 안가보신것 같긴함....
5.0,
5.0,"기본이랑(14000원) 특(18000원),가라야게(6000원) 먹었는데가성비 굿이고 자숙새우는 냉동 쓰는데 은근 많은데 여긴 냉동 아닌듯자숙새우 풍미있는 초밥은 보통 개당 1500원 이상 하는 것 같은데 여긴 12pc에 14000은 진짜 맛있음계란초밥도 안 퍽퍽하고 맛있고 유부는 다들 아는 그맛특이한 게 뜨거운 밥으로 초밥을 만들어서 밥알이 잘 부서져서 이런거 싫어하면 비추근데 따뜻시원한 초밥...?오히려 좋을지도독특해서 좋음아마 사장님 같으신데 시니컬한 말투로 엄청 친절하심ㅋㅋ"
5.0,
5.0,"커플세트 너무너무 맛있게 먹었어요ㅜ 우동도 맛도리이고 입가심으로 주신 초밥도 넘 잘먹었어요!!! 후기 잘 안쓰는데 나중에 다시 쓴 거 보고 오려고 씁니다,,,,,, + 후식 요구르트도 짱짱"
4.0,커플세트 가성비 좋은거같아요스시메이 성수점만 그런진 모르겠는데 따듯한 밥 쓰니까 다른 스시집이랑 다르게 스시를 들고 간장에 찍으면 밥알이 떨어지만 하고 간장을 안 뭍는다 하셔서 생강에 붓처럼 발라드셔야됩니다밥알이 따뜻한 스시는 처음먹어본거같아요 은근고슬고슬하니 맛있어요근데 누가 주차 된다고 정보 표시해놨길래 차 끌고갔더니 주차하는곳 하나도 없었습니다. 누군가요 하...
4.0,가성비 괜찮습니다2만원안되는 금액에 꼬리긴 초밥을 먹을 수 있다는 것이 만족스럽습니다정말 맛도 있구요조금 아쉬운건 초가 너무 흐트러져서 간장조차 찍기어렵네요
5.0,샤리 간도 적당하고 회가 야들야들한게 너무 맛있었어요ㅠㅠ참치랑 연어초밥은 진짜 다시 가서 또 먹고싶네요우동은 서비스로 나오는 것 같던데 국물은 좀 슴슴한게 평소에 짜게 드시는 분들은 좀 맹맹하다고 느낄 수도 있을 것 같네요. 저는 간 괜찮았어요!쿠시카츠도 맛있었지만 재방문한다면 그 돈으로 초밥 단품 시킬듯 ㅎ서빙하신 분도 너무 친절해서 즐겁게 잘 먹었습니다!
5.0,
4.0,런치스시 맛있고 친절하시고 요구르트도 주심
5.0,진짜 진짜 맛있고 사장님도 왕~친절. 맛집인정!!(생맥맛은 조금 실망. 탄산이 약해서 아쉬웠음.)
5.0,초밥 좋아하는편인데 전 맛있게 먹었어요 !! 우동도 맛있고 양도 적당했어요ㅎㅎ
5.0,가격대가 조금 있지만 맛은 좋습니다
3.0,가격대비 괜찮은데 와 여기 또올래 라는 마음은 1프로도 들지않음.
5.0,
5.0,Gosu
2.0,평점 좋은게 이상함
1.0,친절하고 요구르트 주는 건 좋은데 정말 스시에 아무런 맛이 안났다ㅠㅠ 그냥 밥 위에 회 올린 느낌 ㅜ? 부산에서 온 친구 데려왔는데 너무ㅜ실망함
5.0,마감시간 직전에 갔는데도 사장님께서 엄청 친절하시구 무엇보다 초밥 퀄리티가 최고에요😍👍👍👍 배부른데도 계속 들어가는 맛...여건이 되는한 앞으로 스시는 꼭 여기서 먹고 싶네요! 영원히 번창하세요!!
5.0,
4.0,"메이초밥을 매장에 직접 전화주문으로 포장했는데12개 들어있고 14,000원이네요.메뉴판 가격 업댓 좀 해주세요^^맛은 괜찮습니다."
5.0,점심특선 메뉴 훌륭합니다 !!
4.0,꽤 맛있어요 !! 근데 뭔가 아쉬운듯한ㅠ
3.0,"연어초밥‘만’ 먹을만 합니다.. 광어에서는 심하진 않지만 비릿한 맛이 났었고, 제가 모둠초밥은 잘 먹진 않는데 14000원 12피스 나오는 초밥이 그냥 제일 나은 것 같아요. 돈 더 주고 특정초밥만 먹을 필요x저는 여기를 ‘은행골 초밥을 예쁜 그릇에 올린 격’이라고 생각합니다. 아 참 일요일에도 영업하더라고요"
4.0,
2.0,자주 먹었는데 최근들어 많이 아쉬워 졌습니다..
3.0,
4.0,수준급이다
5.0,맛있게 잘먹었습니다^^
5.0,참치뱃살(6)특 세트(10)하이볼참치 뱃살이 특히 맛있습니다
5.0,초밥도 맛있고 친절해서 기분 좋았습니다~
4.0,가성비 좋음맛 갠차늠
3.0,12000원. 딱 적당한 것 같다. 우동도 주셨고 서비스로 백김치 초밥? 뭐라해야하지 이것도 주심! 초밥 다 신선했다 문어 신선한 곳 오랜만인듯
5.0,사장님도 직원분들도 엄청 친절하시고 식전우동 숙주에 어묵에 이렇게 정성스럽게 주는 곳 처음 봤어요 생선살도 굉장히 부드럽고 보통 소라는 질겅질겅 배채우기용이었는데 제법 풍미가 느껴집니다..! 다만 밥이 너무 잘 부셔지고 단 것만 빼면 다 좋았습니다 성수 자주 가는데 재방문의사 완전 있어요
5.0,"초밥집 고를때 초새우.문어.소라 있는집은 무조건피하는데 여긴 지나가다 너무 배고파 들린곳 치고는 엄청 맛있었어요.원래 주로 먹던 초밥집보다 회의 두께나 길이, 종류가 많이 달랐지만 밥찰기도 딱좋았고 가성비면에서 나쁘지않았습니다.직원분들도 주방,홀모두 친절하시고 서비스도 굿이예요"
5.0,"뭔데요,, 기대 안하고 갔다가 혀가 놀랬어요. 생선이 왜이렇게 쫀득한거죠? 소주랑 잘어울립니다."
5.0,극강의 가성비 초밥 맛집…. 구성은 은행골처럼 초밥 + 우동인데 일단 더 맛있고 초밥 종류도 다양해요 게다가 서비스로 초밥 하나 더 주시고 요구르트까지 가져가라 하십니다ㅠ 진짜 점심때 맨날 갈거임
5.0,초밥 너무 맛있어요사장님께서도 친절하셔서 기분 좋게 식사하고 나올 수 있었습니다초밥 생각나면 또 갈 듯 하네요 !!
5.0,가격에 비해 양도 정말 많고 맛있어요! 그리고 너무 친절하십니다 ..!! 최고최고
5.0,미리 예약을 하고 갔는데.깔끔한 분위에.초밥이 맛깔나게 나오고 맛있으며.예약 손님이라고 써비스가 추가 되더군요다음주 저녁에 또 갑니다 ^^
