rating,review
3.0,맛은 soso 사람 많고 테이블이 옹기종기 모여있어 시끄러움
5.0,디저트 맛있고 음료도 성수동에 있는 것 답지 않게 겉멋든 맛 아니고 신경쓰시는 느낌이었어요.만족했고 청결해서 좋았고 좌석도 많아서 편했어요2층은 편집샵처럼되어있어서 구경도 좀 하고
5.0,
5.0,괜찮..
5.0,게임도 재밌고 직원들이 되게 친절해서 좋은 팝업이네요
5.0,즐겁게 즐기도록 잘 만들어놨어요
5.0,직원분들도 친절 하셨고 체험도 재밌었어요!!
5.0,좋았어요넘넝친절하시고 재밌고 최고팝업스토어
5.0,"재미있어요,선물도 너무  좋아요"
4.0,너무 재밌었어요 평일에 가는거 추천드려요
5.0,너무 재밌당!또 다시 가고싶다!
1.0,게임은 뭐 재밌으나 … 경품이 생각 보다 별루 … 기다린 시간 보다 … 너무 함 ㅎ
5.0,물총 재밌었어요 ㅋㅋ
4.0,생크림 소금빵 맛있었어요~유명한 카페라 시끄럽고 자리 없는건 어쩔 수 없었네요 ㅎㅎ
4.0,
3.0,음료는 맛있어요디저트는 휘낭시에랑 까눌레 먹었는데 별로였습니다 좀 많이 기름지고.. 그냥 별로에요
2.0,
5.0,소금빵도 기름지지 않고 담백하니 맛있고 티라미수랑 사쿠라 케이크 먹었는데 완전 맛있게 먹었어요! 사진찍기도 좋고 원두도 고를수 있어서 디카페인이랑 산미있는거 마셨는데 입맛에 딱 맞았어요 짱짱!
5.0,
3.0,
3.0,
4.0,"수다떨기 최적의 장소. 깔끔하고 디저트 맛있고 커피도 맛있는데 커피 카페인이 센듯.. 친구랑 새벽까지 잠못잤습니다,,"
5.0,넓고 힙해요
5.0,
3.0,
3.0,맛은 평타디저트 생긴건 합격근데 개 데꼬온 아줌마가 손님들 덮을 무릎담요를 개 방석으로 씀아 개 더러움근데 그걸 털지도 않고 반납하네ㅋㅋㅋ이기적인 것들이 꼭 있음
5.0,"얼그레이 케잌이 맛있고 애플 시나몬 에이드 친구가 시킨거 좀 먹어봤는데 맛있었어요,, 아인슈페너는 그저 그랬지만 얼그레이 케잌 위에 올려져있는 하얀색 타원형 같은 게 고소하니 상큼하고 맛있었어요👍🏻"
5.0,
4.0,전체적으로 괜찮은 카페에
5.0,매니저가 이쁨😄
5.0,르세라핌 팝업행사 다녀왔어요. 깔끔하고 분위기 좋았어요
4.0,
5.0,널찍해서 시간보내기 좋아요!
1.0,
4.0,넓고 분위기도 괜찮아요
4.0,"음료는 그냥 진짜 무난한 맛이었지만 그에 비해 비쌌구용, 복숭아 케이크.. 정말 작은 게 비싼데다가 엄청 셨어용.. 이점들이 많이 아쉬웠지만 위층은 재밌게 봤어요"
5.0,커피는 맛 없지만 팝업 바뀔 때마다 구경하는 쏠쏠한 재미가 있습니다. 직원분들도 친절하시고 항상 기분 좋게 다녀오는 곳입니다. 지금의 성수를 대표하는 공간이라고 생각해요!
5.0,음료는 쏘쏘했지만 분위기도 좋고 친절하셨어요!호가든 맥주 시음은 7시까지니 참고하세요~~
5.0,셀렉한 물건들이 나쁘지않은 편다만 음료는 조금 아쉽다
4.0,
3.0,
3.0,
4.0,음료 평범디저트 맛남가격 비쌈넓음정신사나움화장실 좋음팝업스토어 해서 심심치 않음
5.0,"스포티파이 팝업 방문했는데 내외부 큼직하고,구경하기 좋았음! 깔끔하네요~ 커피 맛은 그냥 평범!성수역이랑 가까워서 더위 식히기 짱좋!"
5.0,팝업스토어 너무 예뻤어요!
1.0,"커피 맛 (7/10), 디저트 (7/10), 가격 (3/10), 인구밀도는 사람반 날파리 반이라 케잌 한입마다 박수 한번씩"
4.0,팝업 할때마다 다채롭게 바뀜
3.0,"주말 오후 사람이 진-짜-바글바글바글바글바글바글 시끌시끌시끌시끌시끌시끌- 야외에 항상 슈퍼카나 비싼 외제차 세워져있음- 날씨 좋은 날은 야외 좌석 잡기 어려움-그런데 참 착한 사람들만 모였는지-자리가 없어서 두리번 거리는데 옆 자리도 양보해주는 커플-베이커리 맛있고 커피 맛있고-다만 오렌지라떼는 오렌지 맛이 하나도 안나서, 오렌지를 올려준게 오렌지라떼인가? 라고 생각함;"
5.0,
5.0,문화예술공간카페
4.0,카페보단 팝업스토어 공간대여같은디요
4.0,
4.0,
4.0,
3.0,화장실 칸수가 적어서 안에서 자리깔면 순서가 언제 돌아올 지 모름...
3.0,
5.0,
5.0,괜찮습니다!
3.0,공간이 넓어서 카페 자리없을때 가는곳모든것이 평범
3.0,성수의 핫플스러운 카페맛은 그냥저냥 쏘쏘 분위기는 낫배드카페가 시끄러워서 대화 큰소리로 해야함
4.0,커피 맛있고 빵도 맛있었어요! 소금빵은 그저 그렇고 애플크럼블이랑 몽블랑파운드가 맛있네요지금은 oled 팝업중
5.0,
3.0,서울을 온몸으로 느끼고 싶다면 이곳.커피 굿. 베이커리 보통이나 가격은 괜찮음
3.0,
2.0,
5.0,너무좋아요!!
5.0,
5.0,사람 엄~청 많음 근데 음료 예쁘고 시원하게 마시기 좋았음 :-)
5.0,이쁨
5.0,"인스타 갬성 카페 그렇게 좋아하는편은 아니라 분위기, 감성은 잘 모르겠으나 베이커리 전체적으로 만족스러움!!특히 말차쿠키가... 너무 맛있어요ㅠㅠㅠ그리고 너무 친절하셔서 성수 올 일 있으면 또 들를것같아요!"
5.0,너므 조아여 채광. 강아지도 갈수있음
4.0,not bad
3.0,
5.0,평일낮에 가면 그리좋을수가 없네요.직원분들 밝고 친절하시고 커피는 성수일대 카페들  비교해도 평타는하고   넓고  통창으로 보이는 뷰는 그냥 흔한 도심뷰이지만 시원시원하고.
5.0,딸기케이크 존맛
4.0,넓고 직원분들 친절하시고 커피 맛도 좋아요!!!
4.0,이층 편집샵 사장님이신지 직원이신지 모르겠는데 아무튼 그 분 설명도 잘해주시고 너무 친절하세요카페는 화장실이 한칸이라 규모에 비해 작은감이있어요플랫화이트는 너무 신맛이 강해요라떼는 맛있어요
4.0,분위기 좋아요!
1.0,"인스타 핫플인줄 알고 찾아왔는데, 밖에서 봤을때 사람들이 왜 실내에서 패딩을 입고 있는지 들어오고 나서야 알았어요. 실내가 추워서 옷을 입고 있던거군요   트리는 사진찍기좋았지만 노출콘크리트 천장이 보기좋지는 않았어요. 가실때 옷은 따뜻하게 입고가세요~ 음료는 쏘쏘했지만 가성비는 안좋습니다."
5.0,"디저트 종류 맛있게 먹음. 키위케이크, 브라우니."
4.0,커피 디저트 맛나요우사람 항상 너무 많아요근데 사진정말 잘나외욭
4.0,소리가 울려서그런지.시끄럽지만. 스콘이 맛있어요.
4.0,키위케익 달달
5.0,스콘 맛있어욤...
4.0,화이트 톤 인테리어가 좋았고 커피도 맛있었어요그런데 플라스틱 컵 겉에 종이컵은 굳이…? 라는 생각이 들었어요
5.0,
5.0,
5.0,
4.0,
4.0,와보고 싶었던 곳인데 나쁘지 않네요!
5.0,사람 붐비는 주말 오후는 잘 모르겠지만 한적한 오전은 진짜 좋아요
1.0,아쉽.. bye..
5.0,친절하시고 개방감 있어 좋아요
1.0,비싸고 어수선하며 맛도 그닥
1.0,매장이 크고 분위기 좋은거 빼곤 별로...커피는 맛없어요
5.0,바질 스콘 맛집이었는뎅 ㅠ
1.0,
4.0,티라미수라떼 맛있어요. 다좋은데 넘 덥습니다
5.0,
1.0,알바인지 사장인지 아주 무례한 눈빛으로 손님을 쳐다봅니다.
2.0,
2.0,"삼실 근처라 자리 많아서 자주 오는편인데, 커피는 대체적으로 다 맛 없는거 같음"
4.0,
4.0,전형적인 인싸카페지만 일단 공간이 커서 답답하지 않아 좋아요애완견 출입가능이라 운 좋으면 눈호강!
3.0,
1.0,딸기케이크 시트에서 북어맛이나요........오렌지라떼에서는 오렌지 빼니까........양이 어디로갔죠.........? 3000원짜리 샌드위치는.........냉장고맛나요.....    좌석간에 거리두기했으면 좋겠어요....플리즈......
1.0,주차장 있다는 거(그래봐야 발렛)  빼고 딱히 장점 없음
1.0,"사람 너무많고 빵맛은 평범 ㅋㅋ 인스타 핫플이라기엔 글쎄 일단 사람이 개많아서 사진 찍기 자체가 불가인데..? 여기가느니 성수 ""옹근x"" 추천 (옹근dal) There was SO many ppl and bakery coffee was Too normal. No Reason to visit again~!"
3.0,"넓어서 좋은데 날파리 왤케많ㅇ요,,,, 미쳤어요"
3.0,무난함. 음악소리가 시끄러움ㅡㅡ
3.0,공간 넓고 사진 찍기 좋음. 커피랑 디저트 그냥 그럼.. 딱히 특색은 없는 듯
3.0,"한번쯤 가볼만한 곳좋은 점은 공간이 넓다플랫화이트는 특색이 없었다고 한다,,주륵"
3.0,쏘쏘 입니다
5.0,"분위기  맛  다 좋아요,  굳입니다.~~~"
