rating,review
1.0,"앤드밀 좋아해서 자주 방문했는데 위생이 점점 걱정되고 직원들의 태도가 점점 불쾌해지네요.손님은 아랑곳 안하고 일하는 사람들 모두가 주방에 모여서 마스크도 끼지 않고, 홀까지 다들리게 큰소리로 떠들면서 일하던데, 직원들 사이는 좋을지 몰라도 고객으로서는 불쾌했습니다."
3.0,"웨이팅공간이 협소하고, 내부가 시원하지 않습니다ㅠㅠ캐치테이블 이용했으나 테이블 수가 적어 회전률이 좋지 않아요외국인이 많이 오는 가게에서 친절함을 기대하기란,, 어렵다는 걸 알지만 .,~아쉬운 응대였숨니다 ,,~맛은 있어요,, 🙃"
4.0,바질크림고구마파니니가 진짜 괜찮아요 바게트는 빵이 좀 딱딱한 편이지만 배는 엄청 불러요 그리고 커피는 너무 땡기는 게 아니라면 굳이 안 시켜도 될 듯
1.0,연보라색 크록스 신은 턱 긴 알바생 교육 시급함. 음식 던지듯이 써빙하고 빵 떨어졌는데 장갑 끼고 주워 담으면서 그냥 먹으라함. 다신 안감
3.0,맛있구 플레이팅도 이뻐요! 다시 가고싶은 맛집이지만 교육이 필요한 알바생이 있어요ㅠㅠ
4.0,아주 존맛은 아닐지라도 나쁘지 않은 샌드위치. 웨이팅 할 정도는 아님.
4.0,맛있었음
4.0,브리치즈와 사과청양마요의 조합이 좋았습니다.바게트 빵도 바삭했눈데 바게트 빵 풍미가 별로..빵은 그다지 좋은 빵은 아닌듯꼬꼬아보-아보카도 들어간 치킨샌드위치도 맛있었어요. 조합이 그냥 너무 좋다..💕다 먹어보고 싶어요.단호박 스프도 재료본연의 맛이라 저는 좋았는데삼삼하시다 느낄 수 있을 듯(?)
1.0,어떻게 카페 커피가 카누맛
5.0,
4.0,비싼감이 있지만 먹어보니 아예 납득이 안가는 수준은 아니네요. 맛도 좋아요.
