rating,review
3.0,본점이라 기대가 너무 컸던걸까..성수동까지 가서 어쩔수 없이 먹어야한 내자신에게 후회
5.0,
4.0,"고기 두툼한 돈가스집 중에서는 최고.육즙 좋고 튀김옷은 별로...냉소바 평타 이상 그 이상은 아님 면발도 별로...성수동 ""호××""가 최고주차장은 있으나 먼저 들어온 차가 나갈려면 먹다 차 빼줘야 함"
5.0,자주 먹는데 너무 맛있습니다
3.0,"가격에 비해 맛도 그저 그렇고,, 우동국물과 미소된장도 엄청 밍밍해요,,, 저 막입이라 웬만하면 맛있다고 하는데 여긴 맛있진 않아요 직원분들이 친절하긴 해요"
1.0,맛없음
4.0,가끔 체다치즈돈까스 생각나서 가는 곳. 저거만 먹으면 느끼해서 매운거 하나 시켜서 먹으면 딱 좋아용
3.0,
4.0,
5.0,냉우동 국물은 짠데 면이 미쳤어요.모짜치즈카츠를 곁들여 먹으니 식감 천재들끼리의 조합이었어요.
3.0,무난합니다. 카레가 일식 스타일이라 제 취향이었습니다
4.0,평일 직장인 웨이팅하는 맛있는 돈까스 집.
1.0,한번은 가는데 두번은 안갈듯... 남자가 돈까스 좋아하는거 기본인데 눅눅하네요
1.0,튀김기 온도를 못 맞춰서 튀김 옷이 금새 눅눅해지고 냄새가 나는 겁니다.토핑으로 가리기보단 연구가 필요할 듯 합니다.
3.0,돈까스 자체가 나쁘진 않은데 나중에는 너무 축축해져서 별로였어요..😢
3.0,그냥 근처가면 한번쯤 가기좋은 정도였어요
3.0,그냥 저냥 먹을만함. 재방문은 안 할듯...
4.0,"가성비도 괜찮고, 위치도 좋네요테이블이 조금 낮은 점과, 돈까스 아랫면이 눅눅한 점은 아쉽습니다"
4.0,낮은 평점에 비해서 괜찮았음.돈까스 종류들이 퓨전이라 신기방기했고그중에 체다치즈가 과연 어울릴까... 싶었는데걍 맛있어버림 ㅜㅜ
2.0,정말 친절하신데 반해 맛은 그저 그랬어서 아쉬울 따름…
5.0,맛있고 가성비도 좋아요👍
5.0,여덟시 넘어가니 성수에 맛집들이 재료소진으로 거의 닫는데 여긴 웨이팅없이 가성비로 무난하게 평타이상 맛집이라 좋았습니다
5.0,성수까지 오기엔 멀어서ㅋㅋㅋ 제발 분점내달라고 할 정도의 맛bbb 양도 많고 맛있어요!
3.0,성수에서 가성비 있고 무난한 돈가스집
5.0,저번에 먹고 너무 맛나서 지인과 같이 갔는데반해버렸네요^^.체다.매콤환상였어요사이드면도 냉.비빔.우동 다맛있어요여러명서 골고루먹기 넘좋아요~^^맛도역시 소문데로 끝내줍니다.이렇게 겉바속촉 등심은 첨인듯요^^소문내야 마땅한집입니다.
5.0,고기가 부드러워 너무 맛있게 먹었어요~~
1.0,예전에는 맛있었는데 망하려고 작정한것 처럼 바뀌었네요.눅눅한 돈가스 냄새나는 고기지난방문은 말해서 환불받았는데이번엔 그냥 말안하고 갑니다.
5.0,돈까스는 어지간해서는 실패안하는메뉴임둥
2.0,떡진 밥 덜익은 돈까스 눅눅한 튀김
2.0,체다치즈돈가스가 유명하다길래 먹었는데 치즈랑 돈가스랑 안 어울려요 😢
1.0,거품
2.0,9월19일 평일 점심에 방문했습니다.돈까스가 왜 식고 눅눅할까요?눅눅한 돈까스 먹으려고 방문한게 아닙니다.사장님은 점심 주방직원 다시 교육해 해주세요.
5.0,서울숲에서부터 걸어가서 너무 멀게 느껴졌는데 뚝섬이랑은 가깝더라구요 엄청 덥고 힘들었는데 진짜 맛있게 잘 먹었음 며칠 동안 계속 생각나는 맛임 근데 좀 비싼것같음
4.0,적당히 맛있음 또 가고싶긴 함
2.0,치즈돈까스 느끼해서 너무 먹기 힘들었는데 왜 이렇게 인기가 많은지 모르겠어요...
4.0,돈까쓰 두툼하고 바삭하니 맛있어요. 냉모밀 양도 딱 적당히 나와서 좋아요. 밑반찬도 샐러드도 다 무난무난하게 맛남.
5.0,
4.0,낫배드
5.0,"기대없이 늦은시간까지 해서 방문한곳인데건강한데 맛있는느낌. 소스는 별로에요자가제면 모밀, 돈까스가 맛있네요.소금에 찍먹이 최고."
5.0,
5.0,돈가스 두껍고 소스가 맛있어요. 비빔모밀도 맛있어요
5.0,
5.0,돈까스도 맛있지만 여기는 냉메밀 진짜 맛있습니다!!!원래 메밀국수 특유의 향? 때문에 잘 안먹는데 이곳 냉메밀 진짜 찐입니다ㅜㅜ 돈까스는 두툼하니 한입 먹으면 육즙 장난 아니고 중간중간 시원한 메밀 국수 먹으면 바로 극락갑니다체다크림치즈 돈까스도 먹어봤는데 맛있긴한데 좀 느끼해요!
5.0,이런 맛있는 돈카츠를 10500원에 먹을 수 있다니 성수 주민들이 부럽다…건물 외부 남녀공용 화장실 / 비밀번호 있음 / 깨끗함
5.0,
5.0,체다치즈돈까스! 점심먹으러 가끔 가용
3.0,"유명한 정도의 느낌, 처음가면 한번 가서 먹어볼 만 해요"
2.0,다들 맛있다는거 같은데.. 저는 공감하기 어려웠던 맛이었어요
2.0,돈까스가 풍미가 전혀 없고 퍽퍽퍽함고로케와 새우튀김은 괜찮음양배추 슬라이스 좀 얇게 해주지 경영식 돈까스 양배추도 아니고 👀세트 구성은 좋은데 정작 돈까스집에 돈까스가 별로
3.0,눅눅해요
5.0,
4.0,맛있다.맛있는데 이 가격엔 이정도 나와야 한다고 생각해서 1점을 깎았다.
5.0,
4.0,양도 괜찮고 맛도 나쁘지 않은데 살짝 퍽퍽한 느낌이 있었어요
3.0,그냥 인스타 맛집.. (딱 성수 느낌) 맛이 없진 않으나 특별하지도 않음
5.0,
1.0,"한시간정도 있었고, 마감시간 전이고 두테이블이나 손님이 있었지만 지나가면서 언제나가냐고 욕하는직원.. 두번이나 ㅅ♪♪♬ㅂ 거리면서 지나가는데… 대단하더라구요 ㅎㅎ 맛은 둘째고 직원교육 제대로 하시길 바랍니다."
3.0,생 돈가스 튀김이 눅눅했어요. 고기는 맛있는데 튀김이 맛없었어요. 체다크림치즈 돈가스는 다른 곳에비해 더 느끼하고 냄새나요. 비빔모밀은 그럭저럭
5.0,
3.0,
5.0,진짜 맛있어요ㅠㅠㅠ
4.0,"매운거 좋아하는데! 매콤돈까스, 만석닭강정 맛 나서 맛있음…! 달달해용"
4.0,"엄청 고급진 돈까스는 아니지만그럭저럭 맛있음근데 먹다가 조금 질림,,,"
3.0,
5.0,
3.0,그냥 무난한 돈까스체다치즈돈까스는 좀 느끼하고모밀도 어디서나 맛볼수있는 맛가격대비 걍 쏘쏘
5.0,돈까스와 우동이 맛있습니다.
5.0,고기가 두툼하고 맛있네요
3.0,느끼느끼
3.0,"체다치즈 돈까스 먹었습니다.고기가 육즙이 뚝뚝 흐르는 것은 감동이었습니다.헌데, 체다 치즈도 부풀어 올라서 식감에 감탄하여 먹었는데... 좀 짯습니다. 두배 정도는 짜서 어디서 소금기가 이렇게 나왔는지. 입안이 얼얼할 정도의 소금기...다른 건 다 좋았습니다."
4.0,맛 괜찮아요인테리어 / 분위기도 괜찮고특별하다 또 생각난다라는 느낌은 없어요 그냥 무난하고 괜찮은 곳돈카츠 고기는 비린내도 잘 안 나고 좋은데소스랑 플레이팅 다양성이 좀 아쉽긴 해요냉소바는 맛있었어요가격대비 평범 무난한 느낌이네요
1.0,난 먹었다 그리고 하루죙일 배탈나서 .. 나오질 못했다 왜 그랬을까? ㅡㅡ
5.0,"진심 기대 엄청 하고 갔는데도 너~~무 맛있었어요. 치즈 카츠, 매콤 카츠 정말 환상 조합.. 냉소바도 넘 맛있고 진짜 먹으면서 감탄하면서 먹음 ㅠㅠ 매콤카츠는 약간 양념치킨 소스 맛이에요.. 치즈카츠랑 무조건 같이 시켜야 함. 직원분들도 매우 친절하세요!"
5.0,
5.0,"체다치즈랑 매콤카츠 + 미니소바 시켰습니다. 카츠 자체가 살이 꽉차서 느끼하지도 않고 너무 맛있었고, 둘이서 배터질만큼 맛있게 먹었습니다. 매콤카츠는 신라면과 불닭볶음면 사이정도 맵기라길래 매울까봐 걱정했는데  직원분께서 들으시곤 정말 감사하게도 소스를 따로 주셨어요! (근데 카츠랑 같이먹어서그런지 하나도 안맵고 정말 맛있었어요!! 오히려 매콤소스는 따로하지말고 나오는 그대로 먹는데 더 좋을듯!!) 재방문의사 200%인 가게였습니다:)"
1.0,줄관리 제대로 안함. 10분 넘게 서있는데 안에서 식사 마친 손님은 나오는데 줄서있는 사람 들어오라 하는 직원이 없음. 부르기 전에 들어가보니까 빈자리 많아서 그냥 식사했네요. 맛은 줄 설 정도는 아님.
5.0,돈까스 별로 안좋아하는데 여긴 존맛
4.0,정갈하고 깔끔함밑반찬도 다 맛있음샐러드도 맛있음줄 설 정도는 아닌듯..
5.0,아 사진보니까 또 배고프다
4.0,맛: 엄청나지는 않지만 본연에 충실하게 질좋고 육즙많은 고기였네요. 양도 많고. 근데 뭐랄까 플레이팅의 구성이 애매하게 아쉬운 느낌도 있어요.. 매운돈까스는 꽤 매운 양념치킨맛서비스: 좋아요인테리어: 평범기타: 웨이팅할정도의 맛집인지까진 모르겠지만 그래도 맛있었어용 근처맛집들대비 가격도 착한편이구요
3.0,왜 줄서는지 모르겠는데 ㅎㅎ 그냥 그랬어요
1.0,너무...자극적인 양념 맛인데...맛이 없어서 남겼습니다...양념치킨을 먹으러 간 건 아니였는데...돈까스 자체는 그냥 평이한수준인데...양념이 너무 맛이 없는데...또 사람들은 평가가 좋은게 신기하네요...
4.0,일본식 소금에 찍어먹는 돈까스
4.0,맛있는데 웨이팅이 너무 길어요ㅠㅠ
5.0,대존맛ㅠㅠ 웨이팅 긴데 너무 맛있었어요 친구랑 같이 먹자마자 눈 띠용 뜨게 만드는맛
5.0,"진짜 다 맛있었어요. 체다치즈 크림 돈까스는 그것대로 맛있고 기본 돈까스도 고기, 튀김 다 맛있고 소바도 엄청 맛있었어요. 간 완벽 ..(기다릴만큼은 아니라고 하는데, 요즘 돈까스 수준이 많이 올라가서 글케 생각하시는듯 .. 워낙 맛있는 돈까스 많다보니까 기다릴만큼 와 개존맛! 은 아니어도 정말 맛있게 한 끼 할 수 있는 곳이라 생각)"
4.0,더워서 그런지 소바가 더 맛나다
5.0,돈까스 맛있어요 ㅎㅎ
5.0,대기는 한 20분정도 한 것 같아요..혼밥하러 간거라 눈치보여서 호다닥 먹고 나왔네요 대기까지 해야하는 곳인지 몰랐어요ㅜㅜ 한창 점심시간이라 그런가ㅎㅎ..사장님 정말 친절하시고 매콤돈가스도 맛있었어요~ 두툼한 돈까스 먹고 싶으면 추천드려요
4.0,"무난해요! 웨이팅 할 정도는 아니고, 지나가다가 먹으면 맛있게 먹을정도!"
4.0,줄이 길어 궁금해서 가보았다. 체가치즈크림 돈까스는 비주얼부터 사로잡았다. 돈까스 집을 차린다면 꼭 넣고 싶은 메뉴. 소스가 기본 돈까스 소스밖에 없어서 조금 아쉬움.
5.0,맛있어요
5.0,너무 너무 맛있었어용ㅎㅎ
5.0,치즉까스존맛
5.0,맛있어요고기도 두툼하고 체다치즈나 매콤 소스 따로달라해서 먹었는데 좋아요
5.0,어떤 음식이든 사람이 많아져서 음식을 대량으로 만들게 되면 맛이 떨어져요.하다못해 일류 세프도 군대서 400~500인분 한번에 만들면 수준이 떨어짐.사람 없는 시간에 가서 먹어보니 맛 좋습니다. 요리왕 비룡 이런거 생각하지 마시고 동네에서 부담없이 즐겁게 먹을 수 있는 곳 찾으신다면 추천합니다.
3.0,
4.0,적당히 맛있음. 점심때 11시 40분에 만석되는데 기다려서까지 먹기는 애매함. 돈카츠가 젤 괜찮고 튀김옷이 눅진해지는 스타일로 봐선 여기서 인기많은 체다치즈카츠를 선택하는게 좋을 듯 함
3.0,굳이 이 가격에 이렇게까지 기다려서는?
5.0,맛있어요!
3.0,돈가스 촉촉그치만 밑면도 촉촉ㅠㅠ두툼해요~! 오레노카츠만의 매력
3.0,탄 맛이 느껴지는거 같아요
5.0,양도 많구 든든해요~~ㅎㅎ 푸짐하게 한상 뚝딱했어용!! 체다치즈가 많아서 소스부족하지도 않고 좋았어요 ㅎㅎ
5.0,돈까스도 맛있고 세트로 나온 고로케랑 새우튀김도 정말 맛있었어요. 저는 기본 시켰지만 체다치즈크림 뿌려진 친구것도 먹어봤는데 정말 맛있었어요.
5.0,
2.0,그냥 그래요. 줄 서서 먹을 정도는 아니구. 둘이 가면 매운맛1 치즈1 이렇게 먹으면 케미굿
3.0,평타치는맛!막 화들짝 놀라면서 맛있다는 아닌데 음~맛있다 요정도
3.0,
3.0,"이근처 직장인인데.. 오가다 보면 맨날 줄서서 먹길래오늘따라 사람이 뜸해서 들어가봤는데,오이시이세트, 주문했습니다.한창 바쁜 점심시간 대비 빨리 나오긴 했는데,돈카츠가 좀.. 눅눅했네요."
4.0,
3.0,막찾아가서 먹을 곳은 아님.
4.0,카레도 맛있고 쫄면도 맛있고 돈가스도 잘 튀겨져서 좋았어요. 양도 푸짐합니다.
3.0,내 기준 줄 서서 먹을 정도는 아닌 무난한 맛.
4.0,돈까스 두툼하니 좋아요. 식탁에 구비된 히말라야 소금 뿌려서 먹으니 정말 맛있네요. 근데 소바가 더 맛있어요. 소바 진짜 맛있어요
3.0,웨이팅하고 먹었습니다.맛있게 잘먹었어요~
2.0,
5.0,오이시세트에 우동먹엇는데 정말 맛잇엇어요♡♡ 특히 옆에잇던핑크소금 살짝 뿌려서 번갈아가면서 먹엇는데 돈가스맛이 응축되서 느껴지는데 너무 황홀햇어욬ㅋㅋㅋ
3.0,
5.0,푸딘코맛집. 스고이세트 먹었습니다 세트 구성을 이렇게 해두신 이유가 있네요 치즈소스가 꾸덕해요 직원도 친절합니다
2.0,치즈돈까스 너무 느끼해요.. 그냥 평범한 돈까스옆집 토라식당이 더 맛잇어요.. 거기로 가세요
3.0,
2.0,치킨에서 냄새가 났어요... 그리고 깍두기가 상한것 같아요 ㅠㅠ
3.0,양이 엄청나지만 쯔유 맛이 깊지 않고 그냥 달기만 했습니다. 그저 그러네요.
3.0,그저 평범한 돈까스네요. 딱히 웨이팅 기다리면서 까지 먹을 정도는 아닌거 같아요...
