rating,review
3.0,임시휴업이래요
3.0,"위에는 소품샵으로 이용하는 듯 카페 자체는 큰 특색은 없고 장점도 단점도 딱히 없음장점이라면 테이블 꽤 큼직한거, 화장실 굿굿단점이라면 카페의 애매함/ 놀러오기 용으로도 애매, 노트북 하러 가기도 애매"
1.0,알바 개띠꺼움
1.0,직원들은 일관되게 개불친절ㅋㅋ 걍 분위기 좋아서 갔는데 주문할때 기분 상할건 예상하고 가세여~
3.0,전체적으로 다 무난해욤
4.0,오래오래 하셨으면 좋겠습니다~
4.0,커피향도 좋고 맛있어요. 얼그레이 케이크도 맛있었어요. 테이블 간격도 적당하고 넓어서 재방문 의향있어요.
4.0,1층은 돈 내고 폼 잡는데곳2층은 어둡게 공부하기 좋는 곳
4.0,라떼류 커피가 맛있음 케익은 그저그래요
1.0,와 너무 충격이에요 이렇게 맛없는 케이크 첨 먹어봄캬바레라고 하나 남았깅래 먹어봤는데 캬라멜은 너무 쓰고 바나나향은 이상하고 맛없고 이상해요 다른 후기에도 비슷한 후기가 있네요 진짜 7.5면 싼 것도 아닌데 맛이 어후….그러고 아몬드느림커피는 양이 개적고 커피맛이 잘 안나요 물맛이 너무 남아 너무 맛없었어요 돈아까븜
3.0,보는 맛이 있어요 음료 맛은 평범함
3.0,커피가 눈쌀 찌푸려질 정도로 써요근데 기대 안 한 케이크가 맛있었음
3.0,"가야는이유 : 볼거리 먹거리 있는 복합공간안가는이유 : 맛은 많이 아쉽아메,아몬드커피,레이어케이크 : 두 가지 원두 선택가능한 아메리카노는 그럭저럭 괜찮, 아몬드커피와 레이어케이크는 기대보다 아쉬운데 가격도 저렴하진 않으니 많이 아쉽1층은 카페 2층은 작업 등 할 수 있는 라운지와 포인트오브뷰 3층은 오브젝트샵 외부엔 오드투스윗 등 공간별로 즐길 요소가 좋은"
5.0,카페는 안가고 3층 리빙샵만 들름너무 비싸서 조금 놀랬지만블루투스 스피커로 나오는 음악이랑 매장분위기개찰떡....! 파란색으로 그려진 디자인접시랑스푼 존귀니까 꼭 사줘야함 ㅠㅠㅠㅠ
