rating,review
5.0,공간이랑 음악이 좋아요
4.0,좋은 스피커로 좋은 노래를 들을 수 있는 곳혼자 와서 앉아서 노래듣는데 너무 좋았음인테리어도 멋짐!!공간이 널찍하고 여유있어서 좋음
5.0,
5.0,번창하세옹
5.0,
4.0,"갤러리카페 느낌인데, 시나몬이 시그니처라 매장에 방문하는 순간 시나몬향이 물씬 풍겨서 특히 겨울에 방문하기 넘 좋아요! 따뜻한 시나몬 라떼도 넘 달지 않아서 매우 추천합니다☕️"
4.0,"공간이 꽤 넓어서 앞쪽은 대화하기 편하게, 뒤쪽 공간은 혼자 오신 분들이 앉아서 작업 등을 하기 좋은 테이블로 구성되어 있습니다. 공간 일부가 작품들로 꾸며져있는 곳이어서 분위기도 좋았어요. 진토닉, 바닐라라떼, 티라미수를 시켰는데 진토닉과 바닐라라떼는 특출나게 맛있지 않지만 준수한 맛이었고, 티라미수도 풍미 좋은 크림으로 만들어져 맛있었습니다. 전체적으로 음식이 엄청 맛있진 않지만 공간과 분위기가 좋아 누구와 함께와도 편하게 맛있는 음료와 디저트를 즐길 수 있을 것 같은 곳이었어요. 마감 직전까지도 계속해서 사람들이 새로 들어와서 공간을 지키는 좋은 곳이었습니다."
5.0,
4.0,분위기 좋아요 의자도 편하고~ 커피맛있네요 ㅎㅎ
4.0,카페 분위기 넘 좋아여. 근데 가격이 좀 있음
5.0,성수에서 3시간 무료주차되는 카페 소듕해… 디저트들 다 맛있었음!
3.0,분위기도 좋고 깨끗한데 커피는 정말 맛없어요
4.0,커피는 그냥저냥 맛 괜찮고바깥 마당이라 해야하나 조경에 신경쓴 듯해서 보기 좋았음
4.0,넓어서좋아요갤러리카페 답게 그림도ㅠ몇점있던것같고테이블간격 넓은 공간감있는게 최고
5.0,커피가 고소한 맛이 진하고 좋아요평일 낮에 느긋하게 커피 마시는 분위기가 정말 좋아요
5.0,"직원분들 모두 정말 친절하시고 음료, 디저트도 맛있어요! 이쁜 작품들도 있어서 분위기있게 즐기기 좋았습니다"
5.0,분위기도 좋고 다 맛있어요
5.0,귀여운 눈사람이있었어요😍
4.0,음료메뉴가 적고 크로플 가격이 너무 비쌌지만 맛은 있었다.주말 오후에 15시쯤 만석
5.0,분위기도 좋고 맛도 너무 좋아요 나만알고 싶은곳!!
5.0,시나몬라떼와 시나몬쿠키 정말 맛있어요👍분위기도 좋아서 자주 오게 됩니다😊
4.0,분위기 좋고 시나몬라떼 맛있음메뉴 가격이 비싼편이라 1점 깎음
5.0,크로플 맛있음 근데 좀 느림
4.0,갤러리 & 카페. 널찍하고 분위기도 좋고 커피 맛도 좋아요~ 가격은 약간 쎔.
4.0,
5.0,분위기가 너무 좋음. 커피 맛이 보정됨.
5.0,
5.0,조용하고 외지면서 밝아서 좋아요
5.0,성수동에 보기드문 조용하고 널찍한 카페 너무 소중하다ㅠㅠ
4.0,카페 분위기가 좋고 커피맛도 좋았어요 !크로플은 무난하게 맛있어요
5.0,여 기 티 라 미 수 존 맛 입 니 다🧸❤️근데 커 피 도 존 맛 입 니 다단점: 카페내부에는 화장실이없고 상가화장실을써야하는데 주말이라 사람이 없고 쪼끔무서웠음
5.0,길가다 우연히 들어오게됐는데 괜찮네요약간의 산미와 고소한 커피. 맛있음티라미수는 품절되어서 아쉽습니다. 다음에 재방문할게요
5.0,재방문의사있음 인테리어 고급스럽고 좋아요
3.0,so평범 특색없음
5.0,넓고 분위기 예뻐요
5.0,
3.0,
5.0,콘크림치즈크럼블(?) 파이가 정말 맛있어요! 오전에 일찍 가니 여유있는 분위기를 느낄 수 있어 좋았어요◡̈ 테이블도 넉넉하고 매장도 쾌적해 다시 한번 방문 하랴구요
5.0,주말에 갔지만 사람이 없어서 좋았음. 공간이 넓고 여유가 있음. 커피는 적당히 먹을만...! 미술관에서 쉬는 느낌
5.0,
5.0,너무 괜찮은 곳이네요.
5.0,
5.0,카페도 이쁘고 친절하고 분위기도 좋아요
4.0,분위기는 좋은데 커피맛 별로차나 와인드셔요
5.0,군침이 사악 돌아요
5.0,크리스마스 분위기 느끼고 싶으면 oudo 가세요~~커피 맛있구 사장님 친절하시구 내부 공간도 편안하고 예뻐요!
3.0,메뉴가 맛있지만 가격이 조금 비싸긴 해요! 근데 성수에서 자리 여유있는 카페 정말 드문데 그럴때마다 가게 되는 곳이에요 :) 내부도 예쁜데 그림 보러가는곳은 아니에요 !!
5.0,커피 크로플 둘다 맛있어요! 분위기도 넘 좋아요
5.0,
