rating,review
2.0,본점에서 먹을때 만족한건 아닌데 그럭저럭 먹을만 하고 친절하고 가성비는 좋다고 생각했어요근데 성수점은.. 어느것 하나도 만족한건 없어요..잘 모르겠어요.. 카카오 점수 주는 기준이 뭔지.. 🙄
5.0,
3.0,"😁 친절하시고 붓가케, 가조쿠 다 맛있음 계절에 따라 골라먹으면 될듯 우동의 정석이라는 느낌😡 붓가케 국물만 마셔보면 확실히 짜다..그럼에도 뭔가 별4개는 안나가는 고런 느낌 ,,⭐️ 먹은게 후회되는 맛⭐️⭐️  한번정도는 먹어볼만한 맛⭐️⭐️⭐️ 근처에 있다면 먹으러 갈만한 맛⭐️⭐️⭐️⭐️ 맛있다고 느끼면서 동시에 해당 식당만의 킥이 있는 맛⭐️⭐️⭐️⭐️⭐️⭐️ 이걸 먹으러 여행을 떠난다."
3.0,장어덮밥 이런거 괜히 나눠먹겠다고 도전하지마시고제발 1인 1우동 해주세요 제발. 경험담입니다.
5.0,
5.0,붓카게 맛있어요
4.0,맛있음 일본 다녀온 직후라서 걱정했는데 생각했던것보다 맛있어서 좋았어요
5.0,더운거 빼곤 낫베드
4.0,운좋게 바로 입장해서 먹었는데 웨이팅 심하다면 바로 다른 맛집 찾으시는게 좋을듯.. 웨이팅 감당하면서까지 먹을 맛은 아님글고 매우 짬... 물부어서 먹었어요..유부초밥이 기대이상 맛있어욤b
4.0,맛있었어요
3.0,붓가케먹으러 자주가는곳점점 맛이 예전만 못한 느낌주차장이 아예없어서 갈지말지 고민할정도
2.0,오래기다려야하면 안먹는게 낫습니당가게도 좀 정신없었구여먹으면서도 음..ㅎㅎ; 싶었어요
2.0,맛은 그냥 평범한데 왜 웨이팅이 있는지 의문! 평점이 좋은 이유도 의문...!!
1.0,성수갔다가 친구가 성수찐주민이 추천한집이라해서 기대하고 갔는데 우동맛은 그저 그렇고일본인알바생은 너무 불친절해서 불쾌했네요다시는 안갈듯해요
4.0,평범~ 괜찮
