rating,review
2.0,"지저분함. 아니 더러움 그리고 맛없고 불편함 주방에 있는 그 누구도 마스크를 끼지 않고 대화를 하고 큰소리를 내면서 대화를 함가보면 알겠지만 덕트에 기름때 잔뜩 껴있음 손님이 볼 수 있는 곳의 위생 상태가 관리가 안된다면 보이지 않는 곳은 어떨지 상상도 안됨의자는 낡아서 어디서 주워왔나? 싶을 정도등받이와 엉덩이쪽이 다 갈라지고 찐득거림그리고 바 테이블에 앉히는데 그릇 하나하나 크고 정갈되지 못함 먹는데 불편함근본적으로 맛이 없음 내가 먹었던것만 그런지 모르겠지만 참치,육회 오니기리는 아.. 내가 왜 마요네즈 없는 참치김밥을 만이천원 주고 먹고있지? 싶음성수는 카카오맵 후기도 믿으면 안되겠구나 싶음"
3.0,마키는 그저 그랬고 냉라면 맛있어요
5.0,우리마키 맛있어요. 자주 먹어도 느끼하지 않은 일식 김밥 같아요.
5.0,
1.0,"음식은 맛있어요. 근데 먹다가 주방에서 쥐가 나왔어요,,,,, 엄청 큰 들쥐,,,,, 음식에는 없겠지만 여기가 한국인데 한국 음식점 안에서 쥐 본 건 처음입니다. 맛은 있지만 다신 방문 안할 것 같아요. 쥐가 어떻게 있을까요…?"
2.0,새우튀김이랑 오징어 튀김은 튀김이랑 너무 따로놀음새우는 너무 안익은것같았고 오징어는 이상하게 느끼했음화장실을 갔더니 세면대랑 소변기도 없음깨끗하지도 못함. 손 어디서 씻냐니까 나가서 옆에남의 건물로 가서 손 씻어야 한다고함 여긴 진짜 아님ㅇㅇ양은 많지만 가격에 비해서 맛은 잘 모르겠음게다가 터무니없이 비싸다고 생각함 다신 안옴
3.0,"우리마키, 후라이마키, 튀김우동 먹음일본에 온 듯한 분위기, 인테리어에 들어갈 수 밖에없는 호기심을 자극한다. 두툼한 마키는 점심에 먹기에 든든한 양이었으나, 김밥햄의 향이 너무 강해서 음식의 퀄리티를 저하하는 요소였다.치킨텐더를 튀겨서 만든 후라이마키가 더 맛있었고, 은근히 얼큰함을 지닌 우동도 맛있었다.다만 컵에서 냄새가 심하고 전반적인 위생상태가 아쉽다."
3.0,
5.0,
3.0,맛은 있는데 위생적이지 않음 컵에 이물이 많음..
5.0,
5.0,메뉴 하나하나 완전 내 스타일둘이가서 메뉴 3개 시킨거 넘 아쉬웠음3명가서 4~5개 시켜먹어야겠음
5.0,진짜 맛있다...
5.0,가격도 괜찮고 맛도 좋았어요! 최고입니다
5.0,가격착하고 마키가 생각보다 커서 놀람
5.0,양도 많고 맛있었어요!ㄴ수정. 텐동마끼 사라져서 아쉽네요
5.0,"양도 많고 진짜 최고에요,,🤍"
1.0,진짜 맛없어요. 여기 맛있다는 분들은 일주일 굶다가 오신건지 후토마끼를 처음 드셔보신 분들인건지...14000원짜리 냉동 육회마키? 흠 ㅎㅎ ;; 육회도 다 조사놓은 것도 처음보고.. 양념 범벅이라 육회맛은 하나도 안나고 육회마키 + 튀김우동 세트가 27000원인데 가성비? 양이 많은지도 전혀 모르겠네요 다들 부자이신듯!! bb
4.0,후라이마끼는 겉에 라이스페이퍼를 말아 튀겨낸 듯한 느낌이었는데 큰마끼에 라이스페이퍼까지 말려있어 씹기가 좀 힘들어서 아쉬웠네요. 우동은 약간 매콤해서 튀김이랑 먹기에 딱 좋았습니다! 이정도 양에 이 가격이면 또 방문할꺼같아요:)
5.0,이 가격에 이정도 퀄리티.. 양...주말이라 현장대기 했는데도 하나도 안아깝고 꼭 재방문하고 싶은 곳입니다🥹사장님 적게 일하시고 많이 버세요 . . .
5.0,2번째 갔는데 넘 맛있어요ㅜㅜ육회마키 첨먹어보는데 넘맛🥹🥹 갠적으로 매콤우동 넘 맛있어서 꼭 드셔 보셨으면!!!!
4.0,튀김우동은 뒤로갈수록 점점 튀김이 녹눅하게 풀어져가면서 국물도 같이 느끼해져서 좀 별로였는데 마끼가 맛있었다.
5.0,성수에 이정도 맛 이정도 값 식당 찾기 힘듦 둘이 오면 괜히 손해보는 느낌 넷이 가서 튀김우동에 마키 2-3개 시키면 딱 좋음
4.0,"연어마키랑 튀김우동세트 시켜서 두명이서 먹었는데 적당히 배불러요. 일반우동 시켰다면 배가 덜 찼을 것 같아요. 웨이팅은 30분 정도였는데, 먼저 테이블링 웨이팅 걸고 순번 가까워지면 결제하고나서 또 다시 기다리는 시스템이라서 자리 앉으면 음식은 거의 바로 받을 수 있어요. 웨이팅 없을 때 재방문 의사 있어요."
5.0,진짜 맛있어요
2.0,맛은 있었는데 요리하는 직원분들이 모자도 안 쓰고 마스크도 안 쓰시는데 말을 엄청 많이 하셔서😅 먹으면서 위생이 좀 많이 신경 쓰였어요 다시 방문할 것 같지는 않아요
5.0,바 테이블 있어서 혼밥하기 괜찮아요~후토마키 진짜 커요..한입에 넣어야 맛있다는데 거의 불가능 수준..양 많아요..!저는 적게 먹는 편이라 반 정도 먹고 반은 포장했습니다!
3.0,앞에 8팀 대기 있었는데 회전율이 빨라서 20분정도 기다리고 들어감. 생각보다 내부가 협소했고 분위기는 음…ㅎ 문 열릴때마다 바람이 계속 들어와서 너무 추웠음.개인적으로 우동이랑 연어마끼 맛은 평범했고 긴 시간 웨이팅할정도는 아닌 것 같음.화장실은 건물 밖으로 나가야했고 손닦는 곳 없음
5.0,"다마고마키는 맛이 단순하면서 상큼하니 좋았고, 후라이마키는 위에 올라간 다마고가 차가워서 온도가 다르니 같이 먹기엔 입 안에서 이질감이 느껴지고 라이스페이퍼도 개인적으로 좀 불필요했음"
4.0,
5.0,맛있고 직원분들이 친절하셔요
1.0,
3.0,마키보단 우동이 맛있었어요마키는 평범?
4.0,맛은 준수한 편. 가격에 비해 양이 많아 배부르게 먹을 수 있다
5.0,"진짜,,,양도 많고 넘 맛나요ㅠㅠㅠ🤩🤩착한 가격에 이렇게 배불리 먹을 수 있는 곳 별로 업서요…유일한 단점이라면 자리가 조금 불편하다는것??"
