rating,review
3.0,참깨나베 추천먹으면서 해장 가눙
1.0,맛 더럽게 없습니다 저 원래 후기 잘 안남기는데 왜 별점이 높은지 모르겠어요 사시미 냉동 같습니다 절대 가지 마세요
4.0,
4.0,참깨나베굳굳맛있맛있게딱지밥?소소넘배상태로갔지만맛있던곳1차로가서먹어두좋을듯한곳
5.0,일단 내부 분위기 너무 좋구요!! 사장님들 넘 친절해요. 감사합니다 간만의 모임이었는데 덕분에 행복했어여~~ 서비스도 깜짝 선물로 넘 잘 먹었습니다😊🤍모찌리도후가 진짜 맛있네요.
3.0,ㅍㅂ
4.0,회 맛있음 사장님 친절하심
4.0,나베가 마라탕같아용 친절해서 데이트코스로 좋으나 식당 내부는 시끄러워서 대화하긴 어려워요~
1.0,가라아게가.. 너무 콜팝같아요 잘잘한 닭튀김인데 이게 가라아게가 맞는지..직원분은 친절해요
5.0,성수 최애 이자카야10번 넘게 방문했는데 언제가도 감동적인 맛이에요ㅠ
3.0,데이트코스로 좋을 것 같은 이자카야 술집.가격대비 음식 퀄리티는 잘 모르겠음분위기 좋고 직원분들이 친절하십니당
4.0,깔끔하고 괜찮음
5.0,사장님 진찌 친절하시고 음식? 여기 진짜 내돈내산 앞에 웨이팅하는 곳보다 더 맛있음음식 맛있고 사장님 왕왕 친절진짜 재방문의사 900%저는 차돌 순두부 나베? 정말 맛있게 먹었어요
5.0,"아무리 바빠도 친절한 직원들, 맛있는 음식, 그리고 잔잔한 분위기"
5.0,사장님이 진짜 친절함
5.0,
3.0,적당한 맛 + 친절
5.0,가볍게 맥주나 한잔하고 들어갔다가친절한 사장님 및 직원들에 감동..모찌리 도후 안주로 먹다가 존맛탱에도쿠리를 안먹을수 없었음실패한 안주가 없는존맛탱구리
3.0,"3년만에 방문했는데 맛이 변했다,, 흑임자 가라아게는 여전히 맛있지만 사시미는,, 다신 안먹을듯,,"
5.0,"거지 대학생에겐 사뭇 강한 선의 가격이지만 그렇다고 사케를 포기할 순 없죠. 참깨나베와 숙성회 세트, 여섯글자 사케 마셨는데 맛있었어요! 회가 쫀득하고 나베가 시원합니닷.띵동 없는 대신 자주 살펴주시는 것 같아 불편함없고 친절해요."
1.0,친절하기만 한 곳.사시미 최악이고.가라아케는 콜팝인줄 알았네요동네 땅값 생각해도 납득하기 힘든 가격과 음식 퀄리티
2.0,"장점: 성수 한복판, 분위기, 친절함단점: 주력 메뉴인 사시미요리메뉴는 괜찮다고 느껴졌지만, 사시미는 근래먹은 것 중 최악이었습니다. 구성보고 가격보면 나쁘지 않구나 싶었는데, 먹어보면 이건 돈주고 팔면 안된다는 생각이 들었어요. 너무 푸석하고 냉동된 맛.. 사시미의 결이 얼었는데 과숙성돼서 푸석하게 부서지는데 실수했다는 생각이 과하게 들었습니다. 주력메뉴인 것 같은데, 너무한 것 같아요.. 새우는 얼은 거 살짝 녹인듯 모양이 각져 살아있더라구요..먹다가 도저히 못먹겠어서 흰살생선이랑 새우는 두고 왔어요."
5.0,진짜 미치겟음.. 집 왓는데 또 먹고 싶고 자꾸자꾸 생각남… 저 원래 이런 여자 아닌데… 어카지 진짜…  중독됐어요호우쥬의보 산사태 경고까지 받아가면서 먹으러 간 보람이 있음 최고ㅛ
5.0,오픈하고 거의 바로 가서 그런가 맛있었습니다 분위기가 조용한 건 아닌 거 같아요 따로 호출 벨이 없어서 직접 가거나 직원 분이랑 눈 마주칠 때까지 간절한 눈빛으로 바라봐야함... 사시미는 괜찮았고요 나베는 약간 땅콩소스에 마라 섞은 느낌이었어요 전체적으로 시끄러운 거빼고 좋았음!
5.0,분위기 좋고 직원분들 친절하시고 모찌리도후는 먹어본 중에 젤 쫀쫀해써용ㅠ 사시미도 신선한 편이었구요 마시써.. 생각보다 웨이팅 빨리 빠져서 나름 괜찮았음!!
5.0,참깨나베 굿
1.0,여기 평점보고 왔다가 화가 나서... 사시미 다나가서 매운짬뽕나베 시켰는데 고추기름만 후드려 붓고 해산물 얼마 안들고 그 싸디싼 홍합조차 말라비틀어진 홍합임 면도 넘 맛없고 목란짬뽕 밀키트에 고추기름 살짝 넣고 해물 쫌 더 넣어서 내놔도 더 맛있을거 같음 넘 화가나서 리뷰적음 초반에 안주두개 안시킨게 천만다행 그냥 계속 화가나네 아오... 근데 이 맛없는게 27000원이여서 차라리 기부할껄..아.. 기분안좋아...리뷰쓰면서 더 기분 잡치네...
1.0,서비스는 너무 친절했지만 평점이 납득이 안가서 리뷰 잘 안남기는데 남깁니다. 2만7천원짜리 해물짬뽕나베를 시켰는데 페퍼론치노와 고추기름이 과하고 시중에 파는 밀키트보다도 못한 푸석푸석한 면발에 말라붙은것같은 홍합 쪼가리까지..기침만 나오고 빨리 나가고 싶은 맛이었어요 동네 중국집에서 파는 2만원짜리 술국만도 못하네요
4.0,오픈시간에  잘 맞춰가서 웨이팅 없이 가능했어요 분위기는 조용한 편은 아님 사시미가 좋았어요 나베는 가스버너가 없어서 생각보다 별로였음
5.0,다 맛있고 일하는 오빠 잘생김 ㅋㅋ
4.0,참깨나베랑 사시미 세트 먹었는데 둘다 퀄리티 준수했어요. 특히 참깨나베가 독특해서 좋았습니다.
3.0,
1.0,"리뷰 처음으로 써봅니다. 22000원 차돌 샐러드는 잘게 다져진 몇 점인지 모를 고기와 야채라고는 다른 요리들 사이드에 함께 나오는 양배추 채 분이에요 ㅎㅎ 사진은 먹은 후 사진이 아니라 혹시 안에 다른 야채가 있는지 들춰본 겁니다. 혹시 재료가 없으셨나 해서 여쭤보니 원래 양배추만 나오는 메뉴라네요,, 사장님께서 그렇다고 하니 원래 그런 게 맞겠죠 ㅎ 방문 시 참고하세요"
4.0,분위기 있어요. 테이블이 크진 않아요. 맛은 나베는 칼칼한 편. 많이 주문하는 사시미가 시그니처메뉴. 촛불로 분위기가 납니다. 웨이팅 있는 편. 인원 모두 와야 입장가능.
4.0,모리아와세 나름 가성비 좋았고참깨나베 고소하고 칼칼해서 맛있었어요하나 흠인게 해가 지니까가게 안이 너무 어두워져서 텐션 떨어짐 ㅠㅠ
5.0,항상 2차로 가는 곳입니다 굳 타이밍 잘 맞춰가십셔 웨이팅 안하시려면 메뉴 짱맛
5.0,
1.0,회를 미리 다떠놓고 통에서 꺼내시고...과숙성돼서 푸석푸석한 살..냉동모양 그대로의 단새우..흰살에서 비린맛나는거 오랜만이네요
5.0,"매운 해물짬뽕나베 미 칭 뤔,,, 밥 꼭 시켜서 말아먹기"
5.0,분위기도 좋고 맛도 좋았습니다
5.0,에바 진짜 맛있음
4.0,첨엔 뭔맛인가 했는데 중독성 있는 맛 느끼한듯 담백함. 매콤하기도 하고.. 가라아게는 쏘쏘
5.0,맛있고 사시미 최고 !! 칭구들이랑 종류별로 메뉴시키고 싶을때 가려규용
3.0,
4.0,
4.0,
5.0,비싸지만 너무 친절하세요
1.0,15분 먼저 도착해서 먼저 주문하고 기다릴라고 했는데 일행 다 오기 전까지는 입장 안된다 그래서 그것 까지는 이해가 갑니다.저 포함 세 명이 다 일행이 아직 안와서 이렇게 기다리는데 알반지 직원인지 나와서 하는 말“한 테이블 남았는데 이 중에 일행 먼저 오시는 분이 들어오시면 되겠네요 ㅋ”밖에 추워 죽겠는데 무슨 오징어게임도 아니고 니들 중 두명은 딴데 가야된다는 식으로 얘기하는데 같이 밖에서 기다리는 입장에서 얼탱이가 없어서 그냥 딴데 감
2.0,분위기는 좋으나.....안주가 아쉽
3.0,평타
5.0,
5.0,사진이 반복되는게 아니고요다 다른 접시랍니다화요 두병이랑 먹으니 이게 다 들어가네요맛집이란 뜻입니다많이드세오
5.0,진짜 맛있고 친절하고 다 하는곳.. 은근 성수 쪽에 이런 식당이 없어서 한참 웨이팅해서 먹었는데도 진짜 만족했어요 ㅋㅋ 담에 또가서 안먹어본 메뉴 뿌시려고합니다
5.0,여기 진심 나만 가면 안되나? 서버분들도 너무 친절하시고 맛도 있다. 그 맛이 또 흔한 맛이 아니라 참신한 맛이다. 진심. 나만 갈래. 유명해지지말아라.
4.0,"분위기랑 맛, 사장님들 다 좋습니다.근데 아무리 물장사라지만 사케 가격이원가에 비해서 사악하게 높긴하네요...ㅎ아, 화장실은 좀...음.. 이건 아니지않나.."
4.0,"사시미 보다는 가라아게가 인상적,크게 특별함은 없지만 친절함이 꽤나 좋은곳"
5.0,"진짜 맛있어요,,,회는 입에 넣자마자 사르르차돌박이 참깨 나베는 약간 매콤? 하면서 첨 먹어보는 맛이었는데 진짜 저거 먹으러 또 갈 것 같아요,,모찌리도후도 넘 맛있구,,,매콤 가라아게 진짜 지이인짜 원픽,, 맛있어요지인들한테 성수가면 꼭 가보라고 추천하고 있어요 ㅎㅎ아주 살짝 좁아서 불편하긴 했지만 맛과 분위기가 모든게 용서됩니다ㅎㅎ"
3.0,"대존맛이라는 밑에분 리뷰보고 방문했었는데요,,그냥 숙성회에요 더하거나 모자람없습니다.숙성회 중에서도 맛으로는 중하에 가깝습니다.테이블이 굉장히 다닥다닥붙어있고 딱보면인스타맛집이네 하는 인상을 받습니다.한테이블 남아서 착석하긴했지만 예상대로 평범한 이자카야였고 사장님이 친절하시고 화장실이 밖에있긴하지만 남여따로있고 위생상태가 나쁘지않았습니다."
5.0,대존맛
5.0,맛있고 분위기 짱 조아요 글구 싸요!! 2인이나 3인이서 부담없이 회 먹으면서 술 먹기 좋아용
5.0,음식도 맛있고 사케도 좋았어요 사장님들도 친절하시고 음식도 빨리 나오고 턴이 빨라서 그런지 회도 싱싱했어요 목요일에 갔는데 웨이팅 있었어요
4.0,
5.0,
5.0,가게앞에 고양이도 귀엽고 직원분들도 다 너무 친절하셔서 매주 가고있어요!
3.0,Izakaya
5.0,참깨나베 느끼할줄 알았는데 살짝매콤해서 너무맛있었고 안주하나에 소주 2병비운거 오랜만이네요그리고 안경쓰신 직원분 너무 친절해서 좋았습니다식당 분위기도 너무좋았구요다음에 오면 사시미 한번 먹어봐야겠어요
4.0,친절하고 맛도나쁘진않았는데가격대비 음식이 조금 부실하단 느낌은 있어요들어갔을땐 조금 좁은듯했으나앉아있으니 아늑하고 편한장소예요
4.0,집앞에 들린 친구와 가볍게 한잔하기 좋아요
5.0,정말 맛있다! 정말 친절하고 젓가락 떨어지는 소리에 바로 달려나와 새걸로 바꿔주신다..최고
4.0,나베 간이 알맞았어요. 짜지 않은데 싱겁지 않은 맛있는 맛! 하이볼 역시 조합 최고. 하이볼 한 잔 마시려고 했는데 비율이 좋아서 계속 들어가더라구요. 결국 세 잔 마셨습니다. 가라아게 냄새가 너무 좋아서 다음엔 가라아게 먹어보려구요.
5.0,
4.0,다양한 음식- 모두 맛있게 잘먹고 왔네요~ 친절한 서비스도 너무 만족스러웠어요! 다만 양에 비해 가격대가 조금 높은 점은 아쉬워요ㅠ
5.0,맛 좋고 분위기도 좋은데 사장님도 잘생겼어요. 분위기도 좋은데 가볍게 식사하면서 한 잔 하기에도 정말 좋네요. 자주 와야지...
5.0,이로우
