rating,review
3.0,맛없는 건 아니고 빵 자체는 엄청 부드러움. 근데 기름이 너무 많이 나옴. 절대 10분 이상 줄 서서 먹을 그런 맛은 아닌데 빵처럼 좀 과대포장 된 인스타용 맛집 느낌. (가격도 안 착함) 아직도 매일 긴 줄 있는 걸 보면 참 소셜미디어의 힘이 강하다는 걸 느낌.
1.0,ㅋㅋㅋㅋㅋㅋㅋㅋ 이걸 소금빵이라고 기름 밀가루죽 만드는 집 아님 ? 간판 소금 기름 밀가루 죽으로 바꾸시는게 어때요 ? 왠만하면 안버리는데 한입 먹고 다 음쓰에 갖다버리긴 오랜만이네 줄서있는 사람들이 불쌍해보이긴 처음이고 ... 소금빵 전문도 아닌 곳이 비교도 안될정도로 훨씬 맛있는데 마케팅이 진짜 중요하긴 하구나
1.0,맛은 나쁘진 않은데 줄서서 먹을 정도는 아니라는데 동의함지하철 델리만쥬처럼 냄새로 사람들 꼬시는거 아닌가 싶기도... 그리고 일단 빵이 진짜 너무너무 기름짐. ;; 4개씩 구매 가능하고 오더줄/픽업줄 나눠져있는데 이거 모르고 픽업줄에 대기 타던 사람들도 있었음
2.0,"솔직히 줄서서 먹을정도는 아니고 한개정도 먹어볼만한데 4개단위로 팔아서, 강매하는 느낌이라 별로였음"
4.0,맛있긴 한데 줄 길게 서서 먹을 정도는 아님
1.0,버터 진짜 너무 많이 들어가서 느끼해요… 손으로 잡으니까 기름이 죽죽 나옴 다시는 안 먹고싶어요
3.0,2~3개가 적당한듯
4.0,맛은 먹었던 소금빵중에서는 가장 좋았음너무 질기지도 맛이 심심하지도 않고풍미도 좋고 적당한 쫀쫀함이 있었음허나 낱개로 팔지 않고 4개씩 팔다보니가격이 너무 사악함 낱개로보면 그리 큰 값은 아니나 혼자가거나 소식하는 사람 입장에서는조금은 부담되는 양과 가격일듯
3.0,소금빵 맛있지만 근처 ㅂㅌ이 더 맛있는듯😋
5.0,진짜진짜 인생소금빵!! 한번 먹어보고 너무맛있어서 여기저기 맛있다고 소문내고 두번째 갔을때 네봉지사왔습니다 추천추천
1.0,주방이 문젠지 응대직원들이 문젠지 그렇게 사람 봐가면서 변명만하고 따뜻한 빵 차가운 빵 가려가면서 팔면 곧 망하실듯
3.0,최근에 다시 가니 너무 기름져진 것 같아요ㅜ
4.0,맛있는 소금빵!!인데 4개씩 파는 게 너무 아싀웠어요.. 집에 가서 먹으면 또 그 맛이 안나는 슬픈.. 그치만 맛났습니다
5.0,이때까지 먹은 소금빵 중에서 제일 맛있었음
5.0,맛있어요 재방문 의사 높음
4.0,"호불호있는 소금빵이에요!저같은 경우에는 2-3시간 지나도 겉이 바삭해서 식감이 좋았지만, 버터 범벅인건지.. 기름 범벅인건지.. 많이 느끼했구요.소금빵을 제일 좋아하는 저희 엄마는 지금까지 먹어본 소금빵 중에 가장 맛있다고 하셨어요ㅋㅋ 한번쯤 먹어볼만 해요!!"
3.0,맛있어요. 하지만 낱개 판매를 했으면 좋겠고 줄 좀 안세웠으면 좋겠습니다.
3.0,"버터가 많은그래서 느끼한, 헤비한"
