rating,review
3.0,3-4번 정도 갔었는데 최근에 갔는데 초심 잃음 ㅠㅠ 마라 짬뽕 너무 맵고 발사믹 꿔바로우도 옛날이랑 맛이 변한듯
5.0,"다음에 성수 가면 또 먹을것 같아요><예약은 필수입니다,,"
2.0,어.. 여긴 뭐 그냥 저냥 먹을만함크림리조또 공기밥이 젤 맛잇고가서 이것만 먹고싶음
3.0,새로운 맛인데 좋은 쪽은 아님
1.0,그냥 저냥 하는 맛. 맛 없지는 않은데 맛있지도 않음. 프랜차이즈 마라로제 요런느낌 근데 가격대가 있어서 실망감이 큼직원은 영혼이 없음. 메뉴가 뭔지도 말 안해줌음식나오는데 35분 걸림.가야 할 이유가 있나싶음..
5.0,
5.0,"춘권부터 세트메뉴 전부, 마지막 티라미수까지 전부 대만족.. 퓨전의 진수라고 느껴졌습니다! 매주 가고 싶어요 ㅠㅠ"
5.0,3번째 방문 후기- 메인 메뉴들이 매우 맛있음.(특히 양갈비)- 밝은 날에 가도 적절한 조도에 의해 분위기가 좋음.- 매장 직원 분들이 매우 친절하심.- 주차는 서울숲IT밸리에 하면 저렴함.(모두의 주차장 활용할 것.)- 손님이 많아서 예약을 해야 함.- 주문한 뒤 음식이 나오기 전까지는 꽤 기다려야 함.
5.0,
4.0,
2.0,"그냥저녕 먹을 순 있는 맛이지만, 맛있다는 소리가 나오는 메뉴는 없었다. 융복합이 핫한 요즘, 전문성이 부족하다는 세간의 평이 왜 나오는지 음식의 세계에서 알게되었습니다."
4.0,백화점에서 팝업 했을 때는 맛있었는데 가게에선 그 맛이 안나서 아쉽
3.0,이 가격에 기대할 수준의 맛과 서비스가 전혀 아닙니다. 주문은 태블릿 기계로 받으며 특히 남직원은 불친절까지는 아니지만 친절하지도 않다는 인상을 받았습니다. 특히 울면 봉골레는 맛도 애매하니 소스에 찍어먹는 빵도 손이 안가고 이게 맛있나 싶었습니다. 중식과 양식을 섞었다면 시너지를 내야하는데 그냥 “섞어본 맛“이라 아쉬웠고 재방문은 안할 것 같습니다.
5.0,마파 양갈비랑 마라크림 짬뽕 먹었는데 너무 짜지 않고 맛있네요~!!
5.0,크림짬뽕도 맛있고 발사믹 꿔바로우 넘 맛있어요.......
5.0,"맛있었는데 평점이 생각보다 낮네요. 탄탄파스타가 낯선 식재료없이 익숙함+익숙함이 만나 특별한맛이 되어 맛있었구요, 어향가지부라타? 이것도 드라이 토마토와 소스가 새콤하니 맛있었어요. 그리고 춘권이 생각보다 크고 바질+새우 내용물 꽉꽉 들어차 든든하니 맛있었어요.직원분들도 E급 텐션은 아니었지만ㅋ 필요한 거 충분히 챙겨주시고 설명해주셨습니다. 대문자I에겐 이정도면 충분합니다..가격대 높다는 이야기도 있던데, 물론 가격이 있는 편이지만 다른데서 먹어보기 힘든 매력이 있는만큼 충분한 값어치를 한다고 생각해요.불편한점을 꼽자면 주차 정도겠지만 이정도 번화가는 차없이 가는게 최고인 것 같습니다...ㅎㅎ 그리고 외관 유리가 쪼매만 깨끗하면 좋겠다 정도?ㅎ"
3.0,사람 안 많고 분위기 괜찮아서 몇 번 갔는데 전체적으로 좀 느끼해요!
5.0,특이한 퓨전메뉴들이 많은곳.가격대는 좀 있었지만 맛은 기대이상이었네요전반적으로 간이새긴합니다그래도 재방문해보고싶어요
4.0,맛있고 가격이 비싸다 생각됐는데 양이 많아서 괜찮다 싶었어요! 맛은 있지만 전체적으로 느끼해서 호불호가 강할것같네요! 가끔 생각날듯한 맛입니다
2.0,판매가격 대비 음식의 맛과 특별함이 그다지 추천할 정도는 아니였습니다.
4.0,봉골레 울면 또 먹고싶다
4.0,평일 런치로 갔습니다. 대체로 메뉴들이 개성 있게 맛있네요. 좌석 간격도 적절하고 직원 분들 응대도 좋았습니다.
1.0,"서비스 뭔가요? 7시 예약 후 7시에 입장, 7시20분쯤 주문해서 8시25분에 음식점 나왔습니다. 매니져인지 사장인지 와서 이런식으로 오래 앉아있으면 다른 손님 못 받는다고 다음번부터 주의해달라는데 이게 맞나요? 예약하고 저녁식사하는데 1시간20분이 엄청 긴 시간인가요? 대기가 많으면 몰라도 나올 때 대충봐도 비어있는 테이블만 3개는 보이던데요. 회전률 빠른 저렴한 백반집도 아니고 왜 이런 소릴 들으면서 먹어야하는지 모르겠습니다. 맛도 중식에 크림 섞고 퓨전이라는 쏘쏘한 맛. 다신 안 갈듯요."
5.0,오 맛있어요기본찬 한개 더 추가되면 좋을듯
3.0,마라크림파스타는 맛잇으나 대기가 너무 길면 다른곳 가세용 짧으면 한번쯤은 먹어볼만함
1.0,저번에 방문하고 두번째 방문하는데맛과 직원서비스가 아쉬워서 방문 안할듯특히 홍합먹고 놀랬네요 방구맛이 너무 남
1.0,"사실 별 하나도 아까움 최현석셰프 이름걸고 하는곳인데 이래도되나?맛과 직원서비스와 대응이 아쉬웠던 곳;;1. 해산물 바질 짬뽕해감이 하나도 안되어서 씹을때마다 모래씹혔고 홍합은 얼마나된건지 한입먹고 홍합의 비린향이 올라와서 역겨웠음 홍합 먹자마자 뱉어버림 삭아서 식감도 안느껴짐 바로 직원 불러서 말씀 드리니 대응이 ’원래 홍합향이 많이 나는 음식이다, 홍합을 먹어보니 괜찮다‘ 이렇게 말씀하시길래 못먹겠다고 빼달라함 배고팠는데도 3/1 먹지도 않음2. 마라크림 새우 리조또해감에 이어서 똥도 안뺌 ... 씹자마자 밥이랑 같이 똥이 다 씹혀버려서 마라향에 의지하며 먹음 (아까워서)3. 발사믹 꿔바로우이건 그냥 짬뽕 먹자마자 못먹겠어서 새로시킨 메뉴70,500원 갖다버림....다신안감"
5.0,유명한 셰프님 집이라 기대하고 먹어도색다른 맛에 놀라고감.예약만 하면 편한 식사 가능.
5.0,새로운 맛즐거운 경험행복한 시간이었습니다
5.0,가격은 좀 있는 편이지만 맛은존맛탱 ㅜㅜㅜㅜ
3.0,꿔바로우 주문 들어가자마자 발사믹 향이 가게에 진동을 하더라고요. 냄새가 시큼해도 너무 시큼하길래 걱정을 많이 했는데 다행히 먹을 땐 그렇게 안 셌어요. 적당히 쫀득하며 잡내 없이 무난한 꿔바로우였습니다.짬뽕은 마라도 크림맛도 많이 약했어요. 그냥 짬뽕인데 더 부드럽고 마라 향 아주 살짝 나고. 얘도 그냥저냥 무난했습니다.춘권을 제일 맛있게 먹었어요. 안에 바질이랑 치즈가 꽉 들어갔는데 이게 파사삭하며 으스러지는 춘권 식감이랑 만나니 새롭더라고요. 안에 알새우도 탱글하게 씹히는 것도 좋았어요.
3.0,가격대가 있어서 의아했는데 양이 제법 많음종류가 다 느끼한 것 위주라 먹다보면 금방 물림 두 번은 안 갈 듯맛 자체는 그럭저럭 괜찮긴 함
3.0,"차돌마라크림짬뽕, 꿔바로우 시켰는데 짬뽕에서 좀 더 맵고 마라향이 나면 좋을 것 같았어요 너무 크림짬뽕맛만 나는 느낌.. 꿔바로우는 무난했습니다!"
4.0,기대 크게 안했는데 맛있음!
3.0,양식인데 중식재료쓰고 모양을 흉내내는 음식이네요발사믹은 비추
5.0,맛있음 . .
4.0,가격대비 무던하게 특색있는 중식 먹기 괜찮음.
2.0,"퓨전이라 뭔가 다른가? 싶은데 엄청 맛있거나 매력적이지는 않은 메뉴가 대부분인 것 같아요. 아예 전문 중식집, 양식집을 방문하는 게 만족도가 더 높을것 같습니다."
2.0,특이한 메뉴는 많지만 약간 애매한 맛. 퓨전요리의 전형적인 모습을 보여주는듯.
2.0,음식 대부분 간이 많이 셉니다.독특한 맛이나 특별히 맛있지는 않았읍니다.
2.0,예약하고 가야하는데 생각보다 너무 맛이 없어서 당황했습니다 친절하시긴 한데 테이블 간 대화도 다 들려서 분위기 있게 식사하는 자리도 아닙니다
3.0,두번째 방문인데 첫번째 때는 매우 맛있었는데두번째 오늘 방문에서 꿔바로우는 친구가 비리대요 (저는 못느꼈지만) 마라 짬뽕은 무난했고 유독 오늘은 가격대에 맞는 음식이라는 생각은 안들어요 ㅎㅎ
1.0,"오잉 생각보다 너무 맛없어서 놀란.. 발사믹 꿔바로는 춘장향이 더 강했고, 마라크림짬뽕도 마라는 빼야할듯.. 그냥 크림짬뽕인데 면도 별로였습니다. 볼로냐두부도 라구를 빙자한.. 그러나 간이 갸우뚱했던.."
4.0,유러피안 차이니즈 퓨전 음식점. 맛있어요!!
4.0,
5.0,맛있는 퓨전 중식당.생각하지  못했던  조합의 음식으로 괜찮았습니다.
5.0,중식으로 표현한 양식
5.0,밋있어요!!
1.0,동탄 롯데백에서 먹고 너무 맛있어서본점 능가하는분점 없으리라는 생각에 왔는데..왜 동탄이 더 맛있는거죠..특히 발사믹 꿔바로우가 새콤달콤이 아닌 시콤이었어요.. 바질 짬뽕 맹하고..ㅠ 정말 동탄으로 세번이나 가서 먹었었는데..애정하는 집 본점이 맛이 덜해서넘 속상하는 마음에 정말 처음으로 리뷰라는것도 남깁니다…. ㅠ
3.0,꿔바로우 소스가 맛있어요. 나머지는 무난.
5.0,
4.0,꿔바로우 맛있었는데 가격에 비해 양이 적었고짬뽕은... 그냥 무난? 기대한 거에 비해선 조금 실망 정도
