rating,review
3.0,
5.0,
4.0,맛있지만 비싼 편. 다만 입지를 생각하면 이해 못할 가격은 아님.
3.0,맛은 있었는데 가성비는 떨어짐 ㅜㅜ
5.0,최근에 여기서 아이 백일잔치 했는데 룸도 쾌적하고 백일상도 정말 잘되어있고 음식도 맛있었구요 특히 매니저님 첫 전화응대부터 서비스응대까지 매우친절하셔서 기분좋게 만족한 백일잔치였어요 양가 어르신들도 좋아하시고 주변에 추천중이에요~! 앞으로 가족모임은 여기서 해야겠어요~
3.0,
5.0,
1.0,밑반찬도 거의 없는 중국집에서 가격이 비쌈
4.0,
3.0,
1.0,맛은 괜찮았는데 짬뽕에서 머리카락 나왔음요.. 죄없는 알바분만 계셔서 뭐 대처도 안해주시고 걍 계산하고 나왔네요
4.0,
1.0,"짬뽕은 그래도 맛있었는데 탕수육 몇 조각 있지도 않은데 26000원 실화인가요? ㅋㅋㅋㅋㅋㅋ심지어 바삭하지도 않고 찹쌀도 일반도 이도저도 아님 울엄마가 해줘도 이거 보다는 나음그리고 손님도 별로 없던데 너무 오래걸려요,,,, 너무너무 비추"
3.0,맛은 있어요.. 맛있기는 한데 직원분이 좀 바쁘셨는지 주문 누락되어서 40분 기다렸다 먹었습니다..ㅠㅠ
5.0,
5.0,
5.0,
5.0,
1.0,
5.0,
4.0,
5.0,
1.0,머리 카락이 나옴.
5.0,마늘 후레이크 소고기 볶음밥꼭 드세유 ㅠㅠㅠ 짜장 소스 별도 요청 하면대여 분위기 좋고 사람들도 친절 하신뎅 ㅠㅠ
1.0,가본사람은 납득할 별점
3.0,탕슉이 넘 맛나서 다시 찾았는데 뭔가 많이 달라졌네요.. 아쉽
2.0,오향장육 얇디얇은 작은 고기 6조각 나온것 보고 감탄했어요 한 조각에 2500원이라니! 같이 나온 채소도 기껏해야 오이 정도라 더 실망했었습니다 짜장 짬뽕 탕수육은 괜찮았어요
4.0,"중박이상, 다른 중화요리집 생각하면 직원들 친절한편"
4.0,
2.0,보통.. 점심은 가성비 괜찮은거 같고 와인 싼거는 이득
5.0,아보카도 유니 짜장밥 핵꿀맛! 어쩌다 가보게 되신 분들께 강추하는 메뉴예요. 저는 이 짜장밥 먹으려고 갑니다. 처음에는 아보카도랑 짜장이 무슨 궁합이지 하겠지만 먹어보면 생각이 바뀔 거예요.
1.0,걍 맛이없다
1.0,짬뽕먹었는데 정말 미지근하게 나왔어요. 전자렌지에 돌리면 맛있을수도... 있는 맛.
1.0,"맛은 평균, 친절도는 떨어짐"
5.0,"음식이 맛있고,매니저가 친절해요."
