rating,review
4.0,스낵바인만큼 양이 많은 편은 아니지만 가격대비 적당하다고 생각😉 가츠동 고기 실한 편
1.0,아...진짜 직원들 사람 좀 그만 쳐다봤으면 좋겠읍 사람 신경 안 쓰고 먹는 편인데 진짜 불편할 정도로 쳐다보면서 수근댐 나 잘못왔나 싶었음 직원들이 안 바빠서 그런건지 몰라도 다찌석 그렇게 넓지 않아서 뭔 말하는지 다 들리고 시선 다 느껴짐 서비스 정신 좀 가졌으면 좋겠음 먹다 체할 거 같아서 빨리 먹고 나옴 진짜 부탁함 맛은 문제없는데 사람 빤히 보고 수근대는 거 예의없는 행동임 다신 안 감
4.0,"도톰한 돈까스 고기 두께, 친절한 직원들, 깔끔한 맛. 오픈 키친이라 정신 산만한게 단점."
5.0,소스 카츠동 먹었는데 일반적인 카츠동 스타일은 아니었지만 돼지고기가 존맛임. 진짜 돼지고기 잡네없고 맛있었네요. 소스도 특이하고 맛나요. 가게 분위기도 독트하고 좋음. 밑반찬 없던거는 아쉽.
5.0,맛있는데 양이 푸짐한 편은 아니라서 여러 종류를 시켜서 맛 볼 수 있었네요.
4.0,신나는 일본 노래를 들으며 식사했던 곳
1.0,파스타 에바임 진짜
2.0,
4.0,점심 돈까스 좋아요! 점보돈까스랑 경양식 둘다 추천! 돈까스 소스같은 맛으로는 점보! 좀더 견과류같은 너티한 소스 맛은 경양식!
4.0,카레 맛있어요
1.0,너무 맛없어요. 경앙식이라 얇은건 이해하지만 이건 얇다 못해 퍽퍽하고. 오버쿡된 느낌저만 천천히 먹는건가 했는데 같이 간 친구도 맛없다고 남김. 15000원 너무 아깝습니다
4.0,카레 베이스 음식들이 훌륭한 곳.카츠류도 담백하니 모두 맛있다.
4.0,그럭저럭 간단한 점심 식사로 괜찮았습니다. 제입맛에는 간이 좀 셌지만 분위기도 아기자기하니 좋았어요.
5.0,
2.0,분위기 좋아요. 옥수수 튀긴 거 맛있었어요. 그런데 음식 잘하는 집이라는 생각은 안 드네요. 점심에 방문해서 카레도 먹어봤는데 그냥 그런 맛이었어요. 2차로 가볍게 한 잔 하면서 먹기엔 좋아요.
5.0,소문으로만 듣던 카린지를 드디어 방문했습니다~그것도 웨이팅 극악이라는 성수본점!사실 이날도 친구랑 점심약속으로 카린지를방문하였는데요.  역시 웨이팅(털썩)하지만 기다린만큼 경양식돈까스는 두툼하고소스가 특히 일반소스가 아닌것같았어요근데 저녁은 린가네?라고 술집으로바뀐대서근처에서 놀다가 저녁에 또갔습니다~음식이며 인테리어 음악 전부 내 스타일 ㅜㅜ기다리는것만 아니면 매일방문할껀데 흑흑암튼 간만에 찐맛집 발견이요~
4.0,저녁에 방문했어요. 간이 조금 센 것만 빼면 좋았던.. 전체적으로 맛있고 분위기도 좋아요
2.0,"카레 최애 1인은 돈이 너무 아깝네요..특별한 맛도 없고 들어가는 것도 뭐 없는데계란 추가하니 만사천원 ㅋㅋㅋㅋ(계란추가 +1,500원) 가성비 최악점심으로 후기보고 왔는데 실망했으나분위기는 좋습니다다만 반찬도 단무지 밖에 없고다른메뉴도 안 궁금해졌어요 ㅠ재방문의사 x"
4.0,
