rating,review
3.0,와이파이 보면 지하1층도 있는거 같던데 어떻게 가는지 모르겟음1층만 놓고 보면 엄청 넓지도 좁지도 않고 적당함잠깐 쉬고 수다 떨다 가기 괜찮음공부하기에는 테이블도 그렇고 공부하는 분위긴아니었음공부 하려면 2층 이상 있는 대형카페나 투썸같은 곳이 오히려 나을지도성수동 오면 여기를 꼭 와야돼 라는 특별함은 딱히 없었음
3.0,외관이 엄청 예뻐서 기대함이유는 모르겠지만 계단 막혀있어서 1층만 이용가능했음불편한 자리도 좀 있고 앉으니 책상 흔들거려서 역시 성수인가 생각했다 매장에서 먹는데도 종이컵 줌앉으면 맞은편 공사뷰라서 지금은 뷰가 좋지는 않음 … 공사 끝날 때까진 매장 쪽으로 앉아야 함 ㅋㅋㅋㅋ그래도 콘센트도 있고 내부화장실도 완전 좋음 사람 많이 없으면 또 가고 싶음
3.0,자리 간격이 널널해서 좋음법카 아니면 안 갈 위치와 가격
5.0,라떼 맛있어요😋
5.0,넓고 생각보다 손님 적어서 조용했어요
2.0,화장실 매장안에 있고 청결커피는 다크원두 묵직한 느낌 괜찮았고 너티모카 달달하게 맛있었습니다응대 아쉽다는 말 많은데 아직 고쳐진건 없는 것 같네요컨셉인지 싶은 불편한 테이블도 몇개 존재.맛 3.0가격 2.5서비스 1.55/10
5.0,매장이 넓고 평일 낮엔 사람들이 많이 붐비지 않아 이용하기 좋습니다 ㅎ
4.0,
1.0,아메리카노 산미있는 원두 선택해서 500원 더 냈는데 신맛은 커녕 맹물을 줌... 직원분은 응대 내내 퉁명한 모습... 자리에 비해 안타깝네요
4.0,업로드 되어있는 가게 사진이랑 분위기가 너무 달라서 당황.. 앉기 불편한 의자 잔뜩있고 지하는 공사중
5.0,사진찍기 좋고 지하도 있고 2층도 있어서 넓어서 너무 좋아요!
1.0,점원이 조금..
4.0,비싸지만 무난함
5.0,
5.0,평일에 가면 너무 좋은곳
3.0,노트북 하기 좋아요노래는 약간 힙해요노이즈캔슬링하면 안들려요공간 넓어서 좋습니다!!
5.0,
4.0,베이커리도 커피도 맛있어요
5.0,가끔 노트북들고 방문하는 곳 아주 좋음
5.0,
4.0,아아랑 까눌레 맛있어요 ㅜㅜ 인테리어 이쁘고 탁자 간격도 넓은편
2.0,
1.0,
5.0,
5.0,
2.0,제가 좋아하는 공간이었는데 변한 것 같아요. 첫번째로 제가 저녁 시간대에 방문했을 때 직원분이 안 계셨는데 외부에 다녀오셨는데도 손을 씻고 음료를 제조하는지 의문스러웠습니다. 그리고 가격대가 높은데도 양이 적고 일회용 컵에 줍니다.옛날에는 테이블도 예쁘고 자리도 넉넉했는데 지금은 따닥따닥 앉게 바뀌었고(거리두기 불가능) 아쉬운 점이 많이 보여서 또 방문할지 모르겠어요 ㅠㅠ
