rating,review
4.0,진짜는 치즈타르트
4.0,세븐틴이 다녀간 후로 요즘 엄청 핫해서 줄도 엄청긴 베이커리 가게에요~ 특히나 방송나오고 더 유명해져서 먹기힘들었는데 운좋게 바로 구매할 수 있었어요 ㅎㅎ 에그타르트가 정말 맛있어요!
5.0,인생 메론빵집...사장님이 친절하시고 메론빵이 너무 맛있어용💚
4.0,엄청난 맛은 아니지만 먹을만하고 사장님이 친절하다가성비는 가격이올라서 글쎄...
5.0,초코소라빵 초코가 진해서 맛있어욥
5.0,외국인들이 더 많이 찾는 일본스타일 빵집.다른 곳에서 메론빵 먹었을땐 모양만 메론이었는데여기는 초록부분에서 진짜 메론맛이 남👍🏻초코소라빵은 주문하면 바로 다크초코무스를 쭈욱 채워 줌빠바 초코소라빵과는 비교불가🙅🏻‍♀️
4.0,타르트 맛있었네요.
4.0,무난한 빵집
5.0,비주얼만큼이나 훌륭한 타르트. ‘노란 색’을 맛본다면 이런 맛이지 않을까? 선물용으로 제격입니다.
5.0,
5.0,메론빵에 크림이 안 들어있는데 그래서 오히려 맛있는 것 같아요
5.0,메론빵먹으러 갔는데 그냥 맛이나 보려던 치즈타르트가 너무 맛있어서 정신차리니까 한박스 사서 집가고 있더라... 유명한 이유가 있음
5.0,세상에서 제일 맛있는 치즈타르트를 파는곳!!! 🧀 가게에서 처음 하나 먹고 바로 선물용 6개 구입.. 가게 나와서 걸어가다가 다시 백스텝해서 치즈타르트 하나 더 사먹음.. 또갈거임.. 메론빵도 제가 먹어본 메론빵중 제일 맛있었습니🍈
5.0,생활의 달인에 소개된 이후로 꾸준히 방문하고 있습니다.
5.0,빵이 다 맛있어요.. 특히 치즈케이크 부드럽고 촉촉하니 입에서 녹아 없어집니다. 우연히 들른 곳인데 너무 맛있어요..
5.0,치즈타르트 압승 치즈타르트>메론빵>초코소라빵 순으로 맛있었어요! 사장님 너무 친절하세요
5.0,인생빵집🥹❤️메론빵이랑 앙금빵 종류 다 맛잇구 초코소라빵두 맛잇구 아 그냥 다 맛있어요 ( ᐪ ᐪ )
4.0,치즈케이크가 특히 맛있네요
5.0,메론 빵이 맛있습니다.
5.0,"저는 고운팥앙금빵과 치즈타르트 먹었는데 맛있었어요!앙금빵이 많이 달지 않고 적당했고, 치즈타르트는 부드럽고 먹는 순간 맛있다고 느꼈어요. 평일 4시쯤 갔는데, 다른 앙금빵들은 품절이라 아쉬워서 다음에 또 가보려구요ㅎ"
5.0,메론빵을 꼭 사먹으세요. 메론빵이 맛있다는 것을 알게 해준 곳입니다.
5.0,
5.0,진짜 맛있어요 제 최애는 메론빵💚
4.0,나쁘진 않지만 굳이 찾아갈 맛은 아닙니다
5.0,되ㅣㅣㅣㅣ게 폭신폭신하고 신기한 맛보드랍고 맛있어요~!~!~!
5.0,
4.0,
5.0,"치즈케이크.. 별로 기대안했는데 진하면서 부드럽고 퍽퍽하지 않으면서 느끼하지 않아요.. 동생이 일본에서 먹어본 것보다 더 맛있다고 하네요. 너무 달지도, 무겁지도 않아서 엄마아빠 두 분 다 맛있다며 좋아하셨어요. 앞으로 자주 올 예정. 사장님도 친절하십니다."
5.0,"오잉 제가 방문(1.16) 했을때는치즈케이크 1.5 메론빵3처넌이었눈데 ,, 다음 날 올라온 리뷰가 가격이 더 적은이유가 무엇일까요?.?.......?,,,,??무튼 포실포실한 느낌의 치즈케이크 달지 않아서 신선했고 메론빵은 안에 내용은 없고 가벼운 소보루에 메론 거북이껍질이 예술이었어용 달달"
5.0,"치즈케이크 10,치즈 타르트& 장미 타르트 세트 15,치즈케이크는 평생 먹어본 케이크 중제일 부드러워서구름 위를 둥둥 떠다니면서구름을 먹는 그런 느낌외할과 엄마 나 모두 극찬😍구름 케이크장미 모양 사과 타르트맛은 그냥치즈타르트가 빛깔도 예쁘고부드럽고 맛남"
5.0,
5.0,"치즈타르트 맛있어요...쬐끄만게 3천원인데 가격값하는맛,,"
4.0,항상 오가며 구경만 하다가 마카롱도 있구나! 하고 들림. 녹차 필링 색이 엄청 진해서 구매. 맛은 그냥 그럼. 색 만큼 녹차 맛이 진하거나 맛있진 않음. 주종목 디저트가 아니라 그런가봅니다
5.0,사장님 너무친절하시고 빵들도 하나같이 다 맛있어요ㅠㅠ 커피도같이판매하시는데 저렴한가격에 퀄리티굿굿!!
5.0,맛있네요~! 왁두영상서보고 맛있어보여서 주변에 일보러왔다가 왔는데 정말맛있네요 치즈타르트 존맛탱......킹아!
5.0,와 예전에 지나가다가 사먹었었는데 너무 맛있고 어머니가 친절하셨던 기억이 나는 곳! 왁핑몰보다가 어? 여기 성수에 있던 거기아닌가.? 하고 보니 여기네요 킹아~!~!
5.0,아주 킹아~
5.0,왁핑몰 보고 왔는데 너무 맛있었습니다 킹아
5.0,사진은 치즈케이크밖에 없네요... 엄마가 지나갈 때마다 뭐 사옴 치즈타르트랑 앙금빵도 맛있음 치즈케이크도 일본에서 먹은 맛 그대로임 더 맛있는 거 같기도? 아 메론빵도 다른 데서 먹고 실망했었는데 여기는 맛있었음 스콘도 맛있음.... 걍 다 맛있는 듯 지나가시면 꼭 아무거나 사세요.....
5.0,여길 지나갈때면 꼭 뭔가를 사감치즈케이크는 1만원인데 거품낀 치즈케이크 느낌으로 폭신한 식감5천원이면 매일 사먹었을텐데 1만원이라 자제중
5.0,문열고 들어서는 순간부터 달달한 빵냄새가 풍겨요❣️ 뭉글뭉글 에그타르트 짱맛!!!
5.0,타르트도 먹어보고 싶었는데 로즈?라는 디저트가 신기해보여서 함 사먹어봤는데 정말 맛있었습니다!아메리카노도 2천원밖에 안해서 사먹었는데 정말 괜찮았습니다~!
5.0,알바하면서 같이 일하는 동생이 타르트가 너무 맛있다고해서 먹었는데 진짜 세상핵존맛 집에서도 한박스사서 엄마아빠랑 먹었는데 다들 좋아해서 다음에 또 사러갈게용!
5.0,종종가는 빵집인데 너무맛있어요!! 진짜 주기적으로 먹어줘야되요~ㅎㅎ 타르트진짜 너무맛있어요~ 마카롱도 맛있고 식빵도 맛있어요! 사장님도 친절하시고 가게도 깔끔해서 자주 가고싶어져요~~ㅎㅎ 맛있는 빵집이 근처에있어서 너무행복해요♡ 또 먹고싶네요~
5.0,맛있고 직원분들도 정말 친절하십니다 앙금빵과 치즈타르트가 특히 맛있었어요
3.0,앙금빵이 유명하던데 외피가 쩌덕쩌덕한 스타일이라 별로.. 수플레치즈케이크는 맛있었어요.
5.0,일본식 빵집. 여러 종류의 앙금빵이 있어서 앙금빵 좋아하는 사람에겐 아주 좋음. 그리고 맛 있음. 치즈 타르트 아주 쫀득하고 진하니 맛 있음
3.0,달아요. 달아. 디저트는 단 법이지만 좀 제 기준과는 달리 단 맛이 강합니다.
2.0,왜 전 맛이 없을까요...?ㅜㅜ
5.0,치즈타르트 짱맛서울숲에서 간식으로 냠냠
3.0,오전에 가서 그런지 에그타르트 빵이 어제 만든 빵 같았어요. 이전에 먹었던 빵이랑 맛에 차이가 있네요. 어제 만든 빵인데 가격도 그대로이고. 살때 말씀해주셨으면 좋을것같아요.
3.0,친절하고 맛있어요 ㅎㅎ 느끼함보단 담백하다고 해야할까? ㅎㅎ 다른집랑은 좀 다르긴해여ㅎㅎ
3.0,나쁘진 않은데 비쌈. 에그타르트가 먹고싶었는데...
5.0,치즈타르트는 달지않고 진한맛이에요! 타르트지도 정말 맛있어요. 말차스콘은 제가 지금까지 먹었던 말차스콘들중에 제일이네요ㅠㅠㅠㅠ다음에 가면 스콘들 다 먹어봐야겠어요~~!
5.0,몇 번을 더 사먹게 될까...
5.0,가격이 좀 있긴하지만 맛있게 잘먹었습니다
5.0,앙금빵 너무 맛있어요!
5.0,치즈 가득한 타르트.. 가성비 좋아요
5.0,평일 3시에 방문하니 타르트가 몇박스 남아있었네요.친절하게 맞아주시고 감사합니다
5.0,친절. 앙금빵 핵맛. 에그타르트 풍부  bbbbb
5.0,생기자마자 티비 출연이라니 ㅜㅜ너무인기많아져서 일찍 닫더라고요 참고하세요저도 아예 빵을 못사고있네여 흑흑꿈에 그릴 내 메론빵...★여기 메론빵 대존맛입니다 여러분 제발 드세요
4.0,"타르트, 생활의달인"
3.0,Tart
