rating,review
4.0,평일 낮에 갔더니 여유로웠어요. 밤에가면 루프탑을 즐겨보고 싶네요. 스테이크가 티본이여서 800g부터 판매합니다.
5.0,스테끼.. 꿀맛 .. 분위기도 좋아용
5.0,분위기 좋네용 맛있게 먹고 가요
5.0,맛있습니다~ 스테이크는 특별한 날에 먹기 좋은 맛과 비쥬얼이네용
5.0,"사진 맛집인데 밥도 줌,,,최고"
5.0,써니사이드업 트러플 치즈파스타는 풍미가 높은 파스타 중 하나에요. 트러플의 향이 특별한 맛을 더해줘요
5.0,타이거풀 딱 오자마자 성수가 핫하다는게 이런건가? 싶은 느낌이 있었음ㅋㅋㅋㅋㅋㅋ이쁜 밥집 좋아요!
5.0,일행들이 스테이크 얘기만 하는데 전 파스타에 제대로 꽂힘! 진짜 파!슷!하! 개꿀맛탱
5.0,파스타의 풍미와 분위기가 조화를 이루는 멋진 곳이에요. 특별한 날에 또 방문하고 싶은 곳입니다
5.0,은은한 조명 때문에 어떻게 찍어도 인생샷 건질 수 있어요!
5.0,외부와 내부 인테리어가 완전 극명하게 갈리는게 참 좋았습니다 음식 맛도 정말 맛있었고 특별한 날 방문하기 좋은 것 같아요 또 올게요
5.0,스테이크를 먹으면서 레스토랑의 분위기를 더욱 즐겨보세요.
5.0,"다른 스테이크 하우스랑 비교했을 때 일단 분위기가 뛰어남, 위치 좋음 다른 구경거리가 많음, 알콜 종류가 많아서 골라 먹는 재미가 있음"
5.0,"슬슬 더워지는데 스테이크, 파스타에 맥주 한잔 하니까 극락이 따로 없음"
5.0,파스타의 다양한 맛과 고급스러운 분위기가 어우러진 곳입니다. 특별한 날에 방문하기에 딱 좋아요
5.0,가게가 너무 이뻤어요!
5.0,스테이크의 고소한 맛과 분위기가 어울리는 최고의 장소입니다.
5.0,고기 왕큼...파스타 쫀쫀함..맥주 시원함..또 감..
3.0,서비스도 좋고 맛도 나쁘지 않아요음식 재료들의 조화가 전반적으로 적당했어요가격대만큼의 맛입니다
5.0,찐 친절하세요 수다 떠느냐고 고기가 다 식었는데 오버쿡 안되게 기똥차게 데워주시기까지 하셨습니다!
2.0,
5.0,바질페스토 리가토니 콜드 파스타는 상쾌한 맛과 향이 일품이에요. 여름에 먹기 딱 좋은 시원한 파스타에요
5.0,고급스러운 분위기와 훌륭한 파스타로 유명해요. 파스타의 풍미와 서비스의 만족도가 최고예요
5.0,토마호크 완전 만화재질 잘 먹고 가여 ~~
