rating,review
5.0,"☝️맛있다, 과하지 않게 자극적인 맛✌️양이 적어보이지만 절대 적지 않다🤟좌석만 더 넓었으면 🥹"
4.0,치미창가 오집니다 오져요
5.0,왜 타코 마이너죠?맛은 타코 메이저
5.0,맛있네요 치미창가!!!
4.0,전화로 포장 예약 가능
5.0,"메뉴: 라이스볼, 치미창가(비프)이렇게 맛있는데 가격까지 착하다니.다음에 올 땐 치미창가 다른맛으로 2개 먹어볼 예정."
3.0,타코는 나쁘지않고 치미창가는 맛있어요치미창가가 큼직하게 썰어진 소고기가 인상적이네요 큰 조각 덕에 씹는맛이 있는데 부드러워서 불편하지 않아요
5.0,부리또볼 건강한 한끼 🌿👍
3.0,"1. 올라가는 길 경사가 심하고 계단이 좁아서 험난하긴한데 올라가면 편함2. 맛은 무난하고 타코 쌓는 솜씨나 안에 재료는 괜찮.3. 찬양하는 사람들이 많은데, 이해도 감. 근데 난 치미창가만큼은 트라타가 낫다고 생각함."
5.0,성수 올 때마다 들리는 곳... 넘넘 맛있어요 사장님 너무 친절해요 🥹
5.0,치미창가 쩔
5.0,맨날맨날 가고싶어요고수 많이 달라고 하면 항상 친절하게 주셔서 조아요부리또볼 야채도 많고 맛있어요매장도 깔끔하구 좋아요
5.0,다들 이 집 치미창가 드시고 후회 없는 성수 나들이 되세요
5.0,"이마트쪽에 있을때부터 먹어온 맛집,,,정말 타지에서 계속 생각나요한 40만원은 썼을겁니닿..메뉴 추천은 새우타코와 케사디아가 압권이구요얼마전 원정팀을 보낸는데 알바생이 만든타코는 살짝 맛이 다르다고는 하더라고요‼️꼭 추천!"
3.0,적당한 정도의 타코였어요. 존맛까진 아니고 평타-타코 2pcs(돼지고기) 섭취
5.0,내 성수동 최애
1.0,댓글에 치미창가를 엄청나게 찬양하길래 방문해봤습니다! 치킨과 비프 중 치킨이 시그니처라고 해서 치킨으로 골랐는데 저는 맛있는지 전혀 모르겠네요ㅠ   ㅠ
5.0,"존맛탱ㅇ,,퀘사디아가진짜맛있었음 두번째가 치미창가 마지막이 타코,,타코는 그냥그랬어서 다음엔 안시킬꺼같음 근데 나머지가 너무맛있어서 다시가고싶음"
5.0,
4.0,큰기대 안하고 갔는데 볼이 맛있어서 넘 잘먹었어요 갠적으로 저녁조명이 조금만 더 낮으면 술을 마시고 싶겠더라구요!
5.0,아들 데리고 다시 갈려구요^^담에 모든 메뉴 다 먹어볼 생각입니다.
5.0,맛있어요! 엔칠라다는 없어서 아쉬웠지만.. 부리또볼이랑 치미창가 맛있어용 담에 또 갈래요
3.0,께사디야 먹고싶으면^^
5.0,Very cute restaurant and quick service. The food was good and atmosphere relaxed. Would love to return for a visit!
5.0,매장도 깔끔하고 사장님도 친절 하시네요. 치미창가 먹었는데 하나만 먹어도 배가 적당히 차네요. 다음엔 여럿이 가서 타코 피스도 먹어봐야겠어요. 잘 먹었습니다. 😋😋😋😋😋
5.0,맛있고 분위기도 좋아요! 타코에 맥주나 마가리타 한잔^^ 끝내줍니다
5.0,"맛집인지 모르고, 신랑 회사 근처라 갔는데전부 다 맛있었어요. 재방문 의사 많아요.가까운 곳으로 확장이전오셔서 넘 좋네요."
1.0,
4.0,"[4/5]괜찮은 맛타코랑 퀘사디아, 치미창가 먹었는데개인적으로는 타코가 제일 좋았음"
4.0,무난해요타코보다는 치미창가 추천해요
5.0,사장님께사 엄청 친절하시고 음식도 맛있어서 나오자마자 열심히 먹었어요
5.0,사장님이 많으면 포장해주신다 했지만 맛있어서 다 묵음🐽
5.0,배달 시켜먹는것보다 직접 가서 먹는게 훨~~~씬 더 맛있어요. 꼭 드세요. 두번 세번 네번 드세요.
5.0,타코 퀘사딜라 나쵸 부리또볼  다 먹어봤는데 이 집은 진짜 입니다!
3.0,양이 푸짐해서 좋아요.
5.0,그 테이블은 1개고 나머지는 바 형식의 자리에 앉게 되는데 여러분 소문은 적당히 내주세요 ... 손가락까지 쭥쭥거리면서 먹은 핵존맛집... 부리또와 타코 둘다 만족스러운데 테이블에 있는 타코용 핫소스까지 뿌리면 극락갑니다.가격은 진짜 납득가는편.맛나요 맛나 .. ㅠ
3.0,성수쪽에 애정하던 타코집이 이사가서 주변 찾아보다 오게된곳사장님 친절하심 맛은 조금 아쉬움
5.0,성수 중심거리에서 조금 벗어나 있지만 찾아갈만 한 곳치킨 포크 비프 새우 아보..? 등등 종류 많음타코는 채소가 너무 적어서 아쉬웠지만 고기가 많아서 좋음 (이중인격?)치미창가가 양도 푸짐하고 맛있음.. 소스들도 다 너무 맛있다매장은 협소함
5.0,진짜 맛있어요! 오늘 또 감탄
5.0,치미창가가 진짜 맛있음
5.0,
4.0,치미창가 넘맛있어용
5.0,성수동 타코맛집중심가에 있는 편은 아니라 배달로 시켜 먹으면 좋을듯 퀘사디아 양도 넉넉하고 맛있음
5.0,
5.0,가격 생각 안해도 정말 맛있어요.양도 많고 플레이팅도 깔끔해요!
4.0,나초 꿰사딜라 치미창가갓성비👍
4.0,비프로 시키니 그라운드비프가 아닌 비프큐브가 들어있다. 23년도 번창하시길
4.0,
5.0,너무 맛있어요... 오래오래 이 곳에서 장사해주세요...!!!
5.0,치미창가...!!!또 먹고싶어여 ㅠㅠ
2.0,
5.0,타코에 두부 아보카도
5.0,"치미창가 중독… 여름철 사라진 입맛 찾아주는 맛 쉬림프, 두부&아보카도 둘다 넘 맛있어요. 낼은 뭘로하지 궈민궈민ㅠㅠ"
5.0,후기에서 다들 치미창가 극찬하길래 새우로 해서 먹었는데 존맛 ㅠㅠㅠㅠㅠㅠ눈물 ㅠㅠ 감튀없으면 섭섭해서 같이 시켰는데 소스가 존맛 ㅠㅠ다덜 치미창가 하십시오!
5.0,아 정말 넘 맛있어요 ❤️❤️❤️왠만하면 후기 안남기는데정말 맛있어용
5.0,웨이팅을 오래한지라 맛에 대한 기대가 높아져서 어쩌지.. 했는데 기대한 만큼 아니 그 이상으로 맛있었습니다. 두번 가고 세번 갈게요 ! 참고로 3인 이상 테이블이 1개뿐이라 3인 이상 손님들은 좀 오래 기다리셔야 합니다. 포장이나 배달을 추천드려용.(+ 그리고 여기 웨이팅이 점점 많아질 것 같은데 웨이팅 서비스가 필요할 듯 합니다 ! 길목이 좁아 마냥 기다리기 힘들어요 ㅠㅠ!)
5.0,깔끔하고 맛있는 곳.
5.0,배달로도 시켜먹고 방문해서도 시켜먹었는데 사장님 친절하시고 맛도 으뜸!
5.0,처음에는 2명이니까 당연히 메뉴 2개 시켰는데 너무 맛있어서 정신차리고 보니까 메뉴 4개를 부숴버렸어요.. 치미창가 부리또볼 퀘사디아 타코 먹었는데 너무 맛있어요ㅠ
4.0,부리또볼 맛있어서 배달로도 종종 시켜먹어요 ㅎ
5.0,포장해와서 먹어도 맛있네요!! 신선한 고수 너무 좋아요. 쉬림프타코 추천합니다
4.0,
5.0,맛있어요!! 특히 퀘사디아 존맛
5.0,혼밥 하러 가끔 갑니다. 이것저것 시켜보는 중인데 새우 퀘사디아가 제일 맛있는듯
5.0,
5.0,
5.0,맛잇어요 ♥️
3.0,퀘사디아 쪼오금 짜넹
4.0,골고루 다 시켜먹었는데 다 맛났어요!다만 공간이 협소한게 아쉬워요
1.0,비싸고 맛이 없음. 피자스쿨 맛이 나는데 더 비쌈.
2.0,"타코에서 피자맛이 나요. 토마토 베이스에 올리브, 치즈가 올라가니 타코스럽지가 않네요. 소고기는 약간 질겼어요."
5.0,여기 진짜 맛있어요!! 타코랑 새우퀘사디아 먹었는데 둘다 짱맛! 퀘사디아 시키면 주시는 고구마맛(?)나는 소스 너무 맛있어요~~ 꼭 드셔보세요!
5.0,오랜만에 한국에서 멕시칸 음식다운 맛을 느꼈어요. 치미창가 맛있었습니다!! 가게가 굉장히 미니미니 하지만 안에서 먹어도 맛있고 포장해도 좋을것 같아요. 맥주 싫어하는데 마시고 싶은 맛이었습니다 강추!!
4.0,"완전 한국화된 맛, 도스타코스보다는 덜 맛있는..하지만 성수에 이렇게 브리또볼, 나쵸 등 다양한 남미음식을 가성비로 먹을 수 있어서 좋아요! 내부도 아기자기하게 잘 꾸미신거 같아요내부가 좁아서 테이크아웃이 거의 필수!자주 갈것 같아요"
5.0,조아요 맛있어요 행복
5.0,맛있어요. 사장님도 친절하시구요
