rating,review
1.0,튀김이 정말 말도 안 되게 맛없음
4.0,가성비있고 카레가 특히 맛있어요 브레이크타임이 다른 식당보다 늦어서 늦은 점심식사가 가능했어요 내부는 좁아요
2.0,일본에서 먹었던거랑 비교하는건 당연히 무리겠지만튀김이 오버쿡되어서 눅눅하고 딱딱하다 ;;텐동이 원래 가격은 있는 편이지만 그래도 비쌈가라아게가 그나마 부드럽고 괜찮음
5.0,친절하고 맛도 좋고 이 근처 가격대 고려하면 가격도 나쁘지 않은 듯
5.0,"#가라오게동맛집성수오면 꼭 들릴려고 하는 집실한 가라아게 3개가 진짜 감동, 소스랑 찍어먹으면 극락 그 자체. 여기보다 가라오게동 잘하는 집 아직 못찾음다른 튀김도 실하고 밥 리필해주기 때문에 배부르게 한끼 식사 가능합니다 그리고 혼밥하기 편한 바구조입니다"
5.0,바로 만들어주시는거라 그런지 튀김 바삭따끈하고 새우 통통해서 좋아요! 팽이버섯이랑 가지튀김도 있어서 맛있음 김이 별미⭐️
1.0,"텐동이라고 할수가 없는데....일식튀김 기초도 안되는 실력으로 텐동집을 하는게 너무 말이 안됨..튀김꽃이 아니고 내가 보기엔 정확치는 않지만.. 튀겼던 튀김 부스러기를 다시 묻혀서 튀기는거 같기도 하고...거기에 홀 위생, 써빙하시는분 태도 등등...최악이였네요.."
5.0,가격 위치 맛 조합하면 5점 안줄수없음
2.0,위생관리만 하면 좋을거 같아요.
5.0,가성비 좋은 집입니다 맛있고 양도 적당해서 든든합니다 매장내부는 조용해서 분위기 너무 좋았구요 성수 올 때 종종 들를듯
5.0,
2.0,우선 본인은 리뷰 잘 안 쓰는데 여기는 선 넘음텐동집에서 밥을 미리 퍼 놓아서 겉이 다 딱딱한 밥을 주는것은 뭔 생각인지 모르겠음. 금요일 6시라고 개대충한거 같아서 기분이 개나쁘네튀김은 잘 튀겼는데 오징어가 대왕오징어인것도 패스하고 그냥 밥이 그렇게 나오니까 다 쓸모가 없음
4.0,튀김을 잘 튀기는 집텐동에 기본 맛에 충실하고 그 맛이 맛있음홀이 좁은게 아쉬움
2.0,다른 텐동집들에 비해 너무 느끼해서 솔직히 추천 안함.
4.0,무난하지만 약간 느끼
5.0,맛은 물론이고 마스크 쓰시는 위생까지 합격..
4.0,맛있던데요  느끼할수 있지만 가끔 생각자는 맛입니다
2.0,새우가 좀 퍽퍽한듯 평범한 맛
2.0,"새우튀김 튀김 옷 너무 두껍게 딱딱한 새우 너무 익어서 질김, 김튀김 너무 딱딱"
