rating,review
4.0,밤 10시 넘어서 연 카페가 별로 없는데 여기는 밤 12시까지 한대서 들어갔어요. 가기전부터 조명이 따스하게 켜있고 분위기도 아늑하고 좋았어요. 안에는 사람이 가득차서 입구쪽에 벤치?같은곳에 앉을수밖에 없었지만 난로도 있고 따뜻하고 사람들이랑 떨어져서 우리끼리만 있어서 오히려 좋았어요. 백포도에이드는 상큼하고 메인으로 보이는 초콜릿우유는 70%로 시켰는데 달지도 않고 찐한 초콜릿 맛이 나서 정말 좋았어요! 나중에도 이렇게 밤 늦게까지 노는 날이 있다면 여기로 갈것같아요~
5.0,"쇳덩이 힙스터 카페들 투성이에 거의 유일한 코즤한 카페라고 하신 아래 리뷰에 공감,, 제가 갔을땐 고양이 자고있어서 못봤어요 ㅠㅠ 그거보러 갔는데 아쉽.. 핫초코 맛있음 / 금방 재방문했는데 주무시는 뒷모습이라도 기어코 보고 말았습니다. 키우는 고양이 아니고 같이 출퇴근하는 길냥이래요 ㅋㅋ 까칠하신편인지 만지지도 말라고, 길냥이라 더럽다고 적혀있고. 그런 위생에 민감하신 분이면 안가는 편이 나을지도 모르겠지만. 또 아주 오래된 가스렌지를 활용한 좌석에 앉아서 재밌었어요. 테이크아웃이 아니면 주문은 큐알코드 찍어서 하더라구요"
3.0,지난번 방문했을 때 바퀴벌레 2마리랑 마주쳤어요. 오픈형 카페라 더 취약할 수도 있을 것 같아요
5.0,성수의 밤한줄기의 빛밤 공부인들의 아지트고양이와 시간보내기축축한 화장실 키(컵)안 올 이유? 엑스
1.0,
3.0,자리는 불편하지만….콘센트가 많아서 작업하기 좋음!!!
5.0,생초콜릿라떼와 카공가능만 보고 간 곳인데 분위기도 좋고..무엇보다 깜짝선물로 개냥이가 있어서 너무너무너무반가웠어요 행복했오요.. 또와야징..
4.0,노트북 작업하러가기 최적의 곳 ! 커피는 그냥 그렇고 초코 음료는 맛있지만 비싼 느낌 ?
3.0,지하실에서 곰팡이 냄새가 너무 나요
2.0,
1.0,커피가 맛없어요...아메 라떼 모두 맹탕....
5.0,내가 서울숲을 사랑할 수밖에 없는 이유.
4.0,재즈 노래 나오는 코지한 카페시끄럽지 않아서 좋았다
5.0,인테리어 신경쓴느낌이 나요친절하고 편한분위기 입니다커피도 괜찮고 초콜렛이 진짜 맛있어요
5.0,핫초코 70% 넘 맛났슴당
1.0,
1.0,여기 일요일 홀 마감 22:30 분까지래여! 미리 전화하고가세여. 저는 헛탕침 ㅠ
3.0,고양이는 귀여웠지만 라떼는 그저그럼
5.0,비싸보이는 외관이지만 막상 가격은 평범하더라구요그리고 초코브라우니 완전 달아 맛있고고양이가 제 발 밑으로 지나가는데너무 귀여웠어요
5.0,겨울에 어울리는 아늑한 분위기 카페고양이도 너무 귀엽고 컵패키징도 이쁨 ㅠ재방문 의사 👍👍👍
5.0,초코라떼 덕후들은 여기루 오세요!!! 그리구 분위기 매우 cozy합니당
4.0,외부는 엄청 허름한데 내부가 꽤 아늑하고 테이블은 작지만 콘센트가 많아 스터디나 모임 카공족이 있음. 초코류가 완전 진하고 꾸덕하고 비싸긴 함
5.0,자리도 편했고 그림도 그리고~
1.0,"카페라는 곳이 물론 음료를 마시러 가는 데에 궁극적 목적이 있는 곳이긴 하지만,고객과 대면하는 업이기에 응당의 서비스 역시 기대하게 되는 장소라는 것을 포함한다면,(여기서의 응당의 서비스란 고객이 오갈 때 하는 인사, 미소는 아니라도 최소한 찡그리지는 않은 표정 등을 의미한다)이 곳은 아주 불쾌한 맛을 파는 카페다."
2.0,식물이 많아 가게가 아늑하고 고양이 귀엽다. 다만 커피가 밍밍하다..
5.0,초코맛 진해요~~~~
5.0,
5.0,제가 먹어본 초콜릿 라떼 중에 역대급 진함이였습니다.뚝섬 오면 또 갈게요.분위기도 너무 짱~!
5.0,잘 먹고 갑니다
5.0,메뉴가 마시고 고양이가 귀여워요
5.0,맛있어용!
5.0,말그대로 성수동 최고카페 고양이가 있는것도 장점이지만 파머스카페의 초코라떼와 우유에는 감동이있다 🥹
5.0,메뉴가 맛있고 고양이가 귀여워요분위기도 좋아요
1.0,메뉴 보고 있는데 빨리 주문하라는 식으로 테이블을 손가락으로 딱딱딱 끝도 없이 치더란…. 절대 고의적이었음
5.0,핫초코 맛남
4.0,걸어가다가 우연히 들어갔는데옛날 감성 물씬나서 좋음
4.0,"일단 주변 쇳덩이 힙스터 카페들 사이 유일하게 포근하고 아늑한 카페ㅠ..ㅠ초코 라떼, 모카 맛있음. 진짜 쌉쌀한 다크초코 갈아 만든 느낌이 취향인데 호불호 갈릴 수 있음+와플은 안달아도 너무 안달아서 남겼어요... 제 취향이 아닌거겠죠 태어나서 와플 남기기는 처음이네요ㅠ 아쉬웠어요+앙큼한 고양이가 있어요"
1.0,정말 불친절 하고 일회용 컵을 사용하면서 마치 곧 준비할것 처럼.말하네요.
5.0,여러분 디저트 많이 먹다보면 어느 순간부터는 달지 않은 디저트 찾게 되는 경험 해보신적 있나요저한테는 여기 초코라떼가 그랬습니다I only drink Farmer's
3.0,"고양이는 귀엽습니다.오랜시간까지영업하는것도좋아요. 하지만, 초코라떼 밍밍합니다. 초코들어간술은 술맛밖에 거의 안나네요. 브라우니는 쫀득하지않은 초코 빵 느낌이에요."
5.0,
2.0,"네이버페이 안되면 결제 안되고, 큐알코드로 결제하는 건 또 무슨 번거로움이고, 아주 전형적인 불편한 힙스터까페다.음료는 맛있었다.초코라떼는 매우 훌륭."
5.0,귀여운 고양이(돼지라고 함)
2.0,
5.0,
5.0,분위기 쏘 굿사장님 친절음료 짱맛= 안 갈 이유 없을 무
5.0,친절하고 분위기 괜찮습니다. 일단 맛에서 5점♥️
5.0,엄청 친절하고 맛있어요!
5.0,고양이 만나러 오는 카페물론 카페 분위기도 넘나 평화롭고 사장님도 친절하심
5.0,플랫 화이트 맛있고 고양이가 계세요. 잠자는 고양이 보면서 커피 마시면 세상에서 가장 평온한 카페가 됩니다.
5.0,커피 맛있고 디저트도 괜찮아요. 계단만 조심하시면 될 듯
1.0,서비스 형편없고 화장실 더러운 까페 심지어 네이버에서 맘에 안 드는 리뷰는 편하게 삭제하는 거 같은데 서비스 너무 별로라 다시는 안감
