rating,review
1.0,일단.. 이거 먹고 지인은 배탈나고 나도 속이 그닥 유쾌하지 않았음 일단 사람이 매우 많은 성수 도심 속에서 사람이 없다는 건 플러스 요인이나 왜 없는지 알게되는 가격과 맛임 정말 사진에 최적화된 디자인과 맛 처음에 먹었을 땐 음 먹을만한데? 하다가 뒤로 가면 갈수록 물려서 지인이랑 나랑 둘 다 50퍼는 남김맛 ☆가격 ☆☆분위기 ☆☆☆☆
1.0,비싸고 볼것도 그닥 맛도없음
4.0,
1.0,두번째 방문인데 처음이랑 다르게 구조가 많이 바껴서 어리바리 했으나 나중엔 잘시켜서 먹음.카페직원들은 싸가지없었음 예전엔 차구경겸 스티커 사러가거나 그런느낌이였는데 지금은 걍 왜갔는지 후회됐음 라떼맛도 밍밍한거 여전하고 다신 안감
4.0,
2.0,주말에도 사람 없고 좌석 널찍해서 쉬어가기 좋았어요. 사람 없는 이유는 음료 맛 보시면 다들 알 듯.
5.0,차 좋아하는 사람들에게 강추
5.0,좋았어요! 다들 친절하네요 가운데 있는 전시차량 이쁜거 있을깨 가면 더 좋을듯
4.0,친절함
5.0,다시 가고 싶은 곳입니다~~
5.0,
5.0,종업원분들도 친절하고 분위기도 힙하고 디저트도 진짜 맛있어요. 성수동 가면 꼭 들려야 할 곳 중 하나라고 생각합니다. 잘 먹고 갑니다♡
4.0,분위기 좋고 의자가 신기해요.
1.0,
5.0,분위기가 너무 좋았는데 커피도 물론 맛있었어요!
5.0,내부가 독특하고 넓어서 수다 떨기도 좋은곳이었어요! 생각보다 엄청 거대하진 않았지만 이정도면 만족합니다
4.0,"다소 이해하기 난해한 곳이었지만 방문이후 피치스라는 브랜드를 알게되면서 자꾸 관심갖게 되는공간입니다 ㅎㅎ 자동차에 미친 브랜드, 콜라보로 활짝 열린 힙한 브랜드를 경험해 보고 싶다면 방문해 보시길👍"
2.0,전시차 내부 구경하려고 문 열었더니 상담중이란다.굳이 다른 관람객들도 구경하고 하는 차 안에서 그렇게 해야 하나...?그 정도 공간도 마련 안해놓나?
5.0,직원분들 약간의 시크함과 무기력함이 섞여있지만 옷사이즈 추천잘해주시고 안내잘해줌
5.0,팝업할때 가끔 오가다 방문하는데 직원분들이 항상 친절하심
5.0,힙 함
5.0,다운타우너랑 노티드 같이 있어서 좋습니다
5.0,오늘 저녁 6:50에 갔는데 직원들 친절하시던데.. 🥺🥺
2.0,그냥인스타용
5.0,
3.0,갈때마다 음악 소리 너무 시끄럽지만 맛있는 젤라또가 있어서 청력 정도는 포기 가능
1.0,
2.0,인스타전용카페
2.0,여기가 뭐하는곳인지 아직도 모르겠음 이게 인스타감성인가?? 도넛두 별루..
1.0,대낮에는 배기소리들 그래도 참을만함 제발 해 지고 나서 배기털고오는 양카들 업체측에서 제재좀 해주세요  근처 살면 그냥 귀 뽑아버리고 살고싶음
3.0,그냥 한 번 쓱 볼만함.기업 마케팅 장소로 주로 쓰이는 느낌…힙함을 위한 힙함이 느껴지는 곳…
5.0,요새 트렌드에 맞는 눈이 즐거운 공간이네요
2.0,"여기서 돈을 쓰기보다는 그냥 한바퀴 둘러보고,나오는게 최선인듯..싶습니다ㅏ...긴말없이 팩트만 조지자면첫번째방문=나 사진찍으러☆두번째방문=안가본 친구 사진찍어주러☆걍..이게전부 그 후 재방문은 없었다...."
1.0,뒷빵뎅이에 피치스 붙인 인간들 치고 운전 정상인 인간을 못봤다. 이런 인간들 때문에 한국 자동차 문화가 점점 퇴보하고 있다. 양카 문화의 선두주자 피치스는 각성이 필요하다
5.0,간지 좔좔 피치스 스티커 뒷밤바에 바르고 다니고 싶다.
2.0,하테하태병
1.0,
3.0,
1.0,
1.0,"그들만의 리그. 대낮부터 물담배피고, 몸 돌리는 것조차 힘들어보일 정도로 작은 수조에 보란듯이 불쌍한 상어 전시해놓는 몰상식. 가보면 알겠지만 해초 등 어떤 조형물도 없는 협소한 유리통에 정형행동만 반복하는 상어한마리가 갇혀있음. 요즘은 안 하는 듯하지만 심야, 새벽에 무슨 그지같은 플래시몹한다며 불법개조차량들 한데 모아놓고 소음공해 빛공해하는 배려라고는 쥐뿔도 찾아볼 수 없는 행태."
3.0,딱 성수 스타일힙하고 노래도 좋은데 좌석 부족ㅎ
5.0,
5.0,분위기가 너무 좋았어요 직원들이 안내 도 잘해주면서 친절해요
1.0,관상용으로 작은 수족관에 상어 두 마리 전시해놓음 도른듯
1.0,직원들이 쓸데없이 돌아다니면서 손님들 꼽주는 신기한 곳
1.0,뭘 기대하고 간 거였을까
1.0,직원들이 더욱 친절했으면 좋겠다
3.0,
5.0,
4.0,기대되요
5.0,
5.0,간지 콸콸 피치스 스티커 갖고 싶다.
