rating,review
4.0,
1.0,카페가 넓고 이뻐서 방문 했는데 아메리카노 너무 맛없고 빵도 케이스 없이 오픈되어 있어서 여름에 가니까 빵 위에 파리가.....
3.0,
3.0,주차를 할수있어 좋았고 포카치아 빵은  차가워서 아쉬었습니다
1.0,이대로면 금방 명성을 잃지 않을까
2.0,"넓고 정원이 있는 카페인데다 공간이 다양해서 좋지만 방석 등이 관리되어 있지 않고 먼지가 많이 쌓여있었으며 불친절하고 맛도 무난해서, 전반적인 관리가 아쉬웠습니다."
1.0,직원 4명 중 1명인 아주머니만 일함 내내 설거지 하시고 나머지 남자알바 3명은 주문도 제때 안 받고 설렁설렁 서서 쉼아메 6천원 나쁘진 않음편한 자리 없음시끄러움
4.0,
1.0,"사람이 카운터에 서있고 눈도 여러번 마주쳤는데, 세명이나 되는 카운터 직원들이 주문 받으러 안옴-⭐️⭐️케이크 손으로 덥썩 집음/커피에 이상한 건더기 많이 씹힘-⭐️⭐️2층 세시간 있으면서 청소하러 오는 직원 힌번도 못봄."
1.0,오늘 너무 텐션이 좋아서 좀 부정적 에너지가 필요하면 추천
3.0,비위생
1.0,이딴게 수박주스..?돈이 너무 아까워요파인애플주스는 걍 통조림이에요
3.0,나이프 좀 쓸만한 거 있었으면 좋겠어요 포크로 빵을 찢는게 나을 정도로 칼이 아주 전혀 하나도 들지 않습니다. 분위기 몰빵
1.0,두모금 마시니까 음료 끝~
3.0,
5.0,
1.0,
2.0,디저트 종류가 별로 없었음대형카페
5.0,예쁘게 생겼길래 한번 가봤어요
1.0,아무리 인테리어가 예쁘면 뭐합니까.. 날 더워서 어디 갈 생각도 못하고 커피 (진짜 맛도 없는거 참고) 시켰는데 먹다보니 자꾸 뭐가 떠올라서 자세히 보니 파리가 들어가있네요.. 진짜 토할뻔했습니다.... 진열되어있는 빵들에도 죄다 파리 날아다니고 기어다니고... 직원에게 커피 음료 조용히 가져가서 보여주니 뭐 드셨었죠? 묻길래 아이스라떼요 라고 대답하니 잠시만요 이러더니 옆에 직원한테 아이스라떼 하나 만들어주세요 이러고있고... 죄송하단 말부터 먼저 나올 줄 알았는데 기대가 너무 컸나봐요^^;;;;;; 하............... 손님 정말 많았어서 큰소리 나면 다들 불쾌할까봐 조용히 나왔는데 진짜 내 평생 다신 안갑니다!!!!
4.0,
5.0,소금빵 존맛!!!
4.0,넓고 좋음
2.0,일단 커피가 너~무 맛없습니다.빵은 단맛이 별로없는 담백한 맛이지만 맛있다!이건.아닌 평범한맛이라 가격대비 별로입니다.인테리어는 좋지만 커피향을 음미하는곳은 아닙니다.에이드는 맛보지않아 모르겠지만 다른 손님들은 에이드 종류를 많이 시키네요..다시 방문할거같지 않은 곳입니다..
2.0,넓은건 좋은데 그게 전부...커피가 별로고 너무 시끄러워요
3.0,
5.0,대형카페임에도 불구하고 느껴지는 고즈넉함 때문인지 힐링되는 시간이었습니다성수에서 드문 탈인스타카페
3.0,
3.0,"진짜 공장같은 분위기를 나름 인테리어로 잘 살림카페와 함께 간단한 식사도 가능한 곳1~2층 규모가 꽤 크고 내부에 야외정원도 있음특히 지용호 작가가 타이어로 만든 멋진 멧돼지 조형물이 인상적But 의자가 살짝 불편하고 커피, tea 모두 맛이 별로였음..게다가 가격도 좀 비싼 편;"
4.0,멧돼지와 나무위 오두막이인상적이네요
3.0,넓어서 앉아있이 좋고 분위기도 예쁜데 추워요... 찬바람이 들어오는데 난방기가 넓은 공간을 커버 못하는듯
5.0,맛있음
5.0,카페가 엄청 커요~ 직원분들도 친절하시고 좋았네요
5.0,너무 붐비지 않고 크고 좋아요
4.0,성수에서 카공 필요할 때 대학생 때부터 찾던 카페. 음료는 쏘쏘한데 대형카페라 종종 찾게되는 것 같다.
3.0,오후 3시인데도 실내가 추워서 사람들 다 패딩입고 있음...ㅜㅠ2층은 그렇고 1층은 모르겠음.
2.0,대형카페인데 앉을 자리도 찾기 힘들어서.. ㅜ
3.0,예쁜데 벌레가 너어어어무 많았어서 3점...ㅠㅡㅠ
2.0,워낙 힙한 카페많은 성수라 여긴 분위기 좋은것도 아님 그냥 단체모임용 카페진짜 정신없고 자리불편
