rating,review
4.0,소리가 울림 너무 시끄러움
1.0,"반찬 다양하고 맛있고, 고기 질도 좋고 맛있어요.다만 개선하면 더 좋을 것 같은 부분이 하나 있습니다.그건 고기굽는 알바생들 교육입니다.남자 알바생이 고기 다 태우고.. 너무 수동적이고.. 응대도 제대로 못하고.. 쩝.. 뭐 그렇습니다. 기분 좋게 왔는데 기분이 좀 상한 상태로 먹고 나갔습니다."
1.0,: ( 구냥그럭저럭
2.0,메뉴 나오는 게 너무 느리고 구워주는데 태우시고... 심하네요
1.0,비계만 있네요...꽃은 무슨... 국화가 피었네요
1.0,👎비추비계;
5.0,진짜로 맛납니다 3년째 단골 :) 💓 ㅋㅋ
5.0,맛있어요! 자주 가는 고깃집이에요. 소스가 살짝 짜긴한데 야채 많이 곁들여 먹으면 맛있습니당
4.0,꽃삼겹 정말 맛있다.가성비가 좋은 편은 아니나 전체적으로 음식들이 모두 맛있다.
4.0,가격이 꽤 있긴해도 확실히 가격값하는 삼겹살이었어요
3.0,그냥 자리 많고 회식하기 좋은곳 입니다 캠핑장에서 고기 구워먹는맛 입니다 평범 했어요
2.0,"카카오맵 평가 많이 믿었었는데 불신 생기기 시작,,,"
5.0,숙성삼겹 짱 맛싯구 밑반찬이랑 소스도 많아서 너무 맛있었어요 !!! 근데 뼈찜은 그냥 그랬터여 맛있는데 삼겹이 넘 맛있오소 직원분들 짱 친절 ㅜ
4.0,
5.0,잘 먹고 갑니다
5.0,삼겹살은 진리입니다
2.0,가격도 맛도 그냥그런데 너무 정신없음분위기가 정신 없는게 아니라홀 직원분들이 정신없음분명 직원은 많은데 왜 내 테이블만 쳐도메뉴가 안나오고 또 잘못나오고또 불러서 시키고 해야했을까요?다시 알려드려도 갔다가 돌아와서이거라고 하셨나요? 라고 또 물어보고...집근처라 자주 가던데였는데이제 다른데 찾아봐야할듯ㅠㅠ
3.0,괜찮음!
4.0,삼겹살 조와 삼겹살 마시써
3.0,꽃삼겹 괜찮고 뼈구이는 그닥이에요
5.0,가게가 다 문닫아서 큰 기대없이 들어왔는데 완전 기대 이상었습니다! 숙성삼겹 굿👍비냉 완전 굿👍직원분들 완전 친절해요
4.0,여기 맛집 인정! 근데 목살은 삼겹만하진 않아서 아쉽
5.0,
5.0,
1.0,외국인 친구들이랑 갔는데 저희가 주문한 거랑 다르게 결제하셨네요 숙성 세트 시켰는데 양이 너무 적어서 3인분 맞냐고 물어봤고 3인분 맞다고까지 하셨어요 근데 알고 보니까 뼈 세트로 주문이 들어가서 삼겹은 2인분이었더라고요 만약 뼈 세트로 잘못 주문이 들어갔어도 뼈 구이 1인분을 주셨어야 되는 거 아닌가요? 뼈 구이도 안 주셨고 저희는 그냥 한국어 못 하는 외국인이라 삼겹 2인분을 세트 가격으로 주고 사먹은 꼴이 됐네요 양이 적어서 1인분 더 시켜 먹었는데 외국인이라고 이런 식으로 장사하시는 거 너무한 것 같아요 공깃밥도 2개 먹었는데 4개로 계산하셨고요 나중에 나오고 나서 알게 돼서 이미 어쩔 수 없지만 기분이 안 좋습니다 외국인들 상대로 이런 식으로 돈 버는 거 아니에요 실망스럽습니다
2.0,"주차는 성동구민체육센터에.삼겹+목살+볶음밥평일 8시 이후 방문했으나, 뼈구이 없어서 아쉽.꽃삼겹 3.5점 - 칼집 넣어서 평타침.숙성목살 2점 - 호불호가 많.이. 갈릴 맛이고 퀄리티 구림볶음밥 1점 - 기름 맛 밖에 안남. 이건 좀 충격이었음맛없어서 사람이 없는건지...평일저녁이라 사람이 없는건지...뼈구이 때문에 언젠가 한 번은 재방문 예정....."
5.0,된장찌개가 맛있었어요.물론 고기도 엄청맛나구요.다시 올만합니다.꼮 다시올게용종업원분들도 엄청친절하시네요
5.0,광고가 많아서 안가려다 근처에 일요일에 여는 고깃집이 별로 없어서 간건데 진짜 맛있었어요. 육즙이 장난아님. 한입 딱 씹는데 입에서 터져요!!!다 구워주시고 굽다 처음 뒤집었을때 좀 탄게있었는데 바로 새걸로 교체해주셨어요. 된찌도 양많고 존맛고기는 가격대비 양은 적어요. 그건 아쉬웠음. 꽃삼겹 숙성삼겹중에 숙성삼겹으로 먹었어요깔끔하고 존맛이고 좋습니다
5.0,고기 좋아하는 친구랑 방문했어요. 맛있게 먹고 대화도 많이 나누고 좋은시간 보내고 왔습니다.
1.0,그냥 맛이 없어요 이게 뭔 숙성이에요? 숙성이 아니라 육즙 하나도 없고 고기 좀 먹어본 사람은 할텐데 냉동입니다 생고기 아니고요 사진 그럴듯하게 걸어두고 어이가 없네ㅋㅋ 맛 없어서 먹다가 도중에 나왔습니다
5.0,
5.0,굿
1.0,"어제 1:30에 방문했고 세트메뉴+목살3인분+볶음밥 시켰습니다. 된장찌개에서 손가락 두 마디만한 크기의 나사가 나왔네요. 나사 머리는 플라스틱이고 몸은 철제로 된 아주 굵은 나사였어요. 마침 종업원분이 고기를 구워주고 계실 때라 바로 보여드리고 찌개를 새로 받기는 했지만, 개인접시도 지저분한 편이고 개인적으로는 재방문할 마음이 안 드는 매장이었네요."
5.0,"뼈구이 세트 먹었는데 뼈구이보단 삼겹살이 진짜 너무 맛있었고, 한우된장찌개랑 눈꽃치즈볶음밥도 맛있었어요!직원분들도 다 친절하시고 아주 좋았습니다.주말이라 그런지 오후 6시쯤부터는 줄서는 것 같더라고요."
5.0,음식이 깔끔하고 맛있네요!
2.0,점심식사 비추.
1.0,순두부랍시고 나온거ㅋㅋ 누가 두부 쌌냐
3.0,"나름 맛있음 고기는 얇게 썰려 나오니 호불호 갈릴 수 있음. 다만 통풍이 잘 안 되는지 연기 안 빠지고, 특히 손님 많으면 내부 공기가 더욱 탁해집니다"
5.0,너무 친절하세요구워주시고또갈래용 목살 짱맛
5.0,친절함 고기 다 꾸워주시고 밑반찬도 맛있음
4.0,방문했을때랑 간판이 다르네요제가올린사진이 진짜 간판이예요~점심에 방문했는데 계란찜 안된다고 하시고꽃삼겹2인 이랑 볶음밥주문했는데 고기다먹고 나니까 볶음밥 안된다고 해서 넘 아쉬웠어요.일부러 공기밥도 안시키고 고기먹었는데 미리 말해줬으면 더 좋을뻔 했네요맛있었습니다만 점심에는 가지말아야겠네요ㅜㅜ올라온 정보에 메뉴판에는 제가먹은 메뉴가 없네요사장님이 바뀐건가 모르겠네요!(2021년 8월)
5.0,저 평목살은 먹어도 질리지않는맛!!! 홍화돈 밖에 없어서 평목살먹고싶을때 자주와요^^
5.0,여자친구가 고기 땡긴다고 따라갔던곳.... 지금의 저의 단골집입니다......초밥과 고추다데기 김치.. 처음 먹어보는 맛.. 원래는 쌈도 안싸먹고 밥 한공기에 쌈장 마늘만 먹는사람이였는데 신세계 경험하고 왔습니다!! 쵝5
5.0,제가 자주찾는 단골집 항상 만족합니다.
1.0,밬휘볼뤠나와서 직원이 잡아줌코로나 한창 심했을때도 마스크안끼고 서빙 + 고기구워줌
5.0,고기가 너무 먹고싶어서 뚝섬 근처에 맛집이라고 찾아갔는데 너무 맛있었어요!! 평목살과 후삼겹으로 먹었는데 또 생각납니다...❤️ 재방문의사 100%!!!
